a01	stime_h_j	stime_m_j	res_id_j	consent_j	j1	j1_01	j1_01b	j1_02a	j1_02b2	j1_02b1	j1_02b1_ngo	j1_02b1_ngo2	j1_02c	j1_02coth	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03ooth	j1_03p	j1_04	j1_4a1_1	j1_4a1_2	j1_4a1_3	j1_5a	j1_05b	j1_5b	j1_5b_ngo	j1_5b_ngo2	j1_5c	j1_5coth	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06ooth	j1_06p	j1_07	j1_07oth	j1_08	j1_09	j1_09a	j1_09b	j1_09c	j1_09d	j1_09e	j1_09f	j1_09g	j1_09h	j1_09i	j1_09j	j1_09k	j1_09l	j1_09m	j1_09n	j1_09o	j1_09ooth	j1_09p	j1_10	j1_10oth	j1_11	j1_12	hhid2	hh_type	round
2746.1	12	36	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2746.1"	3	3.0
2746.2	14	26	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2746.2"	3	3.0
2747.1	11	56	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2747.1"	3	3.0
2747.2	12	1	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2747.2"	3	3.0
2748.0	13	20	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2748"	3	3.0
2749.0	14	58	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2749"	3	3.0
2750.0	12	36	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2750"	3	3.0
2751.0	12	45	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2751"	3	3.0
2752.0	17	30	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2752"	3	3.0
2753.0	11	51	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2753"	3	3.0
2755.0	15	26	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2755"	3	3.0
2756.1	12	21	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2756.1"	3	3.0
2756.2	12	2	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2756.2"	3	3.0
2757.0	9	26	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2757"	3	3.0
2758.0	12	9	1	1	1	1	1	2	1	0		" "	0	" "	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"2758"	3	3.0
2759.0	11	24	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2759"	3	3.0
2760.0	11	50	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2760"	3	3.0
2761.0	11	30	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2761"	2	3.0
2762.0	12	15	5	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2762"	2	3.0
2763.0	12	45	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2763"	2	3.0
2764.0	10	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2764"	2	3.0
2765.0	13	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2765"	2	3.0
2766.0	13	38	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2766"	2	3.0
2767.0	13	39	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2767"	2	3.0
2768.0	10	52	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2768"	2	3.0
2769.0	12	6	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2769"	2	3.0
2770.0	9	49	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2770"	2	3.0
2771.0	15	40	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2771"	2	3.0
2772.0	10	43	1	1	1	2						" "		" "																" "		1	1			2	1	0		" "	0	" "	1	2	1	2	1	2	1	2	1	2	1	2	2		2	" "			" "	2																	" "		1	" "	1	1	"2772"	2	3.0
2773.0	10	36	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2773"	2	3.0
2774.0	11	46	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2774"	2	3.0
2775.0	11	22	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2775"	2	3.0
2776.0	10	50	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2776"	2	3.0
2777.0	12	27	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2777"	2	3.0
2778.0	14	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2778"	2	3.0
2779.0	13	47	1	1	1	1	1	2	1	0		" "	0	" "	1	1	2		2		2		2		1	1	2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"2779"	2	3.0
2780.0	12	55	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2780"	2	3.0
2781.0	11	25	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2781"	2	3.0
2782.0	16	41	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2782"	2	3.0
2783.0	15	21	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2783"	2	3.0
2784.0	16	41	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2784"	2	3.0
2785.1	12	57	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2785.1"	2	3.0
2785.2	10	47	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2785.2"	2	3.0
2786.0	10	4	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2786"	2	3.0
2787.0	14	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2787"	2	3.0
2788.0	12	20	6	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2788"	2	3.0
2789.0	17	50	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2789"	2	3.0
2790.0	16	36	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2790"	2	3.0
2791.0	11	3	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2791"	2	3.0
2792.0	11	31	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2792"	2	3.0
2793.0	11	51	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2793"	2	3.0
2794.0	15	5	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2794"	2	3.0
2795.0	11	40	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2795"	2	3.0
2796.0	12	15	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2796"	2	3.0
2797.0	10	53	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2797"	2	3.0
2798.0	9	30	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2798"	2	3.0
2799.0	12	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2799"	2	3.0
2800.0	11	27	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2800"	2	3.0
2801.0	15	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2801"	2	3.0
2802.0	11	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2802"	2	3.0
2803.0	12	54	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2803"	2	3.0
2804.0	12	9	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2804"	2	3.0
2805.0	12	5	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2805"	2	3.0
2806.0	10	4	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2806"	2	3.0
2808.0	11	48	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2808"	2	3.0
2809.0	10	22	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2809"	2	3.0
2810.0	11	2	4	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2810"	2	3.0
2811.0	16	27	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2811"	2	3.0
2812.0	14	23	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2812"	2	3.0
2813.0	15	12	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2813"	2	3.0
2814.0	15	0	5	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2814"	2	3.0
2815.0	13	1	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2815"	2	3.0
2816.0	14	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2816"	2	3.0
2817.0	9	48	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2817"	2	3.0
2818.0	11	35	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2818"	2	3.0
2819.0	10	30	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2819"	2	3.0
2820.0	11	39	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2820"	2	3.0
2821.0	12	51	1	1	1	1	1	0		0		" "	2	"SINJENTON"	2		1	2	2		1	2	1	2	2		2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"2821"	2	3.0
2822.0	16	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2822"	2	3.0
2823.0	13	24	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"2823"	2	3.0
2824.0	12	4	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2824"	2	3.0
2825.0	14	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2825"	2	3.0
2826.0	14	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2826"	2	3.0
2827.0	12	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"2827"	2	3.0
2828.0	12	30	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2828"	2	3.0
2829.0	12	40	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2829"	2	3.0
2831.0	11	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2831"	2	3.0
2832.0	14	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"2832"	2	3.0
2833.0	13	35	1	1	1	2						" "		" "																" "		1	1			2	1	0		" "	0	" "	2		1	2	2		1	2	2		1	2	2		2	" "			" "	2																	" "		1	" "	1	1	"2833"	2	3.0
2834.0	15	45	4	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2834"	2	3.0
2835.0	14	30	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2835"	2	3.0
2836.0	14	40	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2836"	2	3.0
2837.0	12	52	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"2837"	2	3.0
2838.0	13	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2838"	2	3.0
2839.1	9	30	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2839.1"	2	3.0
2839.2	12	10	5	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2839.2"	2	3.0
2840.0	12	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2840"	2	3.0
2841.0	12	15	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2841"	2	3.0
2842.0	12	32	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"2842"	2	3.0
2844.0	11	0	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2844"	2	3.0
2845.0	16	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2845"	2	3.0
2846.0	15	50	1	1	1	1	1	0		0		" "	1	"ACI"	2		2		1	2	1	2	1	2	2		2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"2846"	2	3.0
2847.0	12	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2847"	2	3.0
2848.0	11	5	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2848"	2	3.0
2849.0	14	25	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2849"	2	3.0
2850.0	11	3	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2850"	2	3.0
2851.0	11	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2851"	2	3.0
2852.0	11	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2852"	2	3.0
2853.0	10	30	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2853"	2	3.0
2854.0	10	50	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2854"	2	3.0
2855.0	12	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2855"	2	3.0
2856.0	13	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2856"	2	3.0
2857.0	11	55	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2857"	2	3.0
2858.0	11	2	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2858"	2	3.0
2859.1	11	42	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"2859.1"	2	3.0
2859.2	12	27	5	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	1	1	"2859.2"	2	3.0
2860.0	11	0	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2860"	2	3.0
2862.0	11	30	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2862"	3	3.0
2863.0	11	57	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2863"	3	3.0
2864.0	12	9	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2864"	3	3.0
2865.0	12	45	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2865"	3	3.0
2866.0	12	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2866"	3	3.0
2867.0	14	0	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2867"	3	3.0
2868.1	14	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2868.1"	3	3.0
2868.2	12	4	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2868.2"	3	3.0
2869.0	14	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2869"	3	3.0
2870.0	11	43	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2870"	3	3.0
2871.0	11	3	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2871"	3	3.0
2872.0	16	41	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2872"	3	3.0
2873.0	11	31	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2873"	3	3.0
2874.0	12	10	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2874"	3	3.0
2875.0	12	1	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2875"	3	3.0
2876.0	12	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2876"	3	3.0
2877.0	12	20	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2877"	3	3.0
2878.1	12	10	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2878.1"	3	3.0
2878.2	15	30	5	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2878.2"	3	3.0
2879.0	11	26	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2879"	3	3.0
2880.0	11	40	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2880"	3	3.0
2881.1	10	30	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2881.1"	3	3.0
2881.2	11	10	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2881.2"	3	3.0
2882.0	10	40	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2882"	3	3.0
2883.0	10	5	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2883"	3	3.0
2885.1	12	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2885.1"	3	3.0
2885.2	8	40	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2885.2"	3	3.0
2886.0	15	45	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2886"	3	3.0
2887.0	12	21	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2887"	3	3.0
2888.0	11	45	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2888"	3	3.0
2889.0	12	14	5	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2889"	3	3.0
2890.0	12	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2890"	3	3.0
2893.0	13	36	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2893"	3	3.0
2894.0	12	20	4	1	1	2						" "		" "																" "		1	1			1	1	0		" "	0	" "	2		2		2		1	1	1	1	2		2		2	" "			" "	2																	" "		1	" "	1	1	"2894"	3	3.0
2895.0	10	41	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2895"	3	3.0
2896.0	12	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		4	" "	2																	" "		1	" "	2		"2896"	3	3.0
2897.0	11	21	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2897"	3	3.0
2898.0	13	1	2	1	1	2						" "		" "																" "		2								" "		" "																" "		4	" "	2																	" "		4	" "	2		"2898"	3	3.0
2899.0	11	21	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2899"	3	3.0
2900.0	10	41	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2900"	3	3.0
2901.0	11	18	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2901"	3	3.0
2902.0	11	20	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2902"	3	3.0
2903.0	9	40	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2903"	3	3.0
2904.0	10	6	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2904"	3	3.0
2905.0	11	42	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2905"	3	3.0
2907.0	10	36	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2907"	3	3.0
2908.0	11	1	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2908"	3	3.0
2909.0	11	38	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2909"	3	3.0
2910.0	14	16	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2910"	3	3.0
2911.0	10	56	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2911"	3	3.0
2912.0	10	42	1	1	1	2						" "		" "																" "		1	1			0		0		" "	1	"PHARMACY"	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	" "			" "	2																	" "		1	" "	1	1	"2912"	3	3.0
2913.0	13	46	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2913"	3	3.0
2914.0	11	43	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2914"	3	3.0
2915.0	11	22	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2915"	3	3.0
2916.0	11	0	1	1	1	2						" "		" "																" "		1	1			1	1	0		" "	0	" "	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	" "			" "	2																	" "		1	" "	1	1	"2916"	3	3.0
2917.0	10	5	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2917"	3	3.0
2918.1	11	42	1	1	1	1	1	10	1	0		" "	0	" "	1	2	1	2	1	2	1	2	1	1	1	1	1	1	2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"2918.1"	3	3.0
2918.2	16	11	3	1	1	1	1	4	1	0		" "	0	" "	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"2918.2"	3	3.0
2919.0	10	57	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2919"	3	3.0
2920.0	8	50	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2920"	3	3.0
2922.0	9	58	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2922"	3	3.0
2923.0	11	10	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2923"	3	3.0
2924.0	16	47	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2924"	3	3.0
2925.0	14	39	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2925"	3	3.0
2926.0	9	41	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2926"	3	3.0
2927.0	10	11	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2927"	3	3.0
2928.0	10	48	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2928"	3	3.0
2929.0	10	47	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2929"	3	3.0
2930.0	10	4	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2930"	3	3.0
2931.0	9	51	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2931"	3	3.0
2932.0	14	40	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2932"	3	3.0
2933.0	10	34	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2933"	3	3.0
2934.0	14	47	2	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2934"	3	3.0
2935.0	11	39	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2935"	3	3.0
2936.0	16	10	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2936"	3	3.0
2938.0	10	32	3	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2938"	3	3.0
2939.0	12	35	1	1	1	2						" "		" "																" "		2								" "		" "																" "		1	" "	2																	" "		1	" "	2		"2939"	3	3.0
2940.0	11	22	1	1	1	1	1	1	1	0		" "	0	" "	1	2	1	2	1	2	1	2	1	2	2		2		2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"2940"	3	3.0
2941.0	16	40	3	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2941"	2	3.0
2942.0	15	33	2	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2942"	2	3.0
2943.0	10	31	1	1	1	1	1	1	1	0		" "	0	" "	2		1	1	2		2		2		2		2		2	" "		1	1			2	1	0		" "	0	" "	2		2		2		1	3	2		2		1	3	2	" "			" "	1	1	1	2	1	3	2		2		2		2		2		2	" "			" "	1	1	"2943"	2	3.0
2944.0	10	21	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2944"	2	3.0
2945.0	11	0	1	1	1	1	1	0		8	1	"BRAC"	0	" "	1	1	1	1	1	2	1	1	1	2	1	1	1	2	2	" "		2								" "		" "																" "			" "	2																	" "		1	" "	1	1	"2945"	2	3.0
2946.0	17	31	1	1	1	1	1	10	1	0		" "	0	" "	1	2	1	2	1	2	1	2	1	2	1	2	2		2	" "		1	1			12	1	0		" "	0	" "	1	2	1	2	1	2	2		2		1	2	2		2	" "			" "	2																	" "		1	" "	1	1	"2946"	2	3.0
2947.0	9	40	1	1	2							" "		" "																" "										" "		" "																" "			" "																		" "			" "			"2947"	2	3.0
