a01	stime_h_q	stime_m_q	res_id_q	consent_q	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_11b	q_11c	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20a_3	q_20b	q_20b_2	q_20b_3	q_20c	q_20c_2	q_20c_3	q_20d_1	q_20d_2	q_20d_3	q_21	etime_h_q	etime_m_q	flag_q_20b_3	flag_q_20c_3	hhid2	hh_type	round
3075.0	15	21	1	1	1	1000		17.0	1	3	4	2	4	1	1	2	1	383.0	1	2	180.0	5	0.0	1		3			2	1	1	" "	1	3	" "	2		" "	1	4		40	15	31			"3075"	3	3.0
3076.0	13	6	1	1	1	1000		4.0	1	2	2	2	4	1	3	2	1	504.0	1	2	98.0	9	0.0	1		3			3	1	1	" "	1	2	" "	1	6	" "	1			150	13	12			"3076"	3	3.0
3077.0	11	45	1	1	1	1000		8.0	1	3	2	2	1	1	3	2	1	486.0	1	2	220.0	5	1000.0	1		3			3	1	1	" "	1	3	" "	1	4	" "	6			900	11	48			"3077"	3	3.0
3078.1	14	41	1	1	1	2000		6.0	1	1	1	1	1	1	3	2	1	1215.0	1	2	120.0	5	900.0	1		3			3	1	1	" "	1	2	" "	1	7	" "	1			400	14	49			"3078.1"	3	3.0
3078.2	12	11	5	1	1	1000		3.0	1	1	1	1	1	1	2	2	1	630.0	1	2	100.0	5	0.0	1		3			2	1	5	" "	1	8	" "	2		" "	1			500	12	16			"3078.2"	3	3.0
3079.0	14	53	4	1	1	5000		8.0	0	1	1	2	1	1	4	2	1	608.0	1	2	45.0	5	0.0	1		3			3	1	4	" "	1	2	" "	1	6	" "	1			500	14	59			"3079"	3	3.0
3080.0	13	7	1	1	1	2000		19.0	1	2	1	2	1	1	5	1		1350.0	1	2	0.0	5	600.0	1		3			3	1	1	" "	1	2	" "	2		" "	1			350	13	14			"3080"	3	3.0
3081.0	12	59	1	1	1	3000		2.0	0	1	1	2	4	1	3	2	1	468.0	1	2	100.0	9	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	4			200	13	12			"3081"	3	3.0
3082.1	12	40	3	1	1	1500		20.0	1	2	4	2	4	1	3	2	1	567.0	1	2	380.0	5	0.0	1		3			2	1	3	" "	1	4	" "	2		" "	1			200	12	55			"3082.1"	3	3.0
3082.2	14	43	6	1	1	1000		6.0	1	2	4	2	4	1	2	2	1	396.0	1	2	85.0	9	0.0	1		3			2	1	6	" "	1	9	" "	2		" "	1			360	15	52			"3082.2"	3	3.0
3083.0	14	32	1	1	1	2000		2.0	0	3	1	2	4	2	3	2	1	680.0	1	2	200.0	9	0.0	1		3			2	1	3	" "	1	4	" "	2		" "	6			320	14	36			"3083"	3	3.0
3084.0	11	17	2	1	1	1000		60.0	0	2	4	2	4	1	1	2	1	220.5	1	2	200.0	5	300.0	1		3			2	1	2	" "	1	12	" "	2		" "	1			100	11	22			"3084"	3	3.0
3085.0	16	41	1	1	1	1200		35.0	0	2	4	2	4	1	1	2	1	252.0	1	1	96.0	5	0.0	1		3			0	2		" "	2		" "	2		" "	7				16	44			"3085"	3	3.0
3086.0	13	44	4	1	1	2000		7.0	0	1	1	1	1	1	2	2	1	360.0	1	2	92.0	5	0.0	1		3			1	1	1	" "	2		" "	2		" "	6			100	13	50			"3086"	3	3.0
3087.0	14	13	1	1	1	2500		3.0	0	2	1	2	4	1	5	1		504.0	1	2	292.0	9	0.0	1		3			4	1	1	" "	1	2	" "	1	5	" "	1			300	14	33			"3087"	3	3.0
3088.0	9	24	2	1	1	500		2.0	2	2	1	2	1	1	1	2	1	180.0	1	2	119.0	5	450.0	1		3			2	1	1	" "	1	2	" "	2		" "	4			220	9	32			"3088"	3	3.0
3089.0	12	26	4	1	1	2000		1.0	0	1	1	2	4	1	3	2	1	504.0	1	2	300.0	5	800.0	1		3			3	1	4	" "	1	3	" "	1	5	" "	1	4		700	12	31			"3089"	3	3.0
3090.0	14	6	5	1	1	1200		8.0	0	2	4	2	4	1	1	2	1	405.0	1	2	110.0	5	0.0	1		3			2	1	5	" "	1	4	" "	2		" "	6			500	14	13			"3090"	3	3.0
3091.0	15	5	3	1	1	1500		35.0	0	2	4	2	4	1	4	2	1	306.0	1	2	200.0	5	500.0	1		3			3	1	3	" "	1	4	" "	1	5	" "	1	4		500	15	11			"3091"	3	3.0
3092.0	11	36	1	1	1	1100		8.0	0	3	2	2	4	1	3	2	1	432.0	1	2	238.0	5	1800.0	1		3			3	1	1	" "	1	2	" "	1	6	" "	1			600	11	40			"3092"	3	3.0
3093.0	13	21	3	1	1	1500		17.0	2	3	4	2	4	1	2	1		288.0	1	2	550.0	5	0.0	1		3			1	1	3	" "	2		" "	2		" "	6			270	13	30			"3093"	3	3.0
3094.0	14	8	1	1	1	2000		30.0	0	3	1	2	1	2	6	2	1	725.0	1	2	300.0	5	0.0	1		3			3	2		" "	1	6	" "	1	4	" "	1			450	14	13			"3094"	3	3.0
3096.0	16	31	1	1	1	3000		5.0	0	1	1	2	1	2	4	2	1	801.0	1	2	96.0	5	0.0	1		3			1	1	1	" "	1	4	" "	2		" "	1			450	16	36			"3096"	3	3.0
3097.0	16	52	1	1	1	400		10.0	1	4	4	2	4	1	1	2	1	252.0	1	2	120.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	6			120	16	56			"3097"	3	3.0
3098.0	14	46	1	1	1	1000		4.0	1	3	1	2	1	1	3	2	1	432.0	1	2	250.0	5	0.0	1		3			2	1	3	" "	1	4	" "	2		" "	6			180	14	50			"3098"	3	3.0
3099.0	12	44	1	1	1	1000		4.0	0	2	4	2	4	1	3	2	1	306.0	1	2	280.0	9	0.0	1		3			3	2		" "	1	2	" "	1	5	" "	1			300	12	54			"3099"	3	3.0
3100.0	14	57	2	1	1	2000		30.0	3	2	1	2	1	1	3	2	1	1296.0	1	2	209.0	9	0.0	1		3			1	2		" "	1	3	" "	2		" "	6			300	15	16			"3100"	3	3.0
3101.0	14	15	1	1	1	2000		24.0	0	3	1	2	1	1	2	2	1	268.0	1	2	90.0	5	0.0	1		3			2	1	1	" "	1	2	" "	2		" "	1			600	14	19			"3101"	3	3.0
