a01	j2a_01	j2a_02	j2a_03y	j2a_03m	j2a_04	j2a_04oth	j2a_05	j2a_06	j2a_09	j2a_09oth	j2a_10	j2a_10oth	etime_h_j	etime_m_j	hhid2	hh_type	round
3065.0	1	2				" "				" "		" "	13	46	"3065"	3	3.0
3066.0	2					" "				" "		" "	15	25	"3066"	3	3.0
3067.0	1	2				" "				" "		" "	12	59	"3067"	3	3.0
3068.0	1	2				" "				" "		" "	14	7	"3068"	3	3.0
3069.0	1	2				" "				" "		" "	12	25	"3069"	3	3.0
3070.0	1	2				" "				" "		" "	13	40	"3070"	3	3.0
3071.1	1	2				" "				" "		" "	17	58	"3071.1"	3	3.0
3071.2	1	2				" "				" "		" "	12	6	"3071.2"	3	3.0
3072.0	1	2				" "				" "		" "	9	50	"3072"	3	3.0
3073.0	2					" "				" "		" "	11	40	"3073"	3	3.0
3074.0	1	2				" "				" "		" "	12	57	"3074"	3	3.0
3075.0	1	2				" "				" "		" "	13	49	"3075"	3	3.0
3076.0	1	2				" "				" "		" "	12	5	"3076"	3	3.0
3077.0	1	2				" "				" "		" "	10	52	"3077"	3	3.0
3078.1	1	2				" "				" "		" "	13	36	"3078.1"	3	3.0
3078.2	1	2				" "				" "		" "	11	20	"3078.2"	3	3.0
3079.0	1	2				" "				" "		" "	13	12	"3079"	3	3.0
3080.0	1	2				" "				" "		" "	12	6	"3080"	3	3.0
3081.0	1	2				" "				" "		" "	11	19	"3081"	3	3.0
3082.1	1	2				" "				" "		" "	10	56	"3082.1"	3	3.0
3082.2	1	2				" "				" "		" "	13	43	"3082.2"	3	3.0
3083.0	1	2				" "				" "		" "	12	50	"3083"	3	3.0
3084.0	2					" "				" "		" "	10	20	"3084"	3	3.0
3085.0	1	2				" "				" "		" "	14	35	"3085"	3	3.0
3086.0	1	2				" "				" "		" "	12	26	"3086"	3	3.0
3087.0	1	2				" "				" "		" "	12	21	"3087"	3	3.0
3088.0	1	2				" "				" "		" "	16	38	"3088"	3	3.0
3089.0	2					" "				" "		" "	11	30	"3089"	3	3.0
3090.0	1	2				" "				" "		" "	12	20	"3090"	3	3.0
3091.0	1	2				" "				" "		" "	12	59	"3091"	3	3.0
3092.0	1	2				" "				" "		" "	10	36	"3092"	3	3.0
3093.0	1	2				" "				" "		" "	12	9	"3093"	3	3.0
3094.0	1	2				" "				" "		" "	12	48	"3094"	3	3.0
3096.0	1	2				" "				" "		" "	14	20	"3096"	3	3.0
3097.0	2					" "				" "		" "	16	36	"3097"	3	3.0
3098.0	1	2				" "				" "		" "	13	36	"3098"	3	3.0
3099.0	1	2				" "				" "		" "	10	35	"3099"	3	3.0
3100.0	1	2				" "				" "		" "	13	23	"3100"	3	3.0
3101.0	1	2				" "				" "		" "	13	15	"3101"	3	3.0
3102.0	1	2				" "				" "		" "	9	42	"3102"	3	3.0
3103.0	1	2				" "				" "		" "	13	12	"3103"	3	3.0
3104.0	2					" "				" "		" "	10	53	"3104"	3	3.0
3105.1	1	2				" "				" "		" "	17	10	"3105.1"	3	3.0
3105.2	1	2				" "				" "		" "	14	8	"3105.2"	3	3.0
3107.0	1	2				" "				" "		" "	14	25	"3107"	3	3.0
