a01	stime_h_b2	stime_m_b2	res_id_b2	consent_b2	mid_b2	b2_01	b2_02	b2_02oth	b2_03	b2_04	b2_05	b2_05oth	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	b2_14oth	etime_h_b2	etime_m_b2	hhid2	flag_b2	hh_type	round
2424.0	9	50	1	1	3	1		" "	2003	1	1	" "	2.0	20.0	2	2								1		2008	6	" "	9	54	"2424"		3	3.0
2425.0	10	0	1	1	4	1		" "	2017	1	1	" "	1.0	15.0	1	1	1	0	1	100	5	1	1	5		9999		" "	10	5	"2425"		3	3.0
2425.0			1	1	5	2	1	" "				" "																" "			"2425"		3	3.0
2426.0	9	40	1	1	4	1		" "	2014	1	2	" "	3.0	30.0	1	1	2	150	1	150	1	5	2	1		9999		" "	9	43	"2426"		3	3.0
2427.0	9	31	2	1	3	1		" "	2008	1	9	" "	1.0	20.0	1	1	2	150	1	500	1	12	2	1		9999		" "	9	35	"2427"		3	3.0
2427.0			2	1	4	1		" "	2010	1	2	" "	0.5	10.0	1	1	2	100	1	700	1	9	2	1		9999		" "			"2427"		3	3.0
2427.0			2	1	5	1		" "	2017	1	1	" "	0.5	10.0	1	1	1	0	1	200	5	2	2	5		9999		" "			"2427"		3	3.0
2428.0	9	31	1	1	3	1		" "	2008	1	9	" "	2.0	30.0	1	1	2	100	1	500	1	11	2	1		9999		" "	9	35	"2428"		3	3.0
2428.0			1	1	4	1		" "	2010	1	1	" "	0.5	10.0	1	1	2	80	1	500	1	9	2	1		9999		" "			"2428"		3	3.0
2428.0			1	1	5	1		" "	2016	1	1	" "	0.5	10.0	1	1	1	0	2		5	3	2	5		9999		" "			"2428"		3	3.0
2428.0			1	1	6	2	5	" "				" "																" "			"2428"		3	3.0
2429.0	10	31	1	1	3	1		" "	2014	77	8	" "	1.0	20.0	1	1	2	200	2		1	77	2	1		9999		" "	10	35	"2429"		3	3.0
2429.0			1	1	4	1		" "	2015	77	8	" "	1.0	20.0	1	1	2	200	2		1	77	2	1		9999		" "			"2429"		3	3.0
2430.0	9	30	1	1	5	1		" "	2007	1	9	" "	12.0	30.0	1	1	1	0	2		1	14	2	5		9999		" "	9	35	"2430"		3	3.0
2432.0	9	31	1	1	3	1		" "	2008	1	2	" "	1.0	20.0	1	1	2	100	1	500	1	10	2	1		9999		" "	9	35	"2432"		3	3.0
2432.0			1	1	4	1		" "	2012	77	2	" "	0.5	10.0	1	1	2	200	1	200	1	5	2	1		9999		" "			"2432"		3	3.0
2433.0	9	40	1	1	4	1		" "	2014	1	1	" "	0.5	10.0	1	1	1	0	2		5	5	2	5		9999		" "	9	45	"2433"		3	3.0
2434.0	9	51	1	1	2	1		" "	2010	1	2	" "	1.0	20.0	2	2								1		2018	6	" "	9	56	"2434"		3	3.0
2434.0			1	1	3	1		" "	2013	1	2	" "	1.0	20.0	1	1	1	100	1	300	1	6	2	1		9999		" "			"2434"		3	3.0
2435.0	9	40	1	1	3	1		" "	2011	1	1	" "	1.0	15.0	1	1	1	100	1	500	1	8	2	1		9999		" "	9	50	"2435"		3	3.0
2435.0			1	1	4	1		" "	2015	1	1	" "	1.0	15.0	1	1	1	70	1	350	1	4	2	1		9999		" "			"2435"		3	3.0
2435.0			1	1	5	2	1	" "				" "																" "			"2435"		3	3.0
2436.0	9	25	2	1	4	1		" "	2014	66	1	" "	2.0	30.0	1	1	1	0	1	150	1	4	2	1		9999		" "	9	30	"2436"		3	3.0
2437.0	9	32	3	1	5	1		" "	2006	1	1	" "	1.0	20.0	2	2								1		2014	21	" "	9	36	"2437"		3	3.0
2437.0			3	1	9	1		" "	2015	1	5	" "	1.0	20.0	1	1	2	200	1	300	1	4	2	1		9999		" "			"2437"		3	3.0
2438.0	0			1	99			" "				" "																" "	0		"2438"		3	3.0
2440.0	9	35	1	1	3	1		" "	2008	1	2	" "	1.5	20.0	1	1	2	100	1	500	1	8	1	1		9999		" "	9	40	"2440"		3	3.0
2440.0			1	1	4	1		" "	2012	1	2	" "	1.5	20.0	1	1	1	0	1	300	5	5	2	5		9999		" "			"2440"		3	3.0
2440.0			1	1	5	1		" "	2014	1	5	" "	1.5	20.0	1	1	2	20	2		1	2	2	1		9999		" "			"2440"		3	3.0
2440.0			1	1	6	1		" "	2016	1	5	" "	1.5	20.0	1	1	2	20	2		1	2	2	1		9999		" "			"2440"		3	3.0
2441.0	15	21	1	1	4	1		" "	2009	1	2	" "	1.0	20.0	1	1	2	80	1	1500	1	10	2	1		9999		" "	15	25	"2441"		3	3.0
2441.0			1	1	5	1		" "	2005	1	9	" "	3.0	45.0	2	2								1		2016	21	" "			"2441"		3	3.0
2442.0	9	0	1	1	4	1		" "	2002	1	1	" "	20.0	58.0	1	1	1	0	2		1	17	2	1		9999		" "	9	5	"2442"		3	3.0
2443.0	14	26	1	1	4	1		" "	2002	1	9	" "	20.0	55.0	1	1	1	0	2		1	17	2	1		9999		" "	14	30	"2443"		3	3.0
2443.0			1	1	6	1		" "	2006	1	9	" "	1.0	20.0	2	2								1		2014	21	" "			"2443"		3	3.0
2444.0	8	54	2	1	3	1		" "	2003	1	1	" "	2.0	30.0	2	2								1		2015	21	" "	8	58	"2444"		3	3.0
2445.0	8	52	8	1	3	1		" "	2008	66	2	" "	0.1	5.0	1	1	2	0	1	1000	1	10	2	5		9999		" "	9	0	"2445"		3	3.0
2445.0			8	1	4	1		" "	2012	77	2	" "	1.0	20.0	1	1	2	0	1	300	1	4	2	1		9999		" "			"2445"		3	3.0
2445.0			8	1	5	1		" "	2016	77	2	" "	30.0	120.0	1	1	2	0	2		1	2	2	1		9999		" "			"2445"		3	3.0
2445.0			8	1	10	1		" "	2015	66	12	" "	0.1	5.0	1	1	2	150	1	400	1	2	2	1		9999		" "			"2445"		3	3.0
2446.1	9	15	1	1	3	1		" "	2016	66	1	" "	2.0	30.0	1	1	1	0	1	500	1	2	2	1		9999		" "	9	20	"2446.1"		3	3.0
2446.2	13	15	4	1	6	1		" "	2005	66	1	" "	2.0	30.0	2	2								8		2015	21	" "	13	20	"2446.2"		3	3.0
2448.0	8	58	1	1	3	1		" "	2013	1	2	" "	1.0	20.0	1	1	2	100	1	600	1	6	2	1		9999		" "	9	2	"2448"		3	3.0
2448.0			1	1	6	2	1	" "				" "																" "			"2448"		3	3.0
2449.0	9	0	1	1	3	1		" "	2014	1	1	" "	0.5	10.0	1	1	1	0	1	600	5	5	2	5		9999		" "	9	5	"2449"		3	3.0
2449.0			1	1	4	1		" "	2018	1	1	" "	1.0	20.0	2	1	1	0	2		1	1	9					" "			"2449"		3	3.0
2449.0			1	1	6	2	1	" "				" "																" "			"2449"		3	3.0
2450.0	8	55	2	1	4	1		" "	2009	1	2	" "	1.0	20.0	1	1	2	0	1	1600	8	10	2	8		9999		" "	8	58	"2450"		3	3.0
2451.0	8	51	1	1	3	1		" "	2009	1	2	" "	1.0	20.0	1	1	2	120	1	600	1	10	2	1		9999		" "	9	0	"2451"		3	3.0
2451.0			1	1	4	1		" "	2011	1	2	" "	1.0	20.0	1	1	2	0	1	400	1	7	2	5		9999		" "			"2451"		3	3.0
2451.0			1	1	5	1		" "	2016	66	2	" "	0.5	10.0	1	1	2	100	2		1	3	2	1		9999		" "			"2451"		3	3.0
2452.0	8	52	1	1	3	1		" "	2007	1	1	" "	1.0	20.0	1	1	1	0	1	1000	1	12	2	1		9999		" "	8	56	"2452"		3	3.0
2453.0	13	20	1	1	3	1		" "	2001	1	1	" "	7.0	40.0	1	1	1	0	2		1	16	2	1		9999		" "	13	27	"2453"		3	3.0
2453.0			1	1	4	1		" "	2004	1	2	" "	1.0	20.0	1	1	2	120	1	600	1	10	2	1		9999		" "			"2453"		3	3.0
2453.0			1	1	5	1		" "	2006	1	2	" "	30.0	150.0	1	1	2	2000	2		1	72	2	1		9999		" "			"2453"		3	3.0
2454.0	0			1	99			" "				" "																" "	0		"2454"		3	3.0
2455.0	9	1	2	1	4	1		" "	2015	1	1	" "	0.5	10.0	1	1	1	0	1	500	1	4	2	5		9999		" "	9	5	"2455"		3	3.0
2455.0			2	1	6	1		" "	2017	66	1	" "	0.5	10.0	1	1	1	0	1	200	5	1	2	1		9999		" "			"2455"		3	3.0
2456.0	9	5	1	1	4	1		" "	2016	66	1	" "	0.5	10.0	1	1	1	0	1	300	1	2	2	5		9999		" "	9	10	"2456"		3	3.0
2457.0	12	13	1	1	3	1		" "	2011	66	2	" "	1.5	20.0	1	1	2	90	1	500	1	6	2	5		9999		" "	12	16	"2457"		3	3.0
2457.0			1	1	4	1		" "	2017	1	1	" "	1.5	20.0	1	1	1	0	1	200	1	2	2	1		9999		" "			"2457"		3	3.0
2458.0	8	42	1	1	3	1		" "	2015	66	1	" "	1.0	10.0	2	2								1		2017	5	" "	8	46	"2458"		3	3.0
2458.0			1	1	4	1		" "	2018	66	1	" "	0.25	5.0	2	1	2	0	2		1	66	9					" "			"2458"		3	3.0
2459.0	14	45	1	1	3	1		" "	2015	66	1	" "	1.0	15.0	1	1	1	0	1	300	1	4	2	5		9999		" "	14	50	"2459"		3	3.0
2459.0			1	1	4	1		" "	2017	66	2	" "	0.5	10.0	1	1	2	150	1	200	1	1	2	1		9999		" "			"2459"		3	3.0
2460.0	9	51	6	1	3	1		" "	2008	1	2	" "	14.0	40.0	1	1	2	210	1	500	1	11	2	5		9999		" "	10	0	"2460"		3	3.0
2460.0			6	1	4	1		" "	2010	1	2	" "	0.5	10.0	1	1	2	0	1	400	1	8	2	5		9999		" "			"2460"		3	3.0
2460.0			6	1	5	1		" "	2011	1	2	" "	0.5	10.0	1	1	2	100	1	200	1	7	2	5		9999		" "			"2460"		3	3.0
2461.0	9	14	4	1	3	2	3	" "				" "																" "	9	20	"2461"		3	3.0
2461.0			4	1	4	1		" "	2006	1	1	" "	0.1	5.0	2	2								1		2011	6	" "			"2461"		3	3.0
2461.0			4	1	5	1		" "	2012	1	1	" "	1.0	20.0	1	1	2	90	1	200	1	6	2	1		9999		" "			"2461"		3	3.0
2461.0			4	1	6	1		" "	2017	1	1	" "	0.1	5.0	1	2								1		2018	6	" "			"2461"		3	3.0
2462.0	9	1	1	1	3	1		" "	2010	1	1	" "	0.1	5.0	1	1	2	0	2		1	77	2	6		9999		" "	9	10	"2462"		3	3.0
2463.0	12	0	2	1	3	1		" "	2017	1	1	" "	0.5	15.0	1	1	1	0	1	100	5	2	2	5		9999		" "	12	10	"2463"		3	3.0
2463.0			2	1	4	2	1	" "				" "																" "			"2463"		3	3.0
2464.0	0			1	99			" "				" "																" "	0		"2464"		3	3.0
2465.0	9	10	1	1	6	1		" "	2001	1	1	" "	0.25	5.0	1	1	1	30	1	1000	1	13	2	1		9999		" "	9	20	"2465"		3	3.0
2466.0	9	16	1	1	99			" "				" "																" "	9	20	"2466"		3	3.0
2467.0	9	21	1	1	3	1		" "	2015	1	1	" "	0.5	10.0	1	1	1	0	1	400	1	4	2	1		9999		" "	9	25	"2467"		3	3.0
2467.0			1	1	4	1		" "	2017	1	1	" "	0.5	10.0	1	1	1	0	1	200	1	2	2	1		9999		" "			"2467"		3	3.0
2469.0	8	40	1	1	3	1		" "	2003	1	1	" "	30.0	60.0	1	1	1	0	1	3000	1	16	2	5		9999		" "	8	50	"2469"		3	3.0
2469.0			1	1	4	1		" "	2005	1	1	" "	120.0	240.0	1	1	1	0	1	1000	1	74	2	5		9999		" "			"2469"		3	3.0
2470.0	9	16	1	1	3	1		" "	2006	1	9	" "	1.0	20.0	1	1	2	150	1	900	1	11	2	8		9999		" "	9	20	"2470"		3	3.0
2470.0			1	1	4	1		" "	2012	1	2	" "	1.0	20.0	1	1	2	100	1	600	1	7	2	8		9999		" "			"2470"		3	3.0
2471.0	9	21	2	1	3	1		" "	2013	1	2	" "	0.25	5.0	1	1	2	200	1	1000	1	6	2	1		9999		" "	9	30	"2471"		3	3.0
2471.0			2	1	4	2	1	" "				" "																" "			"2471"		3	3.0
2472.0	9	13	2	1	5	1		" "	2003	1	2	" "	0.1	5.0	2	2								8		2013	21	" "	9	17	"2472"		3	3.0
2472.0			2	1	7	1		" "	2013	1	1	" "	0.5	10.0	1	1	1	0	2		1	3	1	1		9999		" "			"2472"		3	3.0
2473.0	0			1	99			" "				" "																" "	0		"2473"		3	3.0
2474.0	14	30	1	1	2	1		" "	2013	66	1	" "	0.1	10.0	1	1	1	0	1	200	1	5	2	1		9999		" "	14	35	"2474"		3	3.0
2474.0			1	1	3	1		" "	2017	66	12	" "	0.5	30.0	1	1	2	200	1	500	1	1	2	1		9999		" "			"2474"		3	3.0
2475.0	9	1	1	1	3	1		" "	2008	1	2	" "	1.0	20.0	2	2								1		2017	21	" "	9	6	"2475"		3	3.0
2475.0			1	1	4	1		" "	2008	1	2	" "	1.0	20.0	1	1	2	100	1	500	1	11	2	1		9999		" "			"2475"		3	3.0
2476.0	8	10	1	1	3	1		" "	2006	1	1	" "	3.5	10.0	2	2								5		2012	21	" "	8	15	"2476"		3	3.0
2477.0	9	20	1	1	3	1		" "	2003	1	2	" "	0.1	10.0	2	2								8		2013	21	" "	9	25	"2477"		3	3.0
2477.0			1	1	4	1		" "	2018	66	12	" "	0.5	5.0	2	1	2	200	1	500	1	66	9					" "			"2477"		3	3.0
2478.0	9	10	1	1	4	1		" "	2012	1	2	" "	0.5	10.0	1	1	2	90	1	200	1	7	2	1		9999		" "	9	15	"2478"		3	3.0
2478.0			1	1	5	1		" "	2016	1	1	" "	0.1	5.0	1	1	1	0	2		5	3	2	5		9999		" "			"2478"		3	3.0
2479.0	8	34	1	1	99			" "				" "																" "	8	34	"2479"		3	3.0
2480.0	9	10	2	1	5	1		" "	2011	1	1	" "	0.5	10.0	1	1	1	0	1	400	1	8	2	5		9999		" "	9	15	"2480"		3	3.0
2481.1	8	56	1	1	5	1		" "	2010	1	2	" "	1.0	20.0	1	1	2	80	1	200	1	9	2	1		9999		" "	8	58	"2481.1"		3	3.0
2481.2	13	8	3	1	3	1		" "	2003	1	2	" "	1.0	20.0	2	2								1		2014	11	" "	13	12	"2481.2"		3	3.0
2481.2			3	1	9	1		" "	2005	1	2	" "	1.0	20.0	2	2								1		2013	21	" "			"2481.2"		3	3.0
2481.3	9	50	6	1	7	1		" "	2002	1	1	" "	0.1	3.0	2	2								5		2004	9	" "	9	55	"2481.3"		3	3.0
2482.0	9	41	2	1	3	1		" "	2007	1	1	" "	1.0	20.0	2	2								1		2012	11	" "	9	45	"2482"		3	3.0
2482.0			2	1	4	1		" "	2009	1	1	" "	1.0	20.0	2	2								1		2014	7	" "			"2482"		3	3.0
2482.0			2	1	5	1		" "	2013	1	2	" "	2.0	40.0	1	1	2	50	2		1	6	2	1		9999		" "			"2482"		3	3.0
2483.0	9	31	2	1	4	1		" "	2013	1	2	" "	1.0	20.0	1	1	2	50	1	300	1	6	2	1		9999		" "	9	35	"2483"		3	3.0
2483.0			2	1	5	1		" "	2016	1	1	" "	0.25	5.0	1	1	1	0	1	200	5	4	2	5		9999		" "			"2483"		3	3.0
2483.0			2	1	6	1		" "	2017	1	1	" "	0.25	5.0	1	1	1	0	1	200	1	2	2	1		9999		" "			"2483"		3	3.0
2485.0	9	25	7	1	5	1		" "	2017	1	1	" "	0.1	5.0	1	1	1	0	2		1	2	2	1		9999		" "	9	26	"2485"		3	3.0
2486.0	11	10	2	1	3	1		" "	2004	1	1	" "	0.1	5.0	2	2								5		2006	2	" "	11	15	"2486"		3	3.0
2486.0			2	1	4	1		" "	2006	1	10	" "	1.0	10.0	2	2								1		2016	11	" "			"2486"		3	3.0
2487.0	14	50	2	1	3	1		" "	2014	1	2	" "	200.0	300.0	1	1	2	300	2		1	5	2	1		9999		" "	14	55	"2487"		3	3.0
2487.0			2	1	4	1		" "	2015	1	2	" "	0.25	3.0	1	1	1	0	1	150	5	4	2	5		9999		" "			"2487"		3	3.0
2488.0	9	30	1	1	3	1		" "	2015	1	1	" "	0.25	5.0	1	1	1	0	1	150	5	4	2	5		9999		" "	9	40	"2488"		3	3.0
2488.0			1	1	4	1		" "	2016	1	1	" "	0.25	5.0	1	1	1	0	2		5	3	2	5		9999		" "			"2488"		3	3.0
2488.0			1	1	5	1		" "	2017	1	1	" "	0.25	5.0	1	1	1	0	2		5	2	2	5		9999		" "			"2488"		3	3.0
2489.0	9	12	1	1	3	1		" "	2016	1	1	" "	0.5	10.0	1	1	1	0	2		1	3	2	1		9999		" "	9	17	"2489"		3	3.0
2489.0			1	1	5	1		" "	2010	1	2	" "	1.0	20.0	1	1	2	90	2		1	8	2	1		9999		" "			"2489"		3	3.0
2490.0	9	31	2	1	3	1		" "	2017	1	1	" "	0.5	10.0	1	1	1	0	2		1	2	2	1		9999		" "	9	35	"2490"		3	3.0
2491.0	9	47	1	1	4	1		" "	2014	77	1	" "	1.0	15.0	1	1	1	0	2		5	2	2	5		9999		" "	9	54	"2491"		3	3.0
2491.0			1	1	5	1		" "	2018	1	1	" "	1.0	15.0	2	1	1	0	2		5	1	9					" "			"2491"		3	3.0
2492.0	0			1	99			" "				" "																" "	0		"2492"		3	3.0
2493.0	9	15	1	1	3	1		" "	2008	1	2	" "	15.0	60.0	1	1	2	1500	1	1500	1	72	2	5		9999		" "	9	30	"2493"		3	3.0
2493.0			1	1	4	1		" "	2010	1	2	" "	3.0	25.0	1	1	2	80	1	400	1	9	2	5		9999		" "			"2493"		3	3.0
2493.0			1	1	5	1		" "	2012	1	2	" "	2.0	20.0	1	1	2	80	1	400	1	7	2	5		9999		" "			"2493"		3	3.0
2494.0	9	20	2	1	3	1		" "	2017	1	2	" "	0.5	10.0	1	1	2	200	2		1	2	2	1		9999		" "	9	25	"2494"		3	3.0
2494.0			2	1	4	1		" "	2017	1	1	" "	0.5	10.0	1	1	1	100	2		2	5	2	5		9999		" "			"2494"		3	3.0
2495.0	9	30	1	1	6	1		" "	2011	1	2	" "	3.0	30.0	1	1	2	100	2		1	8	2	1		9999		" "	9	40	"2495"		3	3.0
2495.0			1	1	7	1		" "	2014	1	1	" "	0.25	5.0	1	1	1	0	1	300	5	5	2	5		9999		" "			"2495"		3	3.0
2496.0	9	17	5	1	3	1		" "	2010	1	2	" "	3.0	40.0	1	1	2	100	1	500	1	9	2	5		9999		" "	9	22	"2496"		3	3.0
2496.0			5	1	4	1		" "	2018	66	1	" "	1.0	20.0	2	1	1	0	2		1	66	9					" "			"2496"		3	3.0
2497.0	9	41	2	1	3	1		" "	2007	1	1	" "	5.0	40.0	1	1	2	90	2		1	11	2	8		9999		" "	9	49	"2497"		3	3.0
2497.0			2	1	4	1		" "	2012	1	2	" "	1.0	20.0	1	1	2	0	2		1	7	2	1		9999		" "			"2497"		3	3.0
2497.0			2	1	5	1		" "	2018	1	2	" "	1.0	20.0	2	1	2	150	2		1	1	9					" "			"2497"		3	3.0
2498.0	9	12	1	1	2	1		" "	2017	1	2	" "	2.0	40.0	1	1	2	50	1	500	8	7	2	8		9999		" "	9	16	"2498"		3	3.0
2498.0			1	1	3	1		" "	2012	1	6	" "	2.0	40.0	1	1	2	100	2		1	2	2	1		9999		" "			"2498"		3	3.0
2499.0	9	30	1	1	4	1		" "	2016	1	1	" "	4.0	50.0	1	1	1	0	1	200	1	3	2	1		9999		" "	9	35	"2499"		3	3.0
2499.0			1	1	5	1		" "	2017	77	2	" "	5.0	60.0	1	1	2	300	2		1	2	2	1		9999		" "			"2499"		3	3.0
2500.0	9	51	1	1	2	1		" "	2009	1	10	" "	0.1	5.0	1	1	2	250	2		1	5	2	1		9999		" "	9	56	"2500"		3	3.0
2500.0			1	1	3	1		" "	2013	1	1	" "	0.1	5.0	1	1	1	0	2		1	2	1	5		9999		" "			"2500"		3	3.0
2500.0			1	1	4	1		" "	2015	1	1	" "	0.1	5.0	1	1	1	0	2		5	3	2	1		9999		" "			"2500"		3	3.0
2501.0	9	45	4	1	6	1		" "	2007	66	9	" "	350.0	400.0	1	1	1	0	2		1	74	2	8	5	9999		" "	9	50	"2501"		3	3.0
2501.0			4	1	7	1		" "	2011	66	2	" "	1.0	20.0	1	1	2	0	2		1	7	2	5	6	9999		" "			"2501"		3	3.0
2502.0	10	18	1	1	3	1		" "	2015	1	1	" "	0.5	10.0	1	1	2	0	2		1	4	2	5	6	9999		" "	10	21	"2502"		3	3.0
2503.0	11	1	6	1	6	1		" "	2009	1	7	" "	6.0	40.0	1	1	2	0	2		1	10	2	1		9999		" "	11	6	"2503"		3	3.0
2503.0			6	1	7	1		" "	2011	1	2	" "	3.0	20.0	1	2								6		2017	21	" "			"2503"		3	3.0
2504.0	9	31	1	1	2	1		" "	2001	66	1	" "	2.0	20.0	2	2								5		2007	9	" "	9	35	"2504"		3	3.0
2505.0	9	22	1	1	4	1		" "	2012	66	1	" "	3.0	30.0	1	2								5	6	2018	9	" "	9	24	"2505"		3	3.0
2507.0	10	53	2	1	99			" "				" "																" "	10	54	"2507"		3	3.0
2508.0	11	21	3	1	5	1		" "	2014	66	1	" "	1.0	20.0	1	1	1	0	2		5	4	2	5	6	9999		" "	11	26	"2508"		3	3.0
2509.0	9	38	1	1	3	1		" "	2013	66	1	" "	0.5	10.0	1	1	2	100	1	500	1	77	2	5	6	9999		" "	9	41	"2509"		3	3.0
2509.0			1	1	4	1		" "	2017	66	1	" "	0.5	10.0	1	1	1	0	2		5	1	2	5	6	9999		" "			"2509"		3	3.0
2510.0	15	38	1	1	2	1		" "	2000	1	1	" "	2.0	20.0	2	2								1		2005	9	" "	15	43	"2510"		3	3.0
2511.1	10	46	2	1	4	1		" "	2010	66	2	" "	3.0	40.0	1	2								5		2018	9	" "	10	51	"2511.1"		3	3.0
2511.2	11	43	3	1	6	1		" "	2008	1	2	" "	4.0	60.0	2	2								5	6	2016	21	" "	11	48	"2511.2"		3	3.0
2512.1	9	20	2	1	3	1		" "	2007	66	9	" "	2.0	20.0	1	1	2	0	1	500	9	11	2	5	9	9999		" "	9	24	"2512.1"		3	3.0
2512.1			2	1	4	1		" "	2009	66	2	" "	3.0	10.0	1	1	2	0	1	350	1	9	2	5	1	9999		" "			"2512.1"		3	3.0
2512.2	12	35	6	1	99			" "				" "																" "	12	37	"2512.2"		3	3.0
2513.0	10	21	1	1	3	1		" "	2014	66	1	" "	0.5	10.0	1	1	1	0	2		5	4	2	5	6	9999		" "	10	28	"2513"		3	3.0
2514.0	9	51	2	1	4	1		" "	2008	66	2	" "	2.0	20.0	1	1	2	0	1	500	8	10	2	5	8	9999		" "	9	55	"2514"		3	3.0
2515.0	10	31	3	1	5	1		" "	2003	1	2	" "	3.0	25.0	2	2								2		2010	9	" "	10	41	"2515"		3	3.0
2515.0			3	1	6	1		" "	2010	1	2	" "	2.0	20.0	2	2								5		2015	9	" "			"2515"		3	3.0
2515.0			3	1	7	1		" "	2005	1	2	" "	3.0	25.0	2	2								5		2010	12	" "			"2515"		3	3.0
2515.0			3	1	8	1		" "	2009	66	2	" "	3.0	25.0	1	1	2	0	2		1	9	2	5		9999		" "			"2515"		3	3.0
2516.0	11	6	1	1	4	1		" "	2017	66	3	" "	0.5	10.0	1	1	2	0	2		1	1	2	5	6	9999		" "	11	9	"2516"		3	3.0
2517.0	14	53	1	1	3	1		" "	2015	1	6	" "	1.0	20.0	1	1	2	0	1	200	1	4	2	1		9999		" "	14	58	"2517"		3	3.0
2517.0			1	1	4	2	3	" "				" "																" "			"2517"		3	3.0
2518.0	10	48	1	1	99			" "				" "																" "	10	49	"2518"		3	3.0
2519.0	13	9	1	1	5	1		" "	2006	66	1	" "	1.0	20.0	2	2								6		2008	9	" "	13	14	"2519"		3	3.0
2521.0	8	0	1	1	7	1		" "	2006	1	2	" "	1.0	20.0	1	2								5		2018	21	" "	8	4	"2521"		3	3.0
2521.0			1	1	8	2	9	" "				" "																" "			"2521"		3	3.0
2522.0	8	12	1	1	4	1		" "	2012	66	7	" "	2.0	30.0	1	1	2	0	2		1	6	2	5	6	9999		" "	8	16	"2522"		3	3.0
2522.0			1	1	5	2	3	" "				" "																" "			"2522"		3	3.0
2523.0	8	47	1	1	4	1		" "	2016	1	1	" "	0.5	10.0	1	1	1	0	1	300	5	3	2	5	6	9999		" "	8	51	"2523"		3	3.0
2524.1	8	59	2	1	5	1		" "	2014	1	1	" "	1.0	20.0	1	1	1	0	1	250	5	5	2	5	6	9999		" "	9	3	"2524.1"		3	3.0
2524.2	16	15	6	1	7	2	1	" "				" "																" "	16	16	"2524.2"		3	3.0
2525.0	15	21	1	1	5	1		" "	2014	1	7	" "	2.0	30.0	1	1	2	0	2		1	5	2	5	6	9999		" "	15	26	"2525"		3	3.0
2525.0			1	1	6	1		" "	2017	1	1	" "	0.5	10.0	1	1	1	0	2		5	2	2	5	6	9999		" "			"2525"		3	3.0
2526.0	8	30	1	1	99			" "				" "																" "	8	31	"2526"		3	3.0
2527.0	8	9	1	1	3	1		" "	2014	66	8	" "	0.0	0.0	1	1	2	1500	2		1	2	1	1		9999		" "	8	13	"2527"		3	3.0
2527.0			1	1	4	2	22	" "				" "																" "			"2527"		3	3.0
2528.0	8	29	2	1	5	1		" "	2017	1	1	" "	0.5	8.0	1	1	1	0	2		5	2	2	5	6	9999		" "	8	33	"2528"		3	3.0
2529.0	9	1	1	1	3	1		" "	2011	1	7	" "	2.0	30.0	1	1	2	100	2		1	6	1	5		9999		" "	9	10	"2529"		3	3.0
2529.0			1	1	4	1		" "	2016	1	1	" "	0.25	8.0	1	1	1	0	2		5	3	2	5	6	9999		" "			"2529"		3	3.0
2530.0	8	15	5	1	2	1		" "	2013	1	2	" "	0.0	0.0	1	1	2	150	2		1	6	2	5	6	9999		" "	8	20	"2530"		3	3.0
2530.0			5	1	3	1		" "	2017	1	12	" "	1.0	20.0	1	1	2	200	2		1	2	2	5	6	9999		" "			"2530"		3	3.0
2531.0	8	51	1	1	2	1		" "	1999	1	2	" "	1.0	20.0	2	2								8		2007	21	" "	8	56	"2531"		3	3.0
2531.0			1	1	3	1		" "	2017	66	1	" "	1.0	20.0	1	1	1	0	2		5	1	2	5		9999		" "			"2531"		3	3.0
2532.0	8	41	2	1	3	1		" "	2017	66	1	" "	1.0	50.0	1	1	2	200	2		1	1	2	5	6	9999		" "	8	45	"2532"		3	3.0
2533.0	9	21	1	1	3	1		" "	2017	66	1	" "	0.5	10.0	1	1	1	0	2		1	66	1	1		9999		" "	9	30	"2533"		3	3.0
2533.0			1	1	5	1		" "	2008	1	2	" "	1.0	20.0	2	2								8	5	2015	21	" "			"2533"		3	3.0
2534.1	8	15	1	1	4	2	3	" "				" "																" "	8	17	"2534.1"		3	3.0
2534.2	14	20	3	1	5	1		" "	2018	66	1	" "	1.0	10.0	2	1	1	0	2		1	66	9					" "	14	23	"2534.2"		3	3.0
2535.0	8	22	1	1	3	1		" "	2013	1	7	" "	2.0	30.0	1	1	1	0	2		8	6	2	8		9999		" "	8	30	"2535"		3	3.0
2535.0			1	1	4	1		" "	2018	66	1	" "	2.0	30.0	2	1	1	0	2		5	66	9					" "			"2535"		3	3.0
2536.0	8	56	1	1	3	1		" "	2004	1	9	" "	3.0	45.0	1	2								5	8	2018	21	" "	9	0	"2536"		3	3.0
2536.0			1	1	4	1		" "	2012	66	2	" "	2.0	60.0	1	1	2	0	1	300	1	6	2	5		9999		" "			"2536"		3	3.0
2536.0			1	1	5	1		" "	2006	1	2	" "	1.5	40.0	2	2								5	8	2016	21	" "			"2536"		3	3.0
2537.0	8	27	2	1	3	1		" "	2007	66	7	" "	2.0	30.0	2	2								1		2014	3	" "	8	37	"2537"		3	3.0
2537.0			2	1	4	1		" "	2011	66	7	" "	2.0	30.0	1	1	2	0	2		1	7	2	5		9999		" "			"2537"		3	3.0
