a01	stime_h_b2	stime_m_b2	res_id_b2	consent_b2	mid_b2	b2_01	b2_02	b2_02oth	b2_03	b2_04	b2_05	b2_05oth	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	b2_14oth	etime_h_b2	etime_m_b2	hhid2	flag_b2	hh_type	round
53.0			1	1	5	1		" "	2018	1	1	" "	0.5	10.0	1	1	1	0	1	200	1	1	9					" "			"53"		2	3.0
54.0	9	30	1	1	4	1		" "	2000	1	9	" "	5.0	45.0	2	2								9		2017	21	" "	9	40	"54"		2	3.0
54.0			1	1	5	1		" "	2016	1	1	" "	0.5	10.0	1	1	1	0	1	300	5	3	2	5		9999		" "			"54"		2	3.0
56.0	10	15	1	1	7	1		" "	2012	1	2	" "	0.5	10.0	1	1	2	0	2		1	6	2	5		9999		" "	10	25	"56"		2	3.0
56.0			1	1	8	1		" "	2004	1	2	" "	0.5	10.0	1	2								5		2013	21	" "			"56"		2	3.0
58.0	9	40	1	1	99			" "				" "																" "	0		"58"		2	3.0
60.0	9	15	1	1	5	1		" "	2017	66	3	" "	0.5	10.0	1	1	2	200	2		1	1	2	1		9999		" "	9	25	"60"		2	3.0
61.0	9	30	1	1	3	1		" "	2007	1	2	" "	1.0	10.0	2	2								5		2012	3	" "	9	35	"61"		3	3.0
61.0			1	1	4	1		" "	2012	1	1	" "	1.0	20.0	2	2								5		2016	3	" "			"61"		3	3.0
63.0	14	28	1	1	3	1		" "	2006	1	1	" "	1.0	15.0	2	2								5		2010	9	" "	14	40	"63"		3	3.0
63.0			1	1	4	1		" "	2014	1	1	" "	1.0	15.0	1	1	1	0	1	400	5	5	2	5		9999		" "			"63"		3	3.0
63.0			1	1	5	1		" "	2017	66	1	" "	1.0	15.0	1	1	1	0	2		1	1	2	1		9999		" "			"63"		3	3.0
66.0	9	25	1	1	4	1		" "	2010	66	10	" "	280.0	400.0	1	1	2	100	2		1	7	2	1		9999		" "	9	35	"66"		3	3.0
66.0			1	1	6	1		" "	2012	1	2	" "	1.0	15.0	2	2								5		2017	9	" "			"66"		3	3.0
66.0			1	1	8	1		" "	2004	1	2	" "	1.0	15.0	2	2								5		2012	9	" "			"66"		3	3.0
67.0	8	48	2	1	3	1		" "	2011	66	2	" "	1.0	15.0	1	1	2	0	1	700	1	7	2	5		9999		" "	8	55	"67"		3	3.0
67.0			2	1	4	1		" "	2004	1	9	" "	1.0	15.0	2	2								8	9	2016	21	" "			"67"		3	3.0
68.0	9	20	2	1	5	1		" "	2014	1	1	" "	1.0	10.0	1	1	1	0	1	100	5	5	2	5		9999		" "	9	30	"68"		3	3.0
68.0			2	1	6	1		" "	1999	1	2	" "	2.0	20.0	2	2								1		2010	9	" "			"68"		3	3.0
69.1	16	15	1	1	7	1		" "	2015	1	1	" "	0.5	5.0	2	2								1		2016	3	" "	16	15	"69.1"		3	3.0
69.2	10	15	4	1	5	1		" "	2017	77	2	" "	3.0	30.0	1	1	2	300	2		1	77	2	1		9999		" "	10	20	"69.2"		3	3.0
70.0	9	25	1	1	3	1		" "	2017	66	1	" "	2.0	20.0	1	1	1	0	1	300	5	1	2	5		9999		" "	9	35	"70"		3	3.0
70.0			1	1	4	1		" "	2010	1	7	" "	2.0	20.0	1	1	2	0	1	1500	1	9	2	1		9999		" "			"70"		3	3.0
71.0	15	30	1	1	5	1		" "	2016	1	1	" "	1.0	10.0	1	1	1	0	1	200	5	2	2	5		9999		" "	15	35	"71"		3	3.0
72.0	8	50	1	1	5	1		" "	2002	66	2	" "	0.5	5.0	2	2								1		2008	10	" "	9	0	"72"		3	3.0
72.0			1	1	6	1		" "	2018	66	1	" "	0.5	5.0	2	1	2	200	2		1	1	9					" "			"72"		3	3.0
73.0	10	5	1	1	3	1		" "	2006	1	1	" "	1.0	10.0	2	2								5		2010	9	" "	10	10	"73"		3	3.0
