a01	hh_type	m2_01	m2_02	m2_03	m2_04	m2_05	m2_06	m2_07	m2_08	m2_09	m2_10	m2_11	m2_12	m2_13	m2_14	m2_15	m2_16	m2_17	m2_18	m2_19	m2_20	m2_21
18.1	3	2	6	10	10	6	1	3	0.8	150	150	1	1		2		1	0	0	1	1	2
18.1	3	3	10	11	2	2	40	2		150	6000	1	1		2		6	1	15	12	1	2
18.1	3	4	11	11	2	2	8	2		500	4000	1	1		2		6	1	15	12	1	2
18.2	3	1	27	8	10	6	5	2		30	150	1	1		2		2	0.25	0.25	1	0.5	2
18.2	3	2	6	11	10	6	2	3	1	200	400	1	1		2		1	0	0	1	0.5	2
18.2	3	3	10	11	2	2	35	2		165	5775	1	1		2		6	1	5	3	1	2
18.2	3	4	11	11	2	2	20	2		700	14000	1	1		2		6	1	5	3	1	2
19	3	1	27	10	10	6	4	3	0.05	8	32	1	1		2		1	0	0	1	0.1	2
20	3	1	11	11	2	1	25	2		700	17500	1	1		2		3	1	20	3	1	2
20	3	2	10	11	2	1	70	2		100	7000	1	1		2		3	1	20	3	1.5	2
20	3	3	22	9	9	3	10	2		10	100	1	1		2		2	0.5	0.25	1	1	2
20	3	4	27	7	1	6	350	2		2.28	800	1	1		2		1	0	0	1	1	2
22	2	1	6	9	1	1	1	3	0.5	150	150	1	100		2		1	0	0	13	0	2
22	2	2	27	9	10	1	1	3	0.05	8	8	1	100		2		1	0	0	13	0	2
23	2	1	8	8	1	6	1	3	9	3150	3150	1	100		2		1	0	0	13	0	2
23	2	2	27	12	1	6	0.5	2		50	25	1	100		2		1	0	0	13	0	2
23	2	3	27	12	1	6	2	3	0.06	8	16	1	100		2		1	0	0	13	0	2
24	2	99																				
25	2	1	11	11	2	2	20	2		700	14000	1	100		2		6	0.5	4	12	1	2
25	2	2	10	11	2	2	1	1	40	3000	3000	1	100		2		6	0.5	4	12	1	2
26	2	99																				
27	2	1	27	10	1	6	2	3	0.06	10	20	1	100		1	1	1	0	0	13	0	2
28	2	1	7	8	1	6	1	3	56	14000	14000	1	100		2		1	0	0	13	0	2
29	2	1	10	11	1	6	35	2		150	5250	1	100		2		1	0	0	13	0	2
30.1	2	99																				
30.2	2	99																				
31	2	1	6	10	1	1	1	3	0.6	300	300	1	100		2		1	0	0	13	0	2
31	2	2	7	7	2	1	1	3	60	13000	13000	1	100		2		2	0.2	1	1	1	2
32	2	1	6	10	10	1	1	3	0.7	500	500	1	100		2		1	0	0	13	0	2
33	2	99																				
34	2	99																				
35	2	99																				
36	2	1	10	11	2	2	20	2		125	2500	1	100		2		6	0.5	4	3	1	2
37	2	1	27	5	10	6	900	2		3.33333333333333	3000	1	100		2		1	0	0	13	0	2
37	2	2	11	11	2	2	20	2		750	15000	1	100		2		6	0.5	4	3	1	2
37	2	3	10	11	2	2	80	2		100	8000	1	100		2		6	0.5	4	3	1	2
38	2	1	11	9	2	2	3	2		833.333333333333	2500	1	100		2		3	0.5	4	3	1	2
38	2	2	10	9	2	2	20	2		97.5	1950	1	100		2		3	0.5	4	3	1	2
38	2	3	7	8	9	5	1	3	40	8000	8000	1	100		2		2	0.3	2	1	1	2
39	2	1	7	9	1	1	1	3	120	24000	24000	1	100		2		2	0.2	1	1	1	2
39	2	2	10	8	4	2	20	2		650	13000	1	100		2		3	0.5	4	3	1	2
39	2	3	11	8	4	2	40	2		175	7000	1	100		2		3	0.5	4	3	1	2
39	2	4	27	9	10	3	100	2		4	400	1	100		2		1	0	0	13	0	2
41	2	1	6	6	10	1	1	3	0.5	175	175	1	100		2		1	0	0	13	0	2
41	2	2	27	8	10	1	1	3	0.05	8	8	1	100		2		1	0	0	13	0	2
41	2	3	27	4	2	2	80	2		5	400	1	100		2		1	0	0	13	0	2
41	2	4	27	4	2	2	40	2		20	800	1	100		2		1	0	0	13	0	2
42	2	1	27	11	2	1	10	2		55	550	1	100		2		2	0.3	3	12	1	2
42	2	2	14	7	10	6	1	3	3	24	24	1	100		2		1	0	0	13	0	2
42	2	3	27	12	9	3	1	2		24	24	1	100		2		2	0.3	3	12	1	2
42	2	4	6	10	10	6	1	2		210	210	1	100		2		1	0	0	13	0	2
42	2	5	27	12	10	6	2	3	0.06	8	16	1	100		2		1	0	0	13	0	2
42	2	6	10	8	9	3	10	2		100	1000	1	100		2		2	0.3	2	12	1	2
42	2	7	27	12	10	6	1100	2		0.727272727272727	800	1	100		2		1	0	0	13	0	2
43	2	1	6	3	10	1	1	3	0.7	200	200	1	100		2		1	0	0	13	0	2
43	2	2	27	4	10	1	1	3	0.05	9	9	1	100		2		1	0	0	13	0	2
44	2	99																				
45	2	99																				
46	2	1	6	12	10	3	1	3	0.6	140	140	1	0	3	2		1	0	0	13	0	2
46	2	2	27	12	10	3	0.5	2		50	25	1	0	5	2		1	0	0	13	0	2
47	2	1	6	11	10	6	1	2		170	170	1	100		2		1	0	0	13	0	2
47	2	2	27	10	10	6	1	3	0.8	170	170	1	100		2		1	0	0	13	0	2
48	2	1	6	11	10	6	1	2		190	190	1	100		1	1	1	0	0	13	0	2
49	2	1	27	11	2	5	4	2		62.5	250	1	100		2		2	0.5	2	7	1	2
50	2	1	27	5	10	5	1	3	0.05	9	9	1	100		2		1	0	0	13	0	2
50	2	2	6	5	10	5	1	3	0.8	200	200	1	100		2		1	0	0	13	0	2
51	2	99																				
52	2	1	27	9	10	5	1	3	0.065	10	10	1	100		2		1	0	0	13	0	2
53	2	1	27	9	1	1	1000	2		3	3000	1	100		2		1	0	0	13	0	2
53	2	2	27	8	10	5	1	3	0.05	9	9	1	100		2		1	0	0	13	0	2
53	2	3	6	6	10	1	1	3	0.7	200	200	1	100		2		1	0	0	13	0	2
54	2	1	27	11	2	1	5	2		50	250	1	100		2		1	0	0	13	0	2
54	2	2	27	10	2	1	70	3	0.7	15	1050	1	100		2		1	0	0	13	0	2
56	2	99																				
58	2	1	7	8	2	1	1	3	80	17000	17000	1	100		2		6	1	5	1	1	2
58	2	2	6	11	10	5	4	3	1	300	1200	1	100		2		2	0.5	2	3	1	2
58	2	3	27	11	10	5	2	2		30	60	1	100		2		2	0.5	2	3	1	2
58	2	4	27	9	10	5	1	2		15	15	1	100		2		1	0	0	13	0	2
59	2	1	10	11	10	5	14	2		32.1428571428571	450	1	100		2		2	0.5	1	1	1	2
59	2	2	6	10	10	6	5	3	0.3	75	375	1	100		2		1	0	0	13	0	2
60	2	1	27	10	2	1	3	2		200	600	1	100		2		1	0	0	13	0	2
61	3	1	10	1	2	5	100	2		180	18000	1	1		2		2	0.15	1	3	3	2
61	3	2	27	1	9	5	8	3	60	10	80	1	1		2		2	0.15	1	1	0.5	2
62	3	1	10	9	2	1	1	1	40	3600	3600	1	1		2		2	1	2	1	1	2
63	3	1	27	5	2	1	20	2		100	2000	1	1		2		1	0	0	1	0.5	2
66	3	1	27	8	2	2	90	4	0.002	155.555555555556	14000	1	1		1	1	1	0	0	3	0.5	2
67	3	1	10	1	9	3	7	2		100	700	1	1		2		2	0.1	1	1	1	2
67	3	2	14	6	9	3	10	2		10	100	1	1		2		2	0.1	1	1	0.5	2
67	3	3	27	9	9	3	4	2		100	400	1	1		2		2	0.1	1	1	0.5	2
67	3	4	27	6	9	3	15	2		13	200	1	1		2		2	0.1	1	1	0.5	2
67	3	5	16	9	9	3	15	2		15	220	1	1		2		2	0.1	1	1	0.5	2
68	3	99																				
69	3	1	10	8	9	5	340	2		90	30600	1	1		2		2	0.15	1	1	4	2
70	3	1	27	11	1	1	10	3	0.045	10	100	1	1		2		1	0	0	1	0.1	2
71	3	99																				
72	3	99																				
74	3	1	5	4	9	1	4.25	1	40	900	3825	1	1		2		2	0.5	1	3	1	2
75	3	1	22	9	1	5	5	2		16	80	1	1		2		1	0	0	1	0	2
75	3	2	19	1	1	5	8	3	2	12	96	1	1		2		1	0	0	1	0	2
76	3	99																				
77	3	99																				
78	3	99																				
79	3	99																				
80	3	99																				
81	3	99																				
82	3	99																				
83	3	1	14	4	10	5	1	3	8	45	45	1	1		2		1	0	0	1	0.1	2
83	3	2	27	6	10	5	2	2		20	40	1	1		2		1	0	0	1	0.1	2
