a01	hh_type	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_19a	q_19b	q_19c	q_20	q_20a	q_20a_2	q_20b	q_20b_2	q_20c	q_20c_2	q_20d_1	q_20d_2	q_20d_3	q_21
3134	3	1	500		12	0	3	2	2	4	1	2	414	1	3	110	9	0	1		3			1	1	1	2		2		6			80
3135	3	1	800		43	0	1	2	2	4	1	2	517.5	1	2	550	2	0	1		3			1	1	2	2		2		6			60
3136	3	1	5000		9999	0	1	1	1	1	1	4	2700	1	2	526	2	0	1		3			2	1	1	1	2	2		6			200
3137	3	1	1500		9999	0	2	2	2	1	1	3	621	1	2	222	3	0	1		3			1	2		1	3	2		6			50
3138	3	1	1000		30	0	2	2	2	4	1	2	126	1	2	512	2	0	1		3			2	1	1	1	2	2		6			100
3139	3	1	1000		20	0	2	2	2	4	2	2	432	1	2	708	3	0	1		3			5	2		1	3	1	6	1			800
3140	3	1	2500		9999	0	1	2	2	4	1	3	567	1	3	160	2	0	1		3			2	2		1	3	1	4	6			300
3141	3	1	3000		18	0	1	2	2	1	1	3	576	1	2	366	5	200	1		3			3	1	1	1	1	1	4	6			600
3142	3	1	2000		4	0	1	2	2	4	1	1	283.5	1	2	350	5	0	1		3			2	1	1	1	1	2		6			500
3143	3	1	1000		6	2	2	2	2	4	2	2	468	1	3	350	5	650	1		3			1	1	2	2		2		6			100
3144	3	1	2000		150	0	3	2	2	4	1	2	472.5	1	2	300	5	0	1		3			3	1	3	1	4	2		6			700
3145	3	1	3000		1	0	1	2	2	1	1	2	2520	1	2	380	5	1000	1		3			2	2		1	2	1	3	6			200
3146	3	1	2000		50	0	1	2	2	1	1	4	441	1	2	394	6	300	1		3			3	1	1	1	2	1	3	1			500
3147	3	1	500		12	0	3	2	2	4	1	2	252	1	2	105	5	500	1		3			2	2		1	2	1	3	6			300
3148	3	1	4000		2	0	1	1	1	1	1	2	495	1	2	442	5	500	1		3			1	1	1	2		2		6			80
3149	3	1	1000		7	0	2	2	2	4	1	1	189	2			4	600	4	200	3			2	1	1	1	2	2		6			300
3150	3	1	3000		15	3	1	1	1	1	1	5	1579.5	2			6	300	4	200	1	1	2011	1	1	1	1	2	1	6	6			200
3151	3	1	3000		18	0	2	2	2	1	2	4	634.5	1	2	1000	5	0	1		3			3	1	1	1	3	1	5	6			700
3152	3	1	2000		45	0	2	2	2	4	1	2	236.25	1	2	330	5	0	1		3			3	1	1	1	2	1	3	6			1500
3153	3	1	1500		12	0	2	2	2	1	1	2	324	1	2	221	5	700	1		3			1	1	1	2		2		6			650
3154	3	1	2000		30	0	1	2	2	1	1	2	288	1	2	920	5	1200	1		3			2	1	1	1	2	2		1	4		1500
3155	3	1	1000		2	0	2	2	2	4	1	1	236.25	1	2	150	5	500	1		3			1	1	5	2		2		6			200
3156	3	1	3000		11	0	2	2	2	1	1	2	378	1	2	270	5	850	1		3			2	1	1	1	2	2		6			300
3157	3	1	1000		50	0	2	2	2	4	1	2	693	1	2	202	5	1200	1		3			1	2		1	2	2		6			50
3158	3	1	3000		3	0	1	1	1	1	1	3	432	1	2	450	5	0	1		3			1	1	1	1	2	2		6			100
3159	3	1	4000		4	0	1	1	1	1	1	2	409.5	1	2	500	5	800	1		3			1	1	1	2		2		6			400
3160	3	1	600		8	0	3	2	2	4	1	2	220.5	1	2	211	8	100	1		3			2	1	1	1	2	2		6			1000
3161	3	1	1000		2	0	2	2	2	1	2	4	1080	1	2	500	5	500	1		3			2	1	1	1	2	2		6			600
3162	3	1	4000		1	0	1	2	2	3	1	2	288	1	2	500	5	1600	1		3			1	1	1	2		2		6			600
3163	3	1	500		11	0	2	2	2	3	1	1	198	1	2	150	6	0	1		3			1	1	1	2		2		1			400
3164	3	1	2500		20	0	2	2	2	4	3	4	643.5	1	2	250	5	1800	1		3			1	1	3	2		2		6			200
3165	3	1	3000		25	0	1	2	2	3	2	3	405	1	2	275	5	1500	1		3			3	1	2	1	2	1	1	6			300
3166	3	2	1000		5	2	1	1	1	1	1	3	480	1	2	200	9	0	1		3			2	1	1	1	2	2		6			150
3167	3	1	2000		12	1	1	1	2	1	2	2	720	1	2	1100	5	300	1		3			4	1	1	1	3	1	6	4			300
3168	3	1	1200		5	0	3	2	2	3	1	2	162	1	2	300	5	1000	1		3			0	2		2		2		7			0
3169	3	1	1000		10	0	3	2	2	3	1	1	135	1	2	100	5	800	1		3			2	2		2		2		7			0
3170	3	1	2000		15	0	3	2	2	4	2	2	544.5	1	2	100	5	1000	1		3			1	1	2	2		2		6			200
3172	3	1	3000		10	0	1	1	1	1	1	2	342	1	2	211	5	600	1		3			1	1	1	2		2		6			100
3173	3	1	2000		20	0	3	2	2	3	2	3	630	1	2	100	5	500	1		3			1	1	5	2		2		6			400
3174	3	2	1500		3	0	2	2	2	1	1	2	288	1	2	474	5	500	1		3			1	1	2	2		2		6			300
3176	3	1	6000		10	0	1	1	1	1	1	6	540	1	2	1000	5	1500	1		3			3	2		1	3	1	4	6			500
3177	3	1	3000		40	0	1	1	1	1	2	4	956.25	1	2	665	5	1050	1		3			2	1	1	1	2	2		6			500
3178	3	1	1000		68	0	3	2	2	4	2	2	756	1	2	600	5	0	1		3			1	1	1	2		2		6			500
3179.1	3	1	5000		40	0	1	1	1	1	1	6	1944	1	2	600	3	600	1		3			3	1	1	1	2	1	6	6			600
3179.2	3	1	1500		3	0	1	2	2	1	1	2	504	1	2	310	5	200	1		3			1	1	3	2		2		6			200
3179.3	3	1	5000		2	0	1	1	1	1	1	3	1350	1	2	375	5	800	1		3			1	1	1	2		2		6			500
3180	3	1	2000		15	0	2	2	2	3	2	4	787.5	1	2	250	9	300	1		3			3	1	3	1	6	1	7	6			800
3181	3	1	2000		15	0	1	2	2	3	1	2	306	1	2	450	5	0	1		3			1	1	1	2		2		6			200
3182	3	2	300		15	0	2	2	2	4	1	2	180	2			5	0	4	240	3			1	1	1	2		2		6			300
3183	3	2	300		17	0	3	2	2	4	1	1	157.5	1	2	105	9	100	1		3			1	1	1	2		2		6			29
3184	3	1	500		19	0	2	2	2	1	1	2	362.25	1	2	500	5	500	1		3			2	1	2	1	1	2		6			200
3185	3	1	300		25	3	3	2	2	3	1	1	270	1	2	120	9	0	1		3			1	1	1	2		2		6			30
3186	3	1	2000		3	0	2	2	2	3	1	1	220.5	1	2	200	9	0	1		3			1	1	1	2		2		6			0
3187	3	1	300		15	0	3	2	2	4	1	1	180	1	2	300	9	250	1		3			2	1	1	1	4	2		6			500
3188	3	1	1500		15	0	2	2	2	4	1	1	252	1	2	300	5	0	1		3			2	1	2	1	1	2		1			350
3189	3	1	2000		2	0	1	2	2	3	2	6	1093.5	1	2	800	5	1200	1		3			3	1	1	1	2	1	3	6			300
3190	3	1	250		10	0	2	2	2	4	1	1	108	1	2	350	5	500	1		3			1	1	1	2		2		6			30
3191	3	1	1500		6	0	2	2	2	4	1	2	252	1	2	350	5	300	1		3			0	2		2		2		6			0
3193	3	2	1000		9999	0	3	2	2	1	1	2	243	1	2	350	5	72	1		3			2	1	3	1	2	2		6			400
3194	3	1	300		4	0	2	2	2	3	1	1	236.25	2			5	400	4	300	3			2	1	1	1	3	2		6			50
3195	3	1	300		20	0	3	2	2	4	1	1	78.75	1	2	105	5	0	1		3			1	1	1	2		2		1			100
3196	3	1	500		30	0	2	2	2	3	2	2	405	1	2	105	5	1000	1		3			1	1	1	2		2		6			100
3197	3	1	1000		25	0	2	2	2	4	1	2	220.5	1	2	105	9	200	1		3			2	1	1	1	2	2		1			300
3198	3	1	2000		15	0	3	2	2	3	1	2	432	1	2	230	5	1000	1		3			1	1	1	2		2		1			150
3199	3	1	500		45	0	2	2	2	3	1	1	157.5	1	2	105	5	0	1		3			1	1	2	2		2		6			20
3200	3	1	500		20	0	2	2	2	3	1	1	315	1	2	400	5	0	1		3			1	1	1	2		2		6			50
3201	3	1	200		12	2	3	4	2	4	1	2	526	2			5	0	3	0	3			3	1	1	1	3	1	4	6			150
3202	3	1	300		16	1	3	4	2	4	1	2	594	2			5	0	4	140	3			1	1	1	2		2		6			100
3203	3	1	300		40	3	3	4	2	4	2	2	288	2			5	0	4	140	3			1	2		1	3	2		6			70
3204	3	1	250		13	2	3	4	2	4	2	2	576	2			5	0	3	0	3			2	1	3	1	4	2		6			250
3205	3	1	300		18	3	3	4	2	4	1	2	364	2			9	0	3	0	3			2	1	1	2		2		6			150
3206	3	1	300		4	5	3	4	2	4	2	3	540	2			9	0	4	140	3			1	2		1	2	2		6			120
3207	3	1	200		100	1	3	4	2	4	1	1	304	2			5	300	4	70	3			1	1	1	2		2		1			60
3208	3	1	300		16	1	3	4	2	4	1	2	594	2			5	0	4	140	3			1	1	1	2		2		6			100
3209	3	1	300		12	2	3	4	2	4	1	2	446	1	2	150	5	300	1		3			2	1	1	1	2	2		6			150
3210	3	1	1000		15	4	3	1	2	1	1	3	580	2			5	0	4	140	3			1	1	1	1	2	1	3	6			100
3211	3	1	400		70	1	2	2	2	4	2	2	270	1	3	300	5	300	1		3			1	1	1	1	2	2		6			250
3212	3	1	200		90	1	3	4	2	4	2	2	495	2			5	0	4	70	3			1	2		1	2	2		6			50
3213	3	1	1000		4	0	2	1	2	1	1	3	405	2			5	0	3	0	3			2	2		1	2	1	4	6			0
3214	3	1	300		40	3	3	4	2	4	1	2	450	2			5	50	4	140	3			0	2		2		2		7			70
3215	3	1	400		14	0	3	4	2	4	1	2	792	2			5	0	3	0	3			2	1	1	1	2	2		6			200
3216	3	1	200		10	4	3	4	2	4	1	2	120	2			5	0	4	70	3			1	1	2	2		2		6			100
3217	3	1	300		20	3	3	4	2	4	1	2	567	1	3	140	5	0	1		3			1	1	1	1	1	2		6			100
3218	3	1	250		60	4	3	4	2	4	1	1	459	2			5	0	4	140	3			2	1	1	1	2	2		6			100
3219	3	1	300		20	2	3	4	2	4	1	2	432	1	3	120	5	200	1		3			1	1	1	2		2		6			120
3220	3	1	200		5	0	3	4	2	4	1	1	189	2			5	0	3	0	3			0	2		2		2		7			20
3221	3	1	200		8	2	3	4	2	4	1	1	220.5	2			5	0	3	0	3			1	1	1	2		2		6			270
3222	3	1	300		5	0	3	4	2	4	1	2	455	2			5	0	4	140	3			1	2		1	2	2		6			150
3223	3	1	300		25	0	3	2	2	4	1	2	288	2			5	200	4	140	3			1	1	1	2		2		6			100
3224	3	2	200		25	3	3	4	2	4	1	1	288	2			9	0	4	70	3			0	2		2		2		7			0
3226	3	1	300		32	2	3	4	2	4	1	2	288	1	3	70	5	0	1		3			1	1	1	2		2		6			130
3227	3	1	300		12	0	3	2	2	4	1	3	364.5	2			5	200	4	140	3			1	1	4	2		2		6			100
3228	3	1	200		30	0	4	4	2	4	1	1	220	2			5	0	4	140	3			1	1	1	2		2		6			100
3229	3	1	1000		50	4	2	1	2	1	1	2	1080	1	4	117	5	600	1		3			2	2		1	2	1	3	6			60
3230	3	1	300		30	0	3	2	2	4	1	1	324	2			5	0	4	140	3			1	2		1	2	2		6			100
3232	3	1	200		50	1	3	4	2	4	1	1	472	2			9	0	4	80	3			1	1	2	2		2		6			60
3233	3	1	300		50	0	3	2	2	4	1	3	1350	2			5	0	4	210	3			3	1	1	1	4	1	5	1			200
3234	3	1	200		40	3	3	4	2	4	1	1	216	2			9	0	4	70	3			0	2		2		2		7			0
3235.1	3	1	300		40	4	3	2	2	4	1	1	216	1	3	105	5	0	1		3			1	1	1	2		2		6			100
3235.2	3	1	400		40	5	2	2	2	4	1	2	324	1	3	104	5	0	1		3			1	1	3	2		2		6			100
3236	3	1	300		30	0	3	2	2	4	1	2	288	2			5	0	4	140	3			1	1	2	2		2		6			100
3237	3	1	150		80	4	4	2	2	4	1	2	229	1	4	130	9	0	1		3			1	1	1	2		2		6			100
3238	3	1	200		8	2	3	4	2	4	1	2	324	1	3	117	5	150	1		3			1	1	1	2		2		6			100
3239	3	1	300		50	2	3	2	2	4	1	2	324	1	4	117	5	0	1		3			2	1	1	1	6	2		6			150
3241	3	1	300		9	0	3	2	2	4	1	3	384	1	3	301	5	0	1		3			3	1	1	1	3	1	6	6			800
3242	3	1	400		50	0	3	1	2	4	1	1	495	1	3	117	5	0	1		3			1	1	1	2		2		6			40
3243	3	1	300		40	3	3	2	2	4	1	1	288	1	3	300	5	0	1		3			1	1	1	2		2		6			100
3244	3	1	250		35	3	3	4	2	4	1	2	288	1	4	248	5	350	1		3			1	1	1	1	1	2		6			150
3245	3	1	300		50	7	3	2	2	4	1	2	288	1	2	150	6	0	1		3			1	1	1	2		2		6			200
3246	3	2	300		40	6	3	2	2	4	1	1	432	1	4	142	5	0	1		3			1	1	1	2		2		6			90
3248	3	1	2000		6	4	1	1	2	1	1	3	675	1	5	483	5	350	1		3			2	1	1	1	3	2		6			200
3249	3	1	200		16	2	3	2	2	4	1	1	364	1	3	117	5	200	1		3			0	2		2		2		7			0
3250	3	1	500		40	4	3	1	2	4	1	2	288	1	3	300	5	0	1		3			1	1	1	2		2		6			150
3251	3	1	800		10	3	1	2	2	1	1	2	630	1	4	350	5	450	1		3			1	1	1	2		2		6			100
3252	3	1	400		30	3	2	2	2	4	1	2	360	1	3	214	5	300	1		3			3	1	2	1	3	1	4	6			300
3254	3	2	200		20	2	4	4	2	4	1	2	288	1	2	117	9	0	1		3			2	1	1	1	2	2		6			130
3255	3	1	400		45	3	3	2	2	4	1	2	337.5	2			5	0	4	140	3			1	1	1	2		2		6			100
3257	3	1	500		12	4	3	2	2	4	1	3	360	1	4	215	5	0	1		3			1	1	2	2		2		6			200
3258	3	1	300		10	2	2	2	2	4	1	1	216	1	3	180	5	280	1		3			2	1	1	1	2	2		6			120
3259	3	1	1000		30	0	3	1	2	1	2	2	864	1	2	550	5	400	1		3			2	1	1	1	1	1	2	6			700
3261	3	1	250		40	3	3	2	2	4	1	1	130	2			5	300	4	140	3			0	2		2		2		7			20
3262	3	1	400		40	3	3	2	2	4	1	2	364	1	3	200	5	0	1		3			1	1	1	2		2		6			150
3263	3	1	1000		14	3	2	2	2	4	1	2	378	1	3	350	3	750	1		3			1	1	1	2		2		6			120
3264	3	1	300		50	0	3	2	2	4	1	2	497	2			5	0	4	140	3			1	2		1	2	2		6			50
3265	3	1	300		13	3	3	2	2	4	1	2	486	2			10	300	4	140	3			2	1	4	1	5	2		6			300
3266	3	1	250		20	4	3	2	2	4	1	1	324	2			6	0	4	140	3			1	2		1	2	2		6			120
3267	3	1	1000		30	3	2	1	2	4	1	2	405	1	3	100	9	350	1		3			1	2		1	2	2		6			120
3268	3	1	400		100	3	3	2	2	4	1	2	288	2			9	350	4	140	3			1	2		1	2	2		6			150
3269	3	1	250		40	2	3	2	2	4	1	2	405	2			5	0	4	140	3			1	2		1	3	2		6			100
3270	3	1	300		50	2	3	2	2	4	1	1	189	2			5	300	4	70	3			0	2		2		2		7			30
3271	3	1	300		30	2	3	2	2	4	1	1	396	1	3	200	5	350	1		3			2	1	1	1	2	2		6			200
3272	3	1	200		40	3	3	2	2	4	1	1	216	2			5	200	4	140	3			0	2		2		2		7			70
3273	3	1	200		20	3	3	5	10	4	1	1	1625	1	3	105	5	250	1		3			1	2		2		2		7			70
3275	3	1	400		12	3	2	1	2	1	1	4	648	1	3	280	5	250	1		3			2	1	1	1	2	2		6			170
3276	3	1	400		60	2	3	2	2	4	1	3	648	1	3	170	5	250	1		3			1	1	2	2		2		6			200
3277	3	1	250		50	4	2	2	2	1	1	2	252	1	2	346	9	0	1		3			2	2		1	3	1	4	6			250
3279	3	1	300		30	7	3	2	2	4	1	1	189	1	3	70	5	600	1		3			2	1	1	1	2	2		6			50
3280	3	1	250		30	2	3	4	2	4	1	1	189	1	3	354	5	400	1		3			0	2		2		2		7			20
3281	3	1	300		10	0	3	2	2	4	1	2	378	2			5	0	4	140	3			1	1	3	2		2		6			80
3283	3	1	300		15	4	3	2	2	4	1	2	315	2			6	200	3	0	3			2	2		1	2	1	3	6			150
3284	3	1	200		30	0	2	2	2	4	1	2	268	2			5	0	4	150	3			1	2		1	3	2		6			100
3285	3	1	400		12	0	3	2	2	4	1	2	472.5	2			9	0	3	0	3			1	1	1	2		2		6			300
3286	3	1	500		28	0	1	1	2	1	2	5	1440	2			5	0	3	0	3			1	1	1	2		2		7			100
3287	3	1	200		11	1	3	2	2	4	1	2	267.75	2			5	0	4	140	3			0	2		2		2		7			0
3288	3	1	300		120	1	2	2	2	4	1	2	236	1	3	100	5	400	1		3			1	1	4	2		2		1			100
3289	3	1	200		15	1	3	2	2	4	1	1	288	1	3	105	5	100	1		3			0	2		2		2		7			0
3290	3	1	250		30	0	3	2	2	4	1	3	324	2			5	0	3	0	3			2	1	7	1	3	2		6			400
3291	3	1	400		10	1	2	2	2	4	1	1	792	2			4	0	4	140	3			0	2		2		2		7			48
3292	3	1	200		5	0	3	2	2	4	1	1	267.75	2			5	400	4	210	3			1	1	1	2		2		6			100
3293	3	1	400		7	3	3	2	2	4	1	1	396	2			6	0	3	0	3			1	1	1	1	1	2		6			100
3294	3	1	1000		1	0	2	1	2	4	1	4	900	2			5	0	3	0	3			1	1	3	1	6	2		1	4		200
3296	3	1	200		15	0	3	2	2	4	1	1	267.75	2			5	400	3	0	3			1	1	1	2		2		6			30
3297	3	1	200		25	1	2	2	2	4	1	2	284	2			5	0	3	0	3			1	1	1	2		2		6			80
3298	3	2	200		3	3	4	5	2	4	1	1	121.5	2			9	0	4	35	3			0	2		2		2		7			0
3299	3	1	150		35	4	3	2	2	4	1	1	268	2			5	0	3	0	3			1	1	1	2		2		6			120
3300	3	1	200		25	5	3	2	2	4	1	1	236	2			5	0	4	72	3			1	2		2		2		6			100
3301	3	1	200		10	0	3	2	2	4	1	1	432	2			5	0	4	72	3			1	1	4	2		2		6			120
3302	3	1	100		40	0	3	4	2	4	2	1	270	2			5	450	4	150	3			0	2		2		2		7			30
3303	3	1	200		14	0	3	2	2	4	2	2	288	2			5	0	4	140	3			2	1	1	1	7	2		7			100
3304	3	1	400		6	2	4	2	4	4	1	1	270	2			6	0	3	0	3			1	1	1	2		2		6			50
3305	3	2	50		45	2	5	4	10	4	1	1	112.5	2			10	0	4	20	3			0	2		2		2		7			0
3306	3	1	400		27	0	3	2	2	4	1	1	432	2			5	0	4	140	3			0	2		2		2		7			20
3307	3	1	200		30	0	3	2	2	4	1	2	540	2			5	0	4	180	3			0	2		2		2		7			0
3308	3	1	300		29	0	2	2	2	4	1	2	364.5	2			5	0	3	0	3			2	1	3	1	4	2		1			500
3309	3	1	200		10	0	3	2	2	4	1	1	365	2			8	0	4	70	3			2	2		2		2		7			20
3310	3	1	400		50	0	1	2	2	4	1	3	1242	2			5	0	3	0	3			1	2		1	3	2		1			130
3311	3	1	200		25	1	3	2	2	4	1	2	364.5	2			5	0	3	0	3			3	1	1	1	2	1	3	1			1000
3312	3	1	300		4	0	3	2	2	4	1	1	345	2			9	0	4	105	3			1	1	1	2		2		6			100
3313	3	1	150		20	0	3	4	2	4	1	1	288	2			5	0	4	72	3			1	1	1	2		2		1			100
3314	3	1	200		36	0	4	4	2	4	1	2	234	2			5	0	4	320	3			1	1	1	1	2	2		1			20
3316	3	1	100		15	0	3	4	2	4	2	2	221	2			5	0	3	0	3			1	1	3	2		2		6			100
3317	3	1	200		1	0	3	2	2	4	1	1	220.5	2			5	0	4	70	3			1	1	2	2		2		6			90
3318	3	1	300		20	1	3	2	2	4	1	2	720	2			5	0	4	140	3			0	2		2		2		7			30
3319	3	1	400		20	0	3	5	2	4	1	1	480	2			9	0	4	140	3			1	1	1	2		2		6			300
3321	3	1	200		9	3	3	2	2	4	1	3	220.5	1	3	200	5	200	1		3			1	2		1	2	2		6			30
3322.1	3	1	500		5	3	2	1	2	4	1	2	432	1	2	62	5	0	1		3			0	2		2		2		7			0
3322.2	3	2	400		2	4	2	1	2	4	1	1	225	1	2	100	5	0	1		3			2	1	3	1	4	2		6			200
3323	3	1	200		35	3	2	2	2	4	1	1	220.5	1	3	250	5	0	1		3			1	1	1	2		2		6			100
3324	3	1	150		10	4	3	2	2	4	1	1	288	1	3	220	5	0	1		3			1	1	1	2		2		6			70
3325	3	1	300		12	0	2	2	2	4	1	2	220.5	1	3	96	5	0	1		3			1	1	1	2		2		6			100
3326	3	1	400		20	0	3	2	2	4	1	1	526	1	2	228	5	400	1		3			1	2		1	3	2		6			100
3327	3	1	200		45	7	3	2	2	4	1	2	324	1	3	120	5	0	1		3			1	1	1	2		2		6			80
3328	3	1	300		5	3	3	2	2	4	1	1	220	1	2	100	9	0	1		3			1	1	1	2		2		6			150
3329	3	1	200		45	0	3	2	2	4	1	1	236.25	1	5	100	5	0	1		3			1	1	1	2		2		6			100
3330	3	1	300		20	2	3	2	2	4	1	3	284	1	2	250	9	0	1		3			1	2		1	2	2		6			100
3331	3	1	200		40	0	3	2	2	4	1	1	220.5	1	4	100	5	0	1		3			1	1	1	2		2		6			100
3332	3	1	200		15	0	3	2	2	4	1	1	252	1	5	99	5	0	1		3			1	1	1	2		2		6			100
3333	3	1	300		14	2	3	2	2	4	1	2	432	1	2	150	6	0	1		3			2	2		1	3	1	6	4			400
3334	3	1	700		200	5	2	2	2	4	1	2	220	1	3	80	9	0	1		3			1	2		1	3	2		6			110
3335	3	1	200		35	2	3	5	2	4	2	2	364.5	1	3	50	9	0	1		3			1	1	5	2		2		6			100
3336	3	1	300		20	0	3	2	2	4	1	2	450	1	5	100	5	0	1		3			0	2		2		2		7			40
3337	3	1	400		1	0	3	2	2	4	1	1	288	1	2	250	9	0	1		3			1	1	1	2		2		6			200
3338	3	1	200		40	3	3	2	2	4	1	2	288	1	4	110	5	0	1		3			1	1	1	2		2		6			100
3339	3	1	200		20	0	2	2	2	4	1	1	270	1	3	60	5	200	1		3			1	1	1	2		2		6			60
3340	3	1	200		4	3	2	2	2	4	1	3	220.5	2			5	0	4	72	3			0	2		2		2		7			0
3341	3	1	1000		5	0	2	1	2	1	1	4	648	1	2	250	5	400	1		3			3	1	2	1	3	1	4	6			250
3342	3	1	1000		25	6	3	2	2	4	2	2	432	1	3	250	5	400	1		3			2	1	10	1	12	2		6			200
3343	3	1	400		8	0	2	2	2	4	1	1	315	1	3	250	5	400	1		3			1	1	1	2		2		6			150
3344	3	1	200		20	2	3	5	2	4	1	1	162	2			9	0	4	105	3			0	2		2		2		7			0
3346	3	1	400		18	0	3	2	2	4	1	3	864	1	3	300	5	300	1		3			3	1	1	1	2	1	6	6			500
3347	3	1	300		4	3	3	2	2	4	1	2	432	1	3	220	5	300	1		3			1	1	1	2		2		6			150
3348	3	1	200		5	1	3	2	2	4	1	1	288	2			5	300	4	140	3			0	2		2		2		7			30
3349	3	1	250		55	3	3	2	2	4	1	3	324	1	4	350	5	1500	1		3			3	1	8	1	2	1	3	6			150
3350	3	1	600		60	3	2	2	2	4	1	3	450	1	4	460	9	0	1		3			2	1	1	1	3	2		1	4		350
3351	3	1	400		50	3	2	1	1	1	1	3	445.5	1	4	500	9	0	1		3			3	1	5	1	3	1	2	1			250
3353	3	1	200		20	0	3	2	2	4	1	2	288	1	3	147	5	300	1		3			2	1	1	1	4	2		6			170
3354	3	1	400		20	0	2	1	2	1	1	3	693	1	3	450	5	400	1		3			3	1	1	1	3	1	4	1			600
3355	3	1	250		10	3	3	2	2	4	1	2	351	1	4	117	9	0	1		3			0	2		2		2		7			40
3356	3	1	150		5	6	3	2	2	4	1	2	288	1	2	182	9	0	1		3			0	2		2		2		7			30
3357	3	1	300		25	0	3	2	2	4	1	2	324	1	3	120	6	0	1		3			1	1	1	2		2		6			150
3358	3	1	200		100	0	3	2	2	4	1	2	216	2			5	300	4	140	3			0	2		2		2		7			40
3359	3	1	200		20	0	3	2	2	4	1	2	432	1	3	117	9	0	1		3			1	1	1	2		2		1			120
3360	3	1	200		50	0	3	2	2	4	1	1	192	2			5	300	4	140	3			0	2		2		2		7			40
3361	3	1	400		50	0	3	2	2	4	1	2	288	2			9	0	4	138	3			1	1	1	2		2		6			300
3362	3	1	200		100	3	3	2	2	4	1	1	204.75	2			5	200	4	140	3			1	1	1	2		2		6			100
3363	3	1	300		45	2	3	2	2	4	1	3	365	1	3	122	5	0	1		3			1	1	3	2		2		6			270
3365	3	1	200		20	4	3	2	2	4	1	1	220.5	1	3	101	5	200	1		3			1	1	1	2		2		6			100
3366	3	1	400		25	3	3	2	2	4	1	1	288	1	3	300	5	400	1		3			2	1	1	1	2	2		6			150
3367	3	1	200		20	3	3	2	2	4	1	1	220.5	1	3	105	5	200	1		3			1	1	1	2		2		6			100
3368	3	1	200		70	3	3	2	2	4	1	2	288	1	3	260	5	300	1		3			1	1	1	2		2		6			100
3369	3	1	200		100	4	3	2	2	4	1	1	295.5	2			5	200	4	140	3			1	1	1	2		2		6			100
3370	3	1	200		5	0	1	2	2	4	1	2	540	1	3	105	5	200	1		3			2	1	1	1	3	2		6			150
3371	3	1	200		25	2	3	10	10	4	1	2	148.5	2			9	0	4	140	3			1	1	1	2		2		6			60
3372	3	1	300		70	5	3	2	2	4	1	2	432	1	2	200	5	400	1		3			3	1	3	1	5	1	6	6			300
3373	3	1	500		200	0	3	3	2	4	1	3	720	1	4	250	5	0	1		3			1	1	1	2		2		6			90
3374	3	1	200		1	2	2	2	2	4	1	2	450	2			5	350	4	70	3			1	1	1	2		2		6			60
3376	3	1	300		35	5	2	2	2	4	1	2	405	1	4	430	5	450	1		3			1	1	1	1	2	2		6			300
3378	3	1	200		35	3	4	7	7	4	1	1	157	2			5	300	4	140	3			0	2		2		2		7			100
3379	3	1	300		20	0	3	2	2	4	1	2	360	1	3	260	9	0	1		3			2	1	1	1	3	2		1			200
3380	3	1	250		4	0	2	2	2	4	1	2	360	1	4	200	9	0	1		3			1	1	1	2		2		6			50
3381	3	1	300		10	0	3	2	2	4	1	1	427.5	1	3	300	5	300	1		3			2	1	1	1	2	1	4	1			600
3382	3	1	300		15	4	3	5	2	4	1	2	495	1	2	70	9	0	1		3			1	1	1	2		2		6			150
3383	3	1	200		100	7	3	2	2	4	1	1	108	2			5	100	4	70	3			0	2		2		2		7			0
3384	3	1	2000		1	0	1	1	2	4	1	3	607.5	1	3	120	5	400	1		3			1	1	1	2		2		6			150
3385	3	1	300		14	0	3	2	2	1	1	1	432	2			5	300	4	210	3			2	1	1	1	2	2		6			120
3386	3	1	200		20	0	5	11	2	4	1	2	216	2			5	200	4	70	3			0	2		2		2		7			0
3388	3	1	250		50	0	2	2	2	1	4	4	945	1	3	200	5	0	1		3			1	1	1	2		2		1			150
3389	3	1	300		14	0	3	5	2	4	1	1	324	2			5	184	4	70	3			1	1	1	2		2		1			30
3391	3	1	200		20	0	2	2	2	4	1	2	324	1	5	200	5	300	1		3			1	1	1	2		2		6			120
3392	3	1	300		50	2	3	5	2	4	1	2	288	2			9	0	4	70	3			0	2		2		2		7			0
3393	3	1	200		37	0	3	2	2	4	1	2	288	2			9	0	3	0	3			1	1	1	2		2		6			130
3394	3	1	200		14	0	4	2	2	4	1	2	288	2			9	0	4	70	3			1	2		1	2	2		6			40
3395	3	1	200		2	0	3	5	2	4	1	2	188	2			5	250	4	140	3			0	2		2		2		6			30
3396	3	1	200		20	0	3	2	2	4	1	1	189	2			5	250	4	140	3			1	1	1	2		2		6			100
3397	3	1	200		20	0	3	2	2	4	1	1	324	2			5	250	4	140	3			1	1	1	2		2		6			120
3398.1	3	1	400		30	0	3	2	2	4	1	2	252	2			5	0	4	280	3			1	2		1	7	2		6			20
3398.2	3	1	400		1	0	2	2	2	4	1	2	540	2			5	0	3	0	3			1	1	3	2		2		6			150
3399	3	1	400		20	0	3	2	2	4	1	3	1080	2			5	0	4	210	3			2	2		1	3	1	4	6			200
