a01	hh_type	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06a	b2_06b	b2_07	b2_08	b2_08a	b2_08b	b2_08c	b2_08d	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	flag_b2
2954	2	99																					
2955	2	4	1		2010	1	2	0.5	10	1	1	2	30	1	200	1	6	2	5		9999		
2956	2	3	1		2004	1	2	0.5	6	2	2								8		2013	22	
2957	2	3	1		2004	66	2	4	17	1	1	2	150	1	400	1	10	2	1		9999		
2957	2	4	1		2003	66	2	1	7	1	1	2	150	1	500	1	10	2	1		9999		
2958	2	2	1		1998	1	2	0.5	10	2	2								8		2005	9	
2959	2	2	1		2003	1	2	3	40	2	2								5	8	2009	21	
2960	2	3	1		1997	1	9	25	60	1	1	2	400	2		1	74	2	1		9999		
2961.1	3	7	1		2008	1	2	3	35	1	1	2	70	2		1	8	2	1		9999		
2961.1	3	2	1		2001	1	1	1	10	2	2								8		2010	21	
2961.2	3	4	1		2015	76	12	10	30	2	1	2	1000	1	300	1	76	9					
2962	3	2	1		2000	1	2	1	12	2	2								1		2007	9	
2963	3	3	1		2012	1	1	1	12	1	1	1	0	2		5	4	2	5		9999		
2964	3	3	1		2006	1	2	0.5	8	1	1	2	100	1	400	1	10	2	1		9999		
2964	3	4	1		2009	1	2	0.5	8	1	1	2	50	1	200	1	6	2	1		9999		
2965	3	3	1		2005	1	2	0.5	10	2	2								5		2013	5	
2966	3	5	1		2008	1	2	0.5	7	1	1	2	60	2		1	7	1	1		9999		
2966	3	3	1		2003	1	2	0.5	7	1	2								1		2013	10	
2966	3	4	1		2004	1	2	12	25	1	1	2	100	2		9	12	1	9		9999		
2966	3	2	1		1997	1	2	0.5	7	2	2								1		2006	22	
2966	3	6	1		2009	1	2	0.5	7	1	1	2	60	2		8	7	1	1		9999		
2967	3	2	1		2005	1	2	12	40	1	1	2	125	1	500	1	11	2	1		9999		
2968	3	4	1		2013	66	1	0.25	7	1	1	1	0	1	500	1	2	2	5		9999		
2968	3	3	1		2011	66	1	0.25	7	1	1	1	0	1	500	1	4	2	5		9999		
2969	3	3	1		2011	1	1	0.25	5	1	1	1	0	2		5	5	2	5		9999		
2969	3	4	1		2013	66	1	0.25	5	1	1	1	0	2		5	2	2	5		9999		
2970	3	6	1		2013	1	1	0.5	10	1	1	1	0	2		1	2	1	5		9999		
2970	3	5	1		2011	1	1	0.5	10	1	1	1	0	2		5	5	2	5		9999		
2970	3	4	1		2008	1	2	1.5	15	1	1	2	80	1	500	1	8	2	5		9999		
2970	3	2	1		2001	1	2	1.5	15	2	2								1		2008	12	
2971	3	2	1		2000	1	2	1	15	2	2								1		2008	21	
2972	3	6	1		2012	1	1	0.25	5	1	1	1	0	2		1	4	2	1		9999		
2972	3	4	1		1997	1	2	0.5	10	2	2								1		2006	10	
2973	3	3	1		2004	1	2	0.5	10	2	2								1		2012	9	
2973	3	2	1		2002	1	2	0.5	10	2	2								5		2011	9	
2974	3	3	1		2007	1	2	1.5	20	1	1	2	100	2		1	9	2	1		9999		
2974	3	4	1		2010	1	2	1.5	20	1	1	2	50	2		1	6	2	1		9999		
2975	3	99																					
2976	3	4	1		2010	1	2	0.5	7	1	1	2	50	2		1	6	2	5		9999		
2976	3	6	2	1																			
2976	3	5	1		2012	1	1	0.25	4	1	1	1	0	2		5	4	2	5		9999		
2976	3	3	1		2008	1	2	0.5	7	1	1	2	80	1	300	1	8	2	5		9999		
2977	3	3	1		2014	1	1	0.25	4	1	1	1	0	2		5	2	2	5		9999		
2978	3	4	1		2013	1	1	0.25	4	1	1	1	0	2		5	3	2	5		9999		
2978	3	3	1		2011	1	1	0.25	4	1	1	1	0	2		1	5	2	1		9999		
2979	3	5	1		2001	1	1	1	15	2	2								5		2009	9	
2979	3	2	1		2002	1	1	0.5	7	2	2								5		2007	9	
2980	3	2	1		2013	1	1	1	15	1	1	1	0	2		5	3	2	5		9999		
2980	3	3	1		2014	1	1	1	15	1	1	1	0	2		5	2	2	5		9999		
2981	3	4	1		2008	1	2	2	30	1	1	2	0	2		8	8	2	5		9999		
2981	3	5	1		2014	66	5	0	0	1	1	2	0	2		1	1	2	1		9999		
2981	3	3	1		2006	1	2	2	30	2	2								5		2003	9	
2982	3	5	1		2012	1	5	1	15	1	1	2	0	2		1	4	2	1		9999		
2982	3	4	1		2010	1	2	2	30	1	1	2	0	2		1	6	2	1		9999		
2982	3	3	1		2009	1	2	2	30	1	1	2	0	1	200	1	6	1	1		9999		
2983.1	3	7	1		2001	1	2	3	40	2	2								1		2009	21	
2983.2	3	4	1		2002	1	1	30	80	1	1	1	25	2		1	14	2	9		9999		
2984	3	5	1		2013	66	4	0.25	2	1	1	2	0	1	200	1	2	2	1		9999		
2985	3	99																					
2986	3	3	1		2008	1	2	2	30	1	1	2	0	1	300	8	8	2	1		9999		
2987	3	3	1		2007	1	2	1.5	20	1	1	2	0	1	400	1	9	2	1		9999		
2987	3	4	1		2011	1	1	0.25	3	1	1	1	0	2		1	5	2	1		9999		
2988	3	2	1		1994	1	1	0.5	8	2	2								1		1998	9	
2988	3	4	1		2006	1	2	2	30	1	1	2	0	2		8	10	2	5		9999		
2989	3	5	1		2012	1	5	0.5	6	1	1	2	0	2		1	4	2	1		9999		
2989	3	6	1		2015	66	5	0.5	4	2	1	2	0	2		1	66	9					
2989	3	4	1		2008	1	1	0.5	6	2	2								1		2012	9	
2989	3	3	1		2006	1	1	0.5	6	2	2								1		2010	9	
2990	3	3	1		2002	1	2	2	20	2	2								5		2009	9	
2990	3	2	1		2000	1	2	2	20	2	2								1		2006	9	
2991	3	5	1		2007	1	2	3	30	1	1	2	70	2		8	9	2	5		9999		
2991	3	4	1		2001	1	2	0.25	5	2	2								1		2005	2	
2992	3	3	1		1998	1	2	0.2	4	2	2								1		2005	9	
2992	3	6	2	2																			
2992	3	5	1		2015	66	2	0.25	4	2	1	2	0	2		1	66	9					
2992	3	7	1		2008	1	2	1	15	1	1	2	0	2		8	8	2	5		9999		
2993	3	3	1		2007	1	2	1	15	1	1	2	0	2		8	9	2	5		9999		
2993	3	5	1		2012	1	2	0.15	3	1	1	2	0	2		1	4	2	1		9999		
2993	3	4	1		2010	1	2	1	15	1	1	2	0	2		1	6	2	1		9999		
2994	3	2	1		2008	1	2	1	15	2	2								1		2015	10	
2995	3	4	1		1998	1	1	0.5	7	2	2								1		2003	9	
2995	3	3	1		1996	1	1	1	15	2	2								1		2001	9	
2996	3	3	1		2015	66	2	0.1	2	2	1	2	0	2		1	66	9					
2997	3	4	1		2007	1	2	1	15	2	2								1		2013	9	
2997	3	5	1		2014	66	2	0.15	4	1	1	2	0	2		1	1	2	1		9999		
2997	3	3	1		2005	1	2	1	15	2	2								1		2011	9	
2998	3	99																					
2999	3	6	1		2012	66	5	0.25	4	1	1	2	0	2		1	3	2	1		9999		
2999	3	4	1		2007	1	1	1	15	2	2								1		2009	9	
2999	3	5	2	9																			
3000	3	99																					
3001	3	3	1		2010	66	5	0.1	2	1	1	2	0	1	100	1	5	2	1		9999		
3002	3	7	1		2014	66	2	1	15	1	1	2	100	1	500	1	1	2	1		9999		
3002	3	5	1		2010	1	2	2	25	1	1	2	30	1	600	1	6	2	1		9999		
3002	3	4	1		2007	1	2	2	25	1	1	2	30	1	600	1	8	2	5		9999		
3003	3	4	1		2011	1	5	0.5	1	1	1	2	0	2		1	5	2	1		9999		
3003	3	2	2	10																			
3003	3	3	1		2008	1	1	2	20	1	1	1	75	2		1	8	2	1		9999		
3004	3	6	2	9																			
3005	3	4	1		2013	66	1	1	12	1	1	1	0	2		1	2	2	1		9999		
3005	3	3	1		2009	1	1	1	12	2	2								1		2012	22	
3006	3	2	1		2008	1	2	1.5	25	1	1	2	60	2		1	7	2	1		9999		
3006	3	5	1		2014	66	2	0.5	6	1	1	2	100	2		1	1	2	1		9999		
3006	3	4	1		2013	66	2	0.5	6	1	1	2	100	2		1	2	2	1		9999		
3006	3	3	1		2012	66	2	1	15	1	1	2	150	2		1	3	2	1		9999		
3007	3	4	1		2014	66	1	1	12	1	1	1	0	2		1	1	2	1		9999		
3007	3	3	1		2012	1	1	1	12	1	1	1	0	2		1	3	1	1		9999		
3008	3	4	1		2009	1	1	1	15	2	2								1		2014	9	
3008	3	3	1		2008	1	2	2	30	1	1	2	0	2		1	8	2	1		9999		
3008	3	5	1		2013	1	1	1	15	1	1	1	0	2		1	3	2	1		9999		
3009	3	6	1		2010	1	2	2	20	1	1	2	0	2		1	6	2	1		9999		
3009	3	5	1		2006	1	11	2	20	1	1	2	35	2		1	10	2	5		9999		
3009	3	4	1		2004	1	2	2	20	1	1	2	0	2		1	12	2	5		9999		
3010	3	3	1		2004	1	2	1	10	1	1	2	0	1	400	1	12	2	5		9999		
3011	3	3	1		2005	1	2	2	20	1	1	2	100	2		1	11	2	5		9999		
3011	3	5	1		2011	66	5	0.5	7	1	1	2	0	2		1	4	2	1		9999		
3011	3	4	1		2007	66	2	2	20	1	1	2	0	1	200	1	8	2	1		9999		
3012	3	3	1		1994	1	2	3	15	2	2								1		2003	21	
3013	3	3	1		1998	1	2	2	25	2	2								5		2006	9	
3013	3	4	1		2000	1	9	2	25	1	1	2	25	2		1	11	2	1		9999		
3013	3	8	1		2009	66	1	0.5	6	1	1	1	0	2		1	5	1	5		9999		
3013	3	6	1		2006	66	2	2	25	1	1	2	40	2		1	9	2	1		9999		
3013	3	5	1		2001	1	1	0.5	6	2	2								1		2006	12	
3014	3	7	1		2011	1	1	0.5	10	1	1	1	0	2		1	5	2	1		9999		
3014	3	5	1		2007	1	1	0.5	10	2	2								1		2010	9	
3014	3	9	1		2001	1	1	1.5	15	2	2								1		2005	6	
3014	3	3	1		2004	1	1	0.5	10	2	2								1		2006	9	
3014	3	6	1		2009	1	2	2	20	1	1	2	0	2		1	7	2	1		9999		
3015	3	2	1		1995	1	2	6	30	2	2								5		2007	21	
3015	3	3	1		2014	76	12	1.5	10	1	1	2	230	1	300	1	66	2	1		9999		
3016	3	2	1		1996	1	1	0.5	5	2	2								1		2001	9	
3016	3	3	1		2015	1	1	1	10	2	1	1	0	2		1	66	9					
3017	3	6	1		2011	66	3	1	10	1	1	2	250	2		1	4	1	1		9999		
3017	3	4	1		2005	1	2	1	15	1	1	2	150	2		1	11	2	1		9999		
3017	3	3	1		2001	1	2	0.5	10	1	1	2	500	2		1	14	2	1		9999		
3017	3	5	1		2006	1	2	1.5	15	1	1	2	0	1	400	1	10	2	1		9999		
3018	3	99																					
3019	3	5	1		2012	66	1	1	12	1	1	1	0	1	300	1	3	2	1		9999		
3019	3	4	1		2009	1	2	1.5	15	1	1	2	80	1	600	1	7	2	1		9999		
3020	3	2	1		2004	1	2	1.5	20	1	1	2	0	1	500	1	12	2	1		9999		
3020	3	3	1		2005	1	2	1.5	20	1	1	2	0	1	500	1	11	2	1		9999		
3020	3	5	1		2011	1	1	1	15	1	1	2	0	2		1	5	2	1		9999		
3020	3	4	1		2006	1	2	1.5	20	1	1	2	0	1	500	8	10	2	5		9999		
3021	3	3	1		2011	1	1	0.25	4	1	1	1	0	2		1	3	1	1		9999		
3022	3	5	1		2003	1	1	0.5	10	2	2								5		2007	9	
3022	3	6	1		2011	1	5	0.25	5	1	1	2	0	2		1	5	2	1		9999		
3023	3	99																					
3024	3	3	1		2006	1	2	1.5	30	1	1	2	50	2		1	10	2	1		9999		
3025	3	3	1		2014	1	1	0.25	5	1	1	1	0	2		1	2	2	5		9999		
3025	3	4	1		2015	1	1	0.25	5	2	1	1	0	2		1	1	9					
3026.1	3	4	1		2009	1	1	2	30	2	2								1		2014	9	
3026.1	3	6	1		2011	1	1	2	30	1	1	2	0	2		1	5	2	1		9999		
3026.1	3	5	1		2010	1	2	2	30	1	1	2	50	2		1	6	2	1		9999		
3026.1	3	7	1		2014	66	1	1	15	1	1	2	0	2		1	1	2	1		9999		
3026.1	3	3	1		2003	1	1	2	30	2	2								1		2004	9	
3026.2	3	8	1		2002	1	2	1	15	2	2								1		2011	9	
3026.2	3	2	1		1998	1	1	1	15	2	2								1		1999	9	
3027	3	4	1		2004	1	1	1	15	2	2								1		2008	22	
3027	3	3	1		2006	1	2	2	30	1	1	2	100	1	350	1	9	2	1		9999		
3027	3	5	1		2010	1	2	2	15	1	1	2	50	2		1	6	2	1		9999		
3027	3	6	1		2013	1	1	0.1	2	1	1	1	0	2		1	3	2	1		9999		
3028	3	3	1		1994	1	1	0.1	2	2	2								1		1999	21	
3028	3	2	1		2003	1	1	1	15	1	1	1	25	2		1	13	2	1		9999		
3029	3	3	1		2000	1	1	1.5	20	2	2								1		2005	9	
3030	3	6	1		2010	66	1	0.5	8	1	1	1	0	2		1	5	2	5		9999		
3030	3	3	1		2015	66	5	0.25	4	2	1	2	0	2		1	66	9					
3030	3	2	2	9																			
3031	3	3	2	7																			
3032	3	99																					
3033	3	3	1		1998	1	1	1	15	2	2								1		2003	9	
3033	3	4	1		2002	1	2	1	15	2	2								1		2006	9	
3034	3	4	1		2011	66	5	0.25	4	1	1	2	0	2		1	4	2	1		9999		
3034	3	3	1		2011	66	5	0.25	4	1	1	2	0	2		1	4	2	1		9999		
3035	3	8	2	9																			
3035	3	3	1		2014	1	1	0.5	7	1	1	1	0	2		1	2	2	1		9999		
3036	3	4	1		2014	66	1	0.5	8	1	1	1	0	1	100	1	1	2	1		9999		
3036	3	3	1		2012	1	1	0.5	8	1	1	1	0	1	300	1	4	2	1		9999		
3037	3	3	1		2008	1	2	2	30	1	1	2	80	1	300	8	8	2	5		9999		
3037	3	4	1		2013	1	1	0.5	8	1	1	1	0	2		1	3	2	1		9999		
3038	3	4	1		1998	1	1	0.5	10	2	2								5		2003	9	
3038	3	3	1		1997	1	1	0.5	10	2	2								1		2002	9	
3038	3	5	2	9																			
3039	3	3	1		2015	66	5	0.15	3	2	1	2	0	2		1	66	9					
3040	3	99																					
3041	3	3	1		2003	1	2	1	15	2	2								1		2010	9	
3042	3	99																					
3043	3	5	1		2001	1	1	0.5	10	2	2								1		2004	9	
3043	3	6	1		1999	1	1	0.5	10	2	2								1		2003	9	
3043	3	7	1		2010	1	1	1.5	20	1	1	2	80	2		1	6	2	5		9999		
3044	3	99																					
3045	3	4	1		2003	1	2	3	30	1	1	2	25	2		1	13	2	5		9999		
3045	3	7	1		2011	1	1	2	20	1	1	1	0	2		5	5	2	5		9999		
3045	3	6	1		2008	1	2	2	20	2	2								1		2014	9	
3045	3	8	1		2006	1	2	1	10	2	2								1		2013	21	
3045	3	5	1		2004	1	2	3	30	2	2								1		2014	9	
3047	3	3	1		2006	1	2	1.5	20	1	1	2	80	2		8	10	2	5		9999		
3047	3	5	1		2003	1	1	0.5	10	2	2								5		2008	9	
3048	3	4	2	2																			
3048	3	3	1		2005	1	2	1	15	2	2								1		2012	12	
3048	3	2	1		2002	1	1	1	15	2	2								1		2006	12	
3049	3	2	1		2004	1	1	2	30	2	2								1		2009	9	
3050	3	6	1		2001	1	7	1.5	18	2	2								1		2010	21	
3050	3	5	1		2000	1	2	1.5	18	2	2								5		2006	21	
3050	3	4	1		1998	1	1	1	12	2	2								1		2003	12	
3051	3	3	1		2013	1	1	0.5	7	1	1	1	0	2		1	3	2	1		9999		
3051	3	2	1		2011	1	1	0.5	7	1	1	1	0	1	300	5	5	2	5		9999		
3052	3	3	1		2006	1	1	2	20	1	1	1	0	2		1	22	2	5		9999		
3052	3	5	1		2011	1	1	1.5	20	1	1	1	0	2		5	5	2	5		9999		
3052	3	4	1		2008	1	2	3	30	1	1	2	170	2		1	8	2	5		9999		
3053	3	3	1		2007	1	1	1.5	17	2	2								1		2010	9	
3053	3	4	1		2012	1	1	1.5	17	2	2								5		2013	9	
3054	3	4	1		2013	1	1	1.5	15	1	1	1	0	1	200	5	3	2	5		9999		
3054	3	3	1		2010	1	2	1.5	15	1	1	2	65	1	300	1	6	2	5		9999		
3055	3	4	1		2011	1	1	2	30	1	1	1	0	2		5	5	2	5		9999		
3055	3	5	1		2014	1	1	2	30	1	1	1	0	2		1	2	2	5		9999		
3055	3	3	1		2006	1	2	1	15	2	2								1		2013	9	
3056	3	4	1		2010	1	1	1.5	20	1	1	1	0	2		1	5	2	5		9999		
3056	3	3	1		2008	1	2	1.5	20	1	1	2	200	1	500	1	8	2	5		9999		
3057	3	5	1		2003	1	2	4	20	1	1	2	100	2		1	12	1	1		9999		
3057	3	3	1		1999	1	2	2	30	2	2								5		2008	18	
3058	3	3	1		2004	1	2	20	45	1	1	2	0	2		1	12	2	1		9999		
3059	3	4	1		2014	1	1	0.5	10	1	1	1	0	1	200	1	2	2	1		9999		
3059	3	3	1		2011	1	1	0.5	10	1	1	1	0	1	300	1	5	2	1		9999		
3060	3	3	1		2004	1	2	3	20	1	1	1	25	2		1	12	2	1		9999		
3060	3	4	1		2006	1	1	1	15	1	1	2	100	2		1	10	2	1		9999		
3061	3	99																					
3062	3	8	1		2015	1	5	0.25	5	2	1	2	0	2		1	1	9					
3062	3	6	1		2003	1	2	2	20	1	1	2	45	2		1	7	2	1		9999		
3062	3	7	1		2011	1	1	0.5	10	1	1	1	0	2		1	3	1	1		9999		
3062	3	3	1		1997	1	1	0.5	10	2	2								1		2000	9	
3062	3	5	1		1998	1	1	0.5	10	2	2								1		2000	9	
3063	3	7	1		2010	1	2	2	30	1	1	2	50	2		1	6	2	1		9999		
3063	3	8	1		2011	1	1	1	15	1	1	1	0	2		1	5	2	5		9999		
3063	3	4	1		2003	1	2	2	30	2	2								1		2008	5	
3064	3	99																					
3065	3	4	2	1																			
3065	3	3	1		2010	1	2	4	25	1	1	2	75	2		1	6	2	5		9999		
3066	3	99																					
3067	3	5	1		2014	1	1	1	15	1	1	1	0	2		5	2	2	5		9999		
3067	3	3	1		2009	1	2	1.5	20	1	1	2	35	2		1	7	2	1		9999		
3067	3	4	1		2012	66	1	1	15	1	1	1	0	2		1	3	2	1		9999		
3068	3	4	1		2000	1	1	0.5	7	2	2								1		2004	10	
3068	3	9	1		2001	1	2	4	25	2	2								1		2011	21	
3068	3	8	1		2011	1	1	0.5	7	1	1	1	0	1	300	1	5	2	1		9999		
3068	3	6	1		2006	1	2	4	25	1	1	2	45	2		1	10	2	1		9999		
3068	3	7	1		2008	1	1	0.5	7	2	2								1		2013	10	
3069	3	2	1		2001	1	2	4	25	2	2								1		2007	22	
3069	3	3	1		2003	1	1	1	15	2	2								1		2008	12	
3070	3	3	1		2005	1	2	16	45	1	1	2	200	1	500	1	11	2	1		9999		
3070	3	4	1		2012	1	1	3	10	1	1	1	0	2		1	4	2	1		9999		
3070	3	8	1		2005	1	2	3	10	1	1	2	80	2		1	22	1	1		9999		
3070	3	7	1		2004	1	2	16	45	1	1	2	200	1	500	1	12	2	1		9999		
3070	3	9	1		2006	1	2	3	10	1	1	2	80	1	500	1	10	2	1		9999		
3070	3	10	1		2009	1	2	3	10	1	1	2	80	1	500	1	7	2	1		9999		
3071.1	3	3	1		2012	1	1	1	15	1	1	1	0	2		5	4	2	5		9999		
3071.1	3	4	1		2014	1	1	1	15	1	1	1	0	2		1	2	2	1		9999		
3071.1	3	5	2	1																			
3071.2	3	9	1		1998	1	1	1	15	2	2								1		2003	9	
3072	3	5	1		2010	1	2	3	25	1	1	2	50	2		1	6	2	1		9999		
3072	3	6	1		2012	1	1	0.5	10	1	1	1	0	2		1	4	2	1		9999		
3073	3	4	1		2010	1	1	1	10	2	2								5		2014	9	
3073	3	5	2	9																			
3073	3	3	1		2006	1	1	1	10	2	2								5		2009	9	
3074	3	3	1		2008	1	2	3	30	1	1	2	95	1	1000	1	8	2	1		9999		
3075	3	5	1		2011	1	1	1	15	1	1	1	0	2		5	4	2	5		9999		
3075	3	6	1		2012	1	1	1	15	1	1	1	0	2		1	3	2	1		9999		
3075	3	7	1		2014	1	1	1	15	1	1	1	0	2		1	1	1	1		9999		
3075	3	3	1		2006	1	2	2.5	20	1	1	2	90	2		1	22	2	1		9999		
3075	3	4	1		2010	1	1	1	15	1	1	1	0	2		1	5	2	1		9999		
3077	3	99																					
3078	3	99																					
3079	3	99																					
3080	3	2	1		2006	1	2	3	20	1	1	2	100	1	1000	1	10	2	1		9999		
3080	3	3	2	1																			
3081	3	3	1		1997	1	1	0.5	7	2	2								5		2002	21	
3081	3	5	1		1999	1	1	0.5	7	2	2								1		2001	5	
3081	3	4	1		2015	66	5	0.25	4	2	1	2	0	2		1	66	9					
3081	3	8	1		2002	1	1	0.5	7	2	2								1		2007	9	
3082	3	6	1		1997	1	1	1	15	2	2								1		2000	11	
3082	3	8	2	9																			
3082	3	4	2	9																			
3082	3	7	2	11																			
3083	3	4	1		2007	1	2	1	15	1	1	2	80	2		1	9	2	1		9999		
3083	3	3	1		2005	1	2	1	15	2	2								1		2009	10	
3083	3	5	1		2009	1	2	1	15	1	1	2	80	2		1	7	2	1		9999		
3083	3	6	1		2004	1	1	2	30	1	1	1	25	2		1	1	2	1		9999		
3084	3	4	1		2015	1	1	0.5	6	2	1	1	0	2		1	1	9					
3084	3	8	1		2006	1	2	2	20	2	2								1		2013	6	
3085	3	3	1		2011	1	1	0.5	10	1	1	1	0	2		1	5	1	5		9999		
3085	3	5	1		2014	1	1	0.5	10	1	1	1	0	2		5	2	2	1		9999		
3085	3	4	1		2012	1	1	0.5	10	1	1	1	0	2		1	4	2	1		9999		
3086	3	3	1		2004	1	1	2	30	2	2								5		2009	6	
3086	3	5	1		2002	1	2	3	38	2	2								5		2012	21	
3087	3	3	1		2012	1	2	1	15	1	1	2	100	1	100	1	4	2	1		9999		
3087	3	5	1		2003	1	1	0.5	7	2	2								1		2007	10	
3088	3	3	1		2011	1	5	0.5	7	1	1	2	0	1	200	1	5	2	1		9999		
3089	3	5	1		2001	1	1	1	15	2	2								1		2002	11	
3089	3	4	1		1999	1	1	1	15	2	2								1		2000	22	
3089	3	3	1		1996	1	1	1	15	2	2								1		1996	9	
3090	3	4	1		2000	1	1	2	20	2	2								1		2005	11	
3090	3	6	1		2015	1	1	1	15	2	1	1	0	2		1	1	9					
3090	3	5	1		2006	1	2	2	20	1	2								1		2015	11	
3090	3	3	2	22																			
3091	3	8	1		2012	1	1	1	15	1	1	2	100	2		1	4	2	1		9999		
3091	3	7	1		2011	1	1	1	15	1	1	1	0	2		1	5	2	1		9999		
3091	3	6	1		2008	1	1	1	15	2	2								5		2013	10	
3091	3	5	1		2006	1	2	2	20	1	1	2	0	2		1	10	2	5		9999		
3092	3	3	1		2005	1	1	0.5	10	2	2								1		2010	11	
3092	3	1	1		1997	1	1	0.5	10	2	2								1		2002	11	
3092	3	4	1		2006	1	2	0.5	10	1	1	2	60	1	1000	1	10	2	1		9999		
3092	3	2	1		2003	1	1	0.5	10	2	2								1		2008	11	
3092	3	5	1		2011	1	2	0.25	5	1	1	2	0	2		1	5	2	1		9999		
3093	3	3	1		1998	1	1	1	15	2	2								1		2003	22	
3094	3	3	1		1996	1	1	1	15	2	2								1		1998	9	
3094	3	4	1		1998	1	1	1	15	2	2								1		2001	9	
3094	3	5	1		2001	1	1	2	30	2	2								1		2006	21	
3094	3	7	1		2002	1	1	1	15	2	2								1		2007	21	
3096	3	5	1		2009	1	2	0.5	10	1	1	2	100	2		1	6	1	1		9999		
3096	3	7	1		2014	1	1	0.25	5	1	1	1	0	2		5	2	2	5		9999		
3096	3	8	1		2000	1	2	1	15	2	2								1		2010	9	
3096	3	4	1		1998	1	2	0.5	10	2	2								1		2006	10	
3096	3	6	1		2010	1	2	0.5	10	1	1	2	100	2		1	6	2	1		9999		
3097	3	3	1		2011	66	1	1	15	1	1	1	0	2		1	4	2	1		9999		
3097	3	4	1		2014	66	1	0.5	10	1	1	1	0	2		5	1	2	1		9999		
3098	3	3	1		2001	1	1	0.5	10	2	2								1		2001	5	
3098	3	5	1		2003	1	2	4	50	2	2								5		2010	21	
3098	3	4	1		2010	1	2	0.5	10	1	1	2	60	2		1	6	2	1		9999		
3099	3	4	1		2009	1	1	0.5	10	2	2								1		2012	6	
3099	3	5	1		2014	1	1	0.5	10	1	1	1	0	2		5	2	2	1		9999		
3099	3	3	2	5																			
3100	3	4	1		2012	66	2	0.25	5	1	1	2	100	2		1	3	2	1		9999		
3100	3	3	1		2009	1	2	0.25	5	1	1	2	100	2		1	5	2	1		9999		
3101	3	4	1		2011	1	1	1	15	1	1	1	0	2		1	5	2	5		9999		
3101	3	3	1		2009	1	1	1	15	2	2								1		2014	5	
3102	3	3	1		2006	1	1	1	15	2	2								1		2011	9	
3103	3	4	1		2010	1	2	2	30	1	1	2	45	1	500	1	6	2	5		9999		
3103	3	3	1		2003	77	2	1	15	2	2								1		2012	6	
3104	3	6	1		2012	1	1	1	15	1	1	1	0	2		5	4	2	5		9999		
3104	3	7	1		2013	1	1	1	15	1	1	1	0	2		1	3	2	1		9999		
3104	3	5	1		2011	1	1	1	15	1	1	1	0	2		1	5	2	1		9999		
3105.1	3	99																					
3105.2	3	5	1		2006	1	1	1	20	2	2								1		2011	21	
3105.2	3	4	1		1995	1	2	1.5	20	2	2								1		2001	9	
3107	3	7	1		2009	1	2	1	15	1	2								1		2015	6	
3107	3	2	1		2000	1	2	1	15	2	2								5		2009	21	
3107	3	8	1		2012	1	1	1	15	1	1	1	0	1	200	5	4	2	5		9999		
3108	3	2	1		1996	1	2	1	15	2	2								1		2004	6	
3108	3	4	1		2000	1	2	1	15	2	2								1		2008	11	
3109	3	3	1		2009	1	2	1	15	1	1	2	45	2		1	7	2	5		9999		
3110	3	5	1		2006	1	2	1	15	1	1	2	65	2		1	10	2	5		9999		
3110	3	13	1		2002	1	1	1	15	2	2								5		2007	12	
3110	3	6	1		2009	1	2	1	15	1	1	2	20	2		1	6	1	5		9999		
3110	3	4	1		2015	66	3	1	15	2	1	2	50	1	200	1	1	9					
3111	3	2	1		2006	1	2	1	20	1	1	2	60	1	500	1	9	1	5		9999		
3111	3	4	1		2015	1	1	1	20	2	1	1	0	2		1	1	9					
3111	3	3	1		2011	1	1	1	20	1	1	1	0	2		5	5	2	5		9999		
3113	3	3	1		2015	66	5	0.5	6	2	1	2	0	2		1	66	9					
3113	3	4	1		2009	1	2	1	12	1	1	2	50	1	320	1	7	2	1		9999		
3114	3	5	1		2008	1	1	0.5	6	1	1	1	0	2		1	5	1	5		9999		
3114	3	4	1		2002	1	1	9	35	1	1	1	20	2		1	14	2	5		9999		
3115	3	4	1		2011	1	1	1	12	1	1	1	0	2		5	5	2	5		9999		
3115	3	5	1		2013	1	1	1	12	1	1	1	0	2		5	3	2	1		9999		
3115	3	3	1		2010	1	2	1.5	20	1	1	2	0	2		1	6	2	1		9999		
3115	3	2	1		2000	1	1	1	12	2	2								1		2004	9	
3116	3	4	1		2009	1	2	1	15	1	1	2	40	1	300	1	7	2	1		9999		
3116	3	3	1		2004	1	2	1	15	1	1	2	40	2		1	10	2	5		9999		
3117	3	3	1		2004	1	2	1	15	2	2								5		2010	6	
3118.1	3	10	1		2006	1	2	0.5	10	1	1	2	60	2		1	10	2	1		9999		
3118.1	3	9	1		1998	1	2	2	25	2	2								1		2002	9	
3118.2	3	99																					
3118.3	3	7	1		1999	1	1	1	10	2	2								5		2004	9	
3119	3	5	1		2005	1	1	0.5	10	2	2								1		2007	6	
3119	3	6	1		2009	1	2	0.5	10	1	1	2	50	2		1	7	2	1		9999		
3119	3	4	1		2005	1	1	0.5	10	2	2								1		2007	6	
3119	3	3	2	22																			
3120	3	2	2	3																			
3120	3	3	1		2015	66	2	0.25	5	2	1	2	0	2		1	66	9					
3121	3	3	1		2001	1	9	16	80	1	1	1	80	1	3000	1	13	2	1		9999		
3122	3	4	1		2011	66	1	0.5	10	1	1	1	0	1	200	1	3	1	5		9999		
3123	3	2	1		2009	66	1	0.5	5	1	1	1	0	1	700	1	5	2	1		9999		
