a01	hh_type	j1	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_4a_1	j1_4a_2	j1_4a_3	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07
425	3	1	2																				2																							1
426	3	1	2																				2																							1
427	3	2																																												
428	3	2																																												
429	3	1	2																				2																							1
430	3	2																																												
431	3	1	2																				2																							1
432	3	2																																												
433	3	2																																												
434	3	1	2																				2																							1
435	3	1	2																				2																							1
436	3	2																																												
437.1	3	2																																												
437.2	3	2																																												
438	3	2																																												
439	3	1	2																				2																							1
440	3	1	2																				2																							1
441	3	2																																												
442	3	1	2																				2																							1
443	3	2																																												
444	3	1	2																				2																							1
445	3	2																																												
446	3	1	2																				2																							1
447	3	1	2																				1	1			2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		2		
448	3	1	2																				2																							1
449	3	1	2																				2																							1
450	3	1	2																				1	1			2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		2		
451	3	1	2																				2																							1
452	3	1	2																				2																							1
453	3	1	2																				2																							1
454	3	1	2																				2																							1
455	3	1	1	1	0	0	1	2	1	2	2		1	1	1	2	1	1	2		2		2																							
456	3	1	2																				2																							1
457	3	1	2																				2																							1
458	3	1	2																				2																							1
459	3	1	2																				2																							1
460	3	1	2																				2																							1
461	3	2																																												
462	3	2																																												
463	3	2																																												
464	3	1	2																				2																							1
465	3	1	2																				2																							1
466	3	2																																												
467	3	1	2																				1	3			7	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		
468	3	2																																												
469	3	1	2																				2																							1
470	3	2																																												
471	3	1	2																				2																							1
472	3	1	2																				2																							1
473	3	1	2																				2																							1
474.1	3	1	2																				2																							1
474.2	3	2																																												
475	3	1	2																				1	1			8	0	0	1	1	1	1	2		1	1	1	1	2		2		2		
476	3	1	2																				2																							1
477	3	2																																												
478	3	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		2		2																							
479	3	1	2																				1	1			1	0	0	2		2		2		1	1	1	1	2		2		2		
480	3	1	1	1	0	0	1	1	1	1	2		1	1	1	1	2		2		2		1	1			3	0	0	1	1	2		2		1	1	1	1	2		2		2		
481	3	2																																												
482	3	2																																												
483	3	1	2																				2																							1
484	3	1	2																				2																							1
485	3	2																																												
486	3	2																																												
487	3	2																																												
488	3	2																																												
489	3	2																																												
490	3	1	2																				2																							1
491	3	1	2																				2																							1
492	3	1	2																				2																							1
493	3	1	2																				2																							1
494	3	1	2																				2																							1
495	3	1	2																				2																							1
496	3	2																																												
497	3	2																																												
498	3	1	2																				2																							1
499	3	2																																												
500	3	1	2																				2																							1
501	3	2																																												
502	3	1	2																				2																							1
503	3	1	2																				2																							1
504	3	2																																												
505	3	2																																												
506	3	2																																												
507	3	2																																												
508	3	2																																												
509	3	1	1	2	0	1	2		1	2	1	2	1	2	1	2	1	2	1	2	2		2																							
510	3	2																																												
511	3	2																																												
512	3	2																																												
513	3	2																																												
514	3	2																																												
515	3	2																																												
516	3	2																																												
517	3	2																																												
518	3	2																																												
519	3	2																																												
520	3	2																																												
521	3	2																																												
522	3	2																																												
523.1	3	2																																												
523.2	3	2																																												
524	3	2																																												
525	3	2																																												
526	3	1	2																				2																							1
527	3	1	2																				2																							1
528	3	2																																												
529	3	1	2																				2																							1
530	3	2																																												
531	3	1	2																				2																							1
532	3	2																																												
533	3	1	2																				2																							1
534	3	1	2																				2																							1
535	3	1	2																				2																							1
536	3	2																																												
537	3	2																																												
538	3	2																																												
539	3	1	2																				2																							1
540	3	2																																												
541	3	2																																												
542	3	2																																												
543	3	2																																												
544	3	2																																												
545	3	1	2																				2																							1
547	3	2																																												
548	3	2																																												
549	3	2																																												
551	3	2																																												
552	3	2																																												
553	3	1	2																				2																							1
554	3	2																																												
555	3	2																																												
556	3	2																																												
557	3	2																																												
558	3	2																																												
559	3	1	2																				2																							2
560	3	2																																												
562	3	1	2																				2																							1
563	3	1	2																				2																							1
564	3	2																																												
565	3	2																																												
566	3	2																																												
567	3	2																																												
569	3	2																																												
