a01	hh_type	j1	j1_01	j1_02a	j1_02b	j1_02c	j1_03a	j1_03b	j1_03c	j1_03d	j1_03e	j1_03f	j1_03g	j1_03h	j1_03i	j1_03j	j1_03k	j1_03l	j1_03m	j1_03n	j1_03o	j1_03p	j1_04	j1_4a_1	j1_4a_2	j1_4a_3	j1_5a	j1_5b	j1_5c	j1_06a	j1_06b	j1_06c	j1_06d	j1_06e	j1_06f	j1_06g	j1_06h	j1_06i	j1_06j	j1_06k	j1_06l	j1_06m	j1_06n	j1_06o	j1_06p	j1_07
5243	3	2																																												
5244	3	2																																												
5245	3	1	2																				2																							1
5246	3	2																																												
5247.1	3	1	2																				2																							1
5247.2	3	2																																												
5248	3	2																																												
5249	3	2																																												
5250	3	2																																												
5251	3	2																																												
5252	3	2																																												
5253	3	2																																												
5254	3	1	2																				2																							1
5255.1	3	2																																												
5255.2	3	2																																												
5256	3	2																																												
5257	3	2																																												
5258.1	3	2																																												
5258.2	3	2																																												
5259	3	1	1	10	0	0	1	1	1	2	2		1	1	1	2	1	1	2		2		1	1			2	0	0	2		1	1	2		2		1	2	2		2		2		
5260	3	1	2																				2																							1
5261	3	2																																												
5262	3	2																																												
5263.1	3	2																																												
5263.2	3	2																																												
5264	3	2																																												
5265	3	2																																												
5266.1	3	2																																												
5266.2	3	2																																												
5267	3	2																																												
5268	3	2																																												
5270	3	2																																												
5271	3	2																																												
5273	3	2																																												
5274	3	1	2																				2																							1
5275	3	2																																												
5276	3	2																																												
5277	3	2																																												
5278	3	2																																												
5279	3	2																																												
5280	3	2																																												
5281	3	2																																												
5282	3	1	2																				2																							1
5283	3	2																																												
5284	3	2																																												
5285	3	2																																												
5286	3	2																																												
5287	3	2																																												
5288	3	2																																												
5289	3	2																																												
5290	3	2																																												
5291	3	2																																												
5292	3	2																																												
5293.1	3	2																																												
5293.2	3	2																																												
5294	3	1	2																				2																							4
5295	3	2																																												
5296	3	2																																												
5298	3	2																																												
5299	3	2																																												
5300	3	2																																												
5301	3	1	2																				2																							1
5302	3	2																																												
5303	3	1	2																				2																							1
5304	3	2																																												
5305	3	2																																												
5306	3	1	2																				2																							1
5307	3	2																																												
5308	3	2																																												
5309	3	1	2																				2																							1
5310	3	1	2																				2																							1
5311	3	1	2																				2																							1
5312	3	1	2																				2																							4
5313	3	1	2																				2																							1
5314	3	2																																												
5315	3	2																																												
5316	3	2																																												
5317	3	2																																												
5318	3	2																																												
5319	3	1	2																				2																							1
5320	3	2																																												
5321	3	1	2																				2																							1
5322	3	2																																												
5323	3	1	2																				2																							1
5324	3	2																																												
5325	3	1	2																				2																							1
5326	3	1	2																				2																							1
5327	3	1	2																				2																							1
5328	3	1	2																				2																							1
5329	3	2																																												
5330	3	1	1	1	0	0	1	1	1	1	1	1	1	1	2		2		2		2		2																							
5331	3	1	2																				2																							1
5333	3	1	2																				2																							1
5334	3	1	2																				2																							1
5335	3	2																																												
5336	3	1	1	3	0	0	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2		1	1			2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2		
5337	3	1	2																				2																							1
5338	3	2																																												
5339	3	1	2																				2																							1
5340	3	1	2																				2																							1
5341	3	2																																												
5342	3	2																																												
5343	3	1	2																				2																							4
5344	3	1	2																				2																							1
5345	3	1	2																				2																							1
5346	3	1	2																				2																							1
5347	3	1	2																				2																							1
5348	3	1	2																				2																							1
5349	3	1	2																				2																							4
5350	3	1	2																				2																							4
5351	3	1	2																				2																							1
5352	3	1	2																				2																							1
5353	3	1	2																				2																							1
5354	3	2																																												
5355	3	1	2																				2																							1
5356	3	1	2																				2																							1
5357	3	1	1	10	0	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		2																							
5358	3	1	2																				2																							1
5359	3	1	2																				2																							1
5360	3	1	2																				2																							1
5361	3	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		2		2																							
5362	3	1	1	2	0	0	1	1	1	1	2		1	1	1	1	2		2		2		2																							
5364	3	1	2																				2																							1
5365	3	1	2																				2																							1
5366	3	1	2																				2																							1
5367	3	2																																												
5368	3	1	2																				2																							1
5369	3	1	2																				2																							1
5370	3	1	2																				2																							1
5371	3	1	2																				2																							1
5372	3	1	2																				2																							1
5373.1	3	1	2																				2																							1
5373.2	3	2																																												
5374	3	1	2																				2																							1
5375	3	1	2																				2																							1
5376	3	1	2																				2																							1
5377	3	2																																												
5378	3	2																																												
5379	3	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		1	1			2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		2		
5380	3	2																																												
5381	3	1	2																				2																							1
5382	3	1	1	3	0	0	1	1	1	1	2		1	1	1	1	1	1	2		2		2																							
5383	3	1	2																				2																							1
5384	3	1	2																				2																							1
5385	3	1	2																				2																							1
5386	3	1	2																				2																							1
5387	3	1	2																				2																							1
5388	3	2																																												
5389	3	1	2																				2																							1
5390	3	1	2																				2																							1
5391	3	1	1	1	0	0	1	2	2		2		1	1	1	1	2		2		2		1	1			1	0	0	2		2		2		1	1	1	1	2		2		2		
5393	3	1	1	2	0	0	1	1	1	1	1	1	1	1	2		2		2		2		2																							
5394	3	2																																												
5395	3	1	2																				2																							1
5396	3	1	2																				2																							1
5398	3	1	2																				2																							1
5399	3	1	2																				2																							1
5400	3	1	2																				2																							1
5401	3	1	2																				1	1			5	0	0	1	1	1	1	2		1	1	1	2	2		2		2		
5402	3	1	2																				2																							1
5403	3	1	1	3	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		2		1	1			8	0	0	1	1	2		2		1	1	1	1	2		2		2		
5404	3	2																																												
5405	3	2																																												
5406	3	1	2																				1	1			3	0	0	2		2		2		1	1	1	1	2		2		2		
5407	3	2																																												
5408	3	2																																												
5409	3	2																																												
5410	3	1	1	3	0	0	1	1	1	1	2		1	1	1	1	2		2		2		2																							
5411	3	2																																												
5412	3	1	2																				2																							1
5413	3	2																																												
5414	3	2																																												
5415	3	1	2																				2																							1
5416	3	2																																												
5417	3	2																																												
5418	3	2																																												
5419	3	1	1	2	0	0	1	2	2		2		1	1	2		2		2		2		2																							
5420	3	1	2																				2																							1
5421	3	1	2																				2																							1
5422	3	1	2																				1	1			3	0	0	1	1	1	1	1	1	2		1	1	2		2		2		
5423	3	2																																												
5424	3	2																																												
5425	3	2																																												
5426	3	1	1	2	0	0	1	1	1	1	1	2	1	1	1	1	2		2		2		2																							
5427	3	1	1	1	0	0	1	1	2		2		1	1	1	2	2		2		2		2																							
5428	3	1	2																				2																							1
5429	3	1	1	3	0	0	1	2	1	1	1	2	1	1	1	1	1	2	2		2		1	1			5	0	0	1	1	1	1	1	2	1	1	1	1	1	2	2		2		
5430	3	1	2																				2																							1
5431.1	3	1	2																				2																							1
5431.2	3	2																																												
5431.3	3	2																																												
5432	3	1	2																				2																							1
5433	3	1	2																				2																							1
5434	3	1	1	3	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		2		2																							
5435	3	1	2																				2																							1
5436.1	3	1	2																				2																							1
5436.2	3	1	2																				2																							1
5437	3	1	2																				2																							1
5438	3	1	2																				2																							1
5439	3	1	1	3	0	0	1	2	1	1	1	2	1	1	1	2	2		2		2		2																							
5440	3	1	1	8	0	0	1	1	1	1	2		1	1	1	1	2		2		2		2																							
5441	3	2																																												
5442	3	1	2																				2																							1
5443	3	1	2																				2																							1
5444	3	1	1	2	0	0	1	1	2		2		1	1	1	1	2		2		2		2																							
5445	3	1	2																				2																							1
5446	3	2																																												
5447	3	1	2																				2																							1
5448	3	1	1	3	0	0	1	1	2		2		1	2	2		2		2		2		1	1			5	0	0	1	1	2		2		1	2	2		2		2		2		
5449.1	3	1	2																				2																							1
5449.2	3	2																																												
5450	3	1	2																				2																							1
5451	3	1	2																				2																							1
5452.1	3	1	2																				2																							1
5452.2	3	1	2																				2																							1
5453	3	1	2																				2																							1
5454	3	1	2																				2																							1
5455	3	1	2																				2																							1
5456	3	1	2																				2																							1
5457	3	1	1	3	2	0	2		2		1	2	2		2		2		2		2		2																							
5458	3	1	2																				2																							5
5459	3	1	2																				2																							1
5460	3	1	2																				2																							1
5461	3	1	2																				2																							1
5462	3	1	2																				2																							1
5463	3	1	2																				2																							1
5464	3	1	2																				2																							2
5465	3	2																																												
5466	3	2																																												
5467	3	1	2																				2																							2
5468	3	2																																												
5469	3	1	1	6	0	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		1	1			1	0	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		
5470.1	3	2																																												
5470.2	3	2																																												
5471	3	2																																												
5472	3	1	2																				2																							1
5473	3	2																																												
5474	3	1	2																				2																							1
5475	3	2																																												
5476	3	2																																												
5477	3	2																																												
5478	3	1	2																				2																							1
5479	3	2																																												
5480	3	1	2																				2																							4
5481	3	1	2																				2																							1
5482	3	1	2																				2																							4
5483	3	2																																												
5484	3	1	2																				2																							1
5485	3	2																																												
5486	3	2																																												
5487	3	1	2																				2																							4
5488	3	1	2																				2																							1
5489	3	2																																												
5490	3	1	2																				2																							1
5491.1	3	1	1	1	0	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		2																							
5491.2	3	2																																												
5491.3	3	2																																												
5492	3	2																																												
5493	3	2																																												
5494	3	1	2																				2																							1
5495	3	2																																												
5496	3	2																																												
5497	3	2																																												
5498	3	2																																												
5499	3	2																																												
5500	3	2																																												
5501	1	1	1	2	0	0	2		2		2		1	1	1	1	1	2	2		2		2																							
5502	1	1	2																				2																							1
5503	1	1	2																				2																							1
5504	1	1	2																				2																							2
5505	1	1	2																				1	3			2	0	0	1	2	2		2		2		2		2		2		2		
5506	1	1	1	1	0	0	1	1	2		2		1	1	2		2		2		2		2																							
5507	1	1	2																				2																							1
5508	1	1	2																				2																							1
5509	1	1	2																				2																							2
5510	1	1	2																				2																							1
5511	1	2																																												
5512	1	2																																												
5514	1	1	2																				2																							6
5515	1	2																																												
5517	1	1	2																				2																							1
5518	1	2																																												
5519	1	1	2																				2																							1
5520.1	1	1	2																				2																							1
5520.2	1	1	2																				2																							1
5521	1	1	1	2	0	0	1	1	2		2		2		2		2		2		2		2																							
5522	1	1	2																				2																							1
5523	1	1	2																				2																							2
5524	1	1	2																				2																							1
5525	1	2																																												
5526	1	1	2																				2																							1
5527	1	1	1	1	0	0	1	2	2		2		2		1	2	2		2		2		2																							
5528	1	2																																												
5529	1	1	2																				2																							1
5530	1	1	1	1	2	0	1	2	2		2		1	1	1	1	1	1	2		2		2																							
5531	1	1	2																				2																							2
5532	1	1	2																				1	1			1	0	0	2		2		2		2		1	2	2		2		2		
5533	1	2																																												
5534	1	2																																												
5535	1	2																																												
5536	1	1	2																				2																							1
5537	1	1	2																				2																							1
5538	1	1	2																				2																							1
5539	1	2																																												
5540	1	1	1	0	2	0	1	2	2		1	1	1	1	1	1	2		2		2		2																							
5541	1	2																																												
5542	1	2																																												
5543	1	2																																												
5544	1	2																																												
5545	1	1	2																				2																							1
5546	1	1	2																				1	1			2	0	0	2		2		2		1	1	2		2		2		2		
5547	1	2																																												
5548	1	1	2																				2																							4
5550.1	1	1	1	0	2	0	2		2		1	1	1	1	2		2		2		2		2																							
5550.2	1	1	2																				2																							2
5551	1	1	2																				2																							1
5552	1	1	2																				2																							1
5553	1	2																																												
5554	1	1	2																				2																							1
5555	1	2																																												
5556	1	2																																												
5557	1	1	1	1	0	0	1	1	2		1	1	1	1	1	1	2		2		2		2																							
5558	1	2																																												
5559	1	1	2																				2																							1
5560	1	1	2																				2																							1
5561	1	1	1	2	4	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		1	1			2	2	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		
5562	1	1	2																				2																							1
5563	1	1	2																				2																							1
5564	1	2																																												
5565	1	2																																												
5566	1	2																																												
5567	1	2																																												
5568	1	2																																												
5569	1	1	2																				2																							1
5570	1	1	2																				2																							1
5571	1	1	1	0	3	0	1	1	1	1	2		1	1	2		2		2		2		2																							
5573	1	2																																												
5574	1	1	2																				2																							1
5575	1	2																																												
5576	1	2																																												
5577	1	2																																												
5578	1	2																																												
5579	1	1	2																				2																							1
5580	1	1	2																				2																							1
5581	1	1	2																				2																							1
5582	1	1	2																				2																							1
5583	1	1	2																				2																							1
5584	1	1	2																				2																							1
5585	1	1	2																				2																							2
5586	1	1	2																				2																							1
5587	1	1	2																				2																							1
5588	1	2																																												
5589	1	2																																												
5590	1	1	2																				2																							1
5591	1	1	2																				2																							1
5592	1	1	1	3	0	0	1	1	1	1	1	2	1	1	1	1	1	1	2		2		1	1			2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		1	1	
5593	1	1	2																				2																							1
5594	1	1	2																				2																							1
5595	1	2																																												
5596	1	1	2																				2																							1
5598	1	1	1	0	1	0	2		2		2		2		2		1	2	2		2		2																							
5599	1	1	2																				2																							1
5600	1	1	1	1	0	0	2		2		2		2		2		1	2	2		2		2																							
5601	1	2																																												
5602	1	1	1	2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2																							
5603	1	1	1	1	0	0	1	1	1	1	1	2	1	1	1	2	1	2	1	2	2		2																							
5604	1	1	2																				2																							1
5605	1	1	2																				2																							1
5606.1	1	2																																												
5606.2	1	2																																												
5607	1	2																																												
5608	1	2																																												
5609	1	1	2																				2																							1
5610	1	2																																												
5611	1	2																																												
5612	1	2																																												
5613	1	1	2																				2																							2
5614	1	2																																												
5615	1	1	2																				2																							2
5616	1	1	2																				2																							1
5617	1	1	2																				2																							1
5619	1	1	1	4	0	0	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2		2																							
5620	1	2																																												
5621	1	1	2																				2																							1
5622	1	2																																												
5623	1	1	2																				2																							1
5624	1	2																																												
5625	1	1	2																				2																							1
5626	1	2																																												
5627	1	1	2																				2																							1
5629	1	2																																												
5630	1	1	2																				2																							1
5631	1	1	2																				2																							2
5632	1	1	2																				2																							1
5633	1	1	2																				2																							1
5634	1	1	2																				2																							1
5635	1	1	2																				2																							1
5636	1	2																																												
5637	1	1	2																				2																							1
5638	1	1	2																				2																							1
5639	1	1	2																				2																							1
5640	1	1	2																				2																							1
5641	1	1	2																				2																							1
5642	1	1	1	2	0	0	1	2	1	2	1	2	1	2	2		2		2		1	2	1	1			2	0	0	2		2		2		2		2		2		2		2		
5643	1	2																																												
5644	1	1	1	1	0	0	1	2	1	2	1	2	1	2	1	2	1	2	2		2		1	1			2	0	0	1	2	1	2	1	2	1	2	1	2	1	2	2		2		
5645	1	2																																												
5646.1	1	2																																												
5646.2	1	2																																												
5647	1	1	2																				2																							2
5649	1	2																																												
5650	1	1	2																				2																							1
5651	1	2																																												
5652	1	2																																												
5653	1	1	2																				2																							1
5654	1	1	2																				2																							2
5655	1	1	2																				2																							2
5656	1	1	2																				2																							2
5657	1	2																																												
5658	1	1	2																				2																							1
5659	1	1	2																				2																							1
5660	1	1	2																				1	1			2	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		
5661	1	1	2																				2																							1
5663	1	1	2																				2																							1
5664	1	1	2																				2																							1
5665	1	1	2																				2																							1
5666	1	1	1	2	0	0	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	2	2																							
5667	1	1	2																				2																							1
5668	1	2																																												
5669	1	1	2																				2																							1
5670	1	1	2																				2																							1
5671	1	1	2																				2																							2
5672	1	2																																												
5673	1	1	2																				2																							1
5674	1	1	2																				2																							2
5675	1	1	2																				2																							1
5677	1	2																																												
5678	1	2																																												
5679	1	1	2																				1	3			1	0	0	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2		
5680	1	1	2																				2																							1
5681	1	1	2																				2																							1
5682	1	1	2																				2																							1
5683	1	1	2																				2																							1
5684	1	1	2																				2																							1
5685	1	1	2																				2																							2
5686	1	2																																												
5687	1	1	2																				2																							1
5688	1	1	2																				2																							1
5689	1	2																																												
5690	1	2																																												
5691	1	1	2																				2																							5
5692	1	1	2																				2																							1
5693	1	1	2																				2																							1
5694	1	1	1	2	0	0	1	2	1	2	2		1	2	1	2	1	2	2		2		1	1			1	0	0	1	2	1	2	2		1	2	1	2	1	2	2		2		
5695	1	2																																												
5696.1	1	1	2																				2																							1
5696.2	1	1	2																				2																							1
5697	1	1	1	4	2	0	1	1	1	1	2		2		1	1	2		2		2		2																							
5698	1	2																																												
5699	1	1	2																				2																							1
5700	1	2																																												
5701	1	1	2																				2																							1
5702	1	2																																												
5703	1	2																																												
5704	1	2																																												
5705	1	1	2																				2																							1
5707	1	2																																												
5708	1	2																																												
5709	1	2																																												
5710	1	1	2																				2																							1
5711	1	2																																												
5712	1	2																																												
5713	1	2																																												
5715	1	2																																												
5716	1	2																																												
5718	1	2																																												
5721.1	1	1	2																				2																							1
5721.2	1	2																																												
5722	1	1	2																				2																							1
5723	1	1	1	1	0	1	1	3	2		2		1	1	1	1	2		2		2		1	1			1	0	1	2		2		2		1	3	2		2		2		2		
5724	1	1	1	3	0	0	1	1	1	1	2		1	2	1	1	1	1	1	2	2		2																							
5725	1	2																																												
5726	1	1	1	3	0	0	1	1	1	1	1	1	1	1	1	1	1	1	2		2		1	1			1	0	0	1	1	1	1	2		1	1	1	1	2		2		2		
5727	1	1	2																				2																							1
5728	1	1	2																				2																							1
5729	1	2																																												
5730	1	1	1	1	0	0	1	2	1	2	2		2		2		1	1	2		2		2																							
5731	1	2																																												
5732	1	1	2																				2																							1
5733	1	1	2																				2																							1
5734	1	1	2																				2																							1
5735	1	1	2																				2																							1
5736	1	1	1	2	2	2	1	2	2		2		2		2		2		2		2		2																							
5737	1	2																																												
5738	1	1	1	2	0	0	1	1	1	2	2		1	1	1	2	2		2		2		2																							
5739	1	2																																												
5740.1	1	2																																												
5740.2	1	1	2																				2																							1
5741	1	1	2																				2																							1
5742	1	1	2																				2																							6
5743	1	1	2																				2																							1
5744	1	1	2																				2																							1
5745.1	1	1	2																				1	1			0	0	2	2		2		2		1	3	1	3	2		2		2		
5745.2	1	1	2																				2																							1
5746	1	1	2																				2																							1
5747	1	1	2																				2																							1
5748	1	1	2																				2																							1
5749	1	1	2																				2																							1
5750	1	1	2																				1	1			1	0	0	2		2		2		2		2		2		2		2		
5751	1	2																																												
5752	1	1	1	2	0	0	1	1	1	1	2		1	2	2		2		2		2		2																							
5753	1	1	2																				2																							1
5754	1	1	2																				2																							1
5755	1	1	2																				2																							1
5756	1	1	2																				2																							1
5757	1	1	2																				2																							1
5758	1	2																																												
5759	1	1	1	2	0	0	2		2		2		1	1	1	1	1	2	1	1	2		1	1			1	0	0	1	2	2		2		1	1	1	1	2		1	2	2		
5760	1	1	2																				2																							1
5761	1	2																																												
5762	1	2																																												
5763	1	2																																												
5764	1	2																																												
5765	1	2																																												
5766	1	2																																												
5767	1	2																																												
5769	1	2																																												
5770	1	2																																												
5771	1	2																																												
5772	1	2																																												
5773	1	2																																												
5774	1	2																																												
5775	1	2																																												
5776	1	2																																												
5777	1	2																																												
5778	1	2																																												
5779	1	2																																												
5780	1	2																																												
5781	1	2																																												
5782	1	1	1	1	0	0	1	1	2		2		1	1	1	1	2		2		2		2																							
5783	1	1	2																				1	3			3	0	0	1	1	2		2		1	1	2		2		2		2		
5784	1	1	2																				2																							1
5785	1	1	2																				2																							1
5786	1	1	2																				2																							1
5787	1	2																																												
5788	1	2																																												
5789	1	1	2																				2																							1
5790	1	2																																												
5791	1	2																																												
5792	1	1	2																				2																							1
5793	1	1	2																				2																							1
5794	1	1	1	13	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2		2																							
5795	1	2																																												
5796	1	1	2																				2																							1
5797	1	1	2																				2																							1
5798	1	1	2																				2																							1
5799	1	2																																												
5800	1	2																																												
5801	1	2																																												
5802	1	1	2																				2																							1
5803	1	2																																												
5804	1	1	2																				2																							1
5806	1	2																																												
5807	1	1	2																				2																							1
5808	1	1	2																				2																							1
5809	1	2																																												
5810	1	1	2																				2																							1
5811	1	2																																												
5812	1	1	2																				1	3			0	0	4	1	2	2		1	2	1	1	1	1	2		2		2		
5813	1	1	2																				2																							1
5814	1	1	2																				2																							1
5815	1	2																																												
5816	1	1	2																				2																							1
5817	1	1	2																				2																							1
5818	1	2																																												
5819	1	1	2																				2																							1
5820	1	2																																												
5821	1	1	2																				2																							1
5822	1	1	2																				2																							1
5823	1	1	2																				2																							1
5824	1	1	2																				2																							1
5825	1	2																																												
5826	1	2																																												
5827	1	1	2																				2																							1
5828	1	1	2																				2																							1
5829	1	1	2																				1	1			1	0	0	1	2	2		2		2		1	1	2		2		2		
5830	1	1	2																				2																							1
5831	1	2																																												
5832	1	2																																												
5833.1	1	1	2																				2																							1
5833.2	1	2																																												
5834	1	1	2																				2																							1
5835	1	2																																												
5836	1	2																																												
5837	1	1	2																				2																							1
5838	1	2																																												
5839	1	1	2																				2																							1
5840	1	2																																												
5841	1	1	2																				2																							1
5842	1	1	2																				2																							5
5843	1	2																																												
5844	1	2																																												
5845	1	1	2																				2																							1
5846	1	1	2																				2																							5
5847	1	1	2																				2																							1
5849	1	2																																												
5850	1	1	2																				2																							1
5851	1	2																																												
5852	1	1	2																				2																							1
5853	1	1	2																				2																							1
5854	1	1	2																				2																							1
5855	1	1	2																				2																							1
5856	1	2																																												
5857	1	2																																												
5858	1	2																																												
5859	1	2																																												
5860	1	2																																												
5861	1	2																																												
5862	1	1	2																				2																							5
5863	1	2																																												
5864	1	2																																												
5865	1	2																																												
5866	1	1	2																				2																							1
5867	1	1	2																				2																							1
5869	1	1	2																				2																							1
5870	1	1	2																				2																							1
5871	1	2																																												
5872	1	1	2																				2																							1
5874	1	1	1	1	0	0	2		2		2		2		1	1	2		2		2		2																							
5875	1	1	2																				2																							1
5876	1	1	2																				2																							1
5877.1	1	1	2																				2																							1
5877.2	1	1	2																				2																							1
5878	1	2																																												
5879	1	1	2																				2																							1
5880	1	2																																												
5881	1	2																																												
5882	1	1	2																				2																							1
5883	1	1	2																				2																							1
5884	1	1	2																				2																							1
5885	1	1	1	0	2	0	1	1	1	2	1	1	1	1	1	2	2		2		2		2																							
5886	1	1	2																				2																							1
5887	1	1	2																				2																							1
5888	1	1	2																				2																							1
5889	1	1	2																				1	3			3	0	0	2	2	1	1	2		2		2		1	1	2		2		
5890	1	1	2																				2																							1
5891	1	1	2																				2																							1
5892	1	1	2																				2																							1
5893	1	1	2																				2																							1
5894	1	1	2																				2																							1
5895	1	1	2																				2																							1
5896	1	1	2																				2																							1
5897	1	1	2																				2																							4
5899	1	1	2																				2																							1
5900	1	1	2																				2																							1
5901	1	1	2																				2																							1
5902	1	1	2																				2																							1
5903	1	1	2																				2																							1
5904	1	1	2																				2																							1
5905	1	1	2																				2																							1
5906	1	2																																												
5907	1	2																																												
5908	1	2																																												
5909	1	2																																												
5910	1	2																																												
5911	1	1	2																				2																							1
5912	1	1	2																				2																							1
5913	1	2																																												
5914	1	1	2																				2																							1
5915	1	1	2																				2																							1
5916	1	1	2																				2																							1
5917	1	1	2																				2																							1
5918.1	1	1	2																				2																							1
5918.2	1	1	2																				2																							1
5919	1	1	2																				2																							1
5920	1	1	2																				2																							1
5921	1	2																																												
5922	1	1	2																				1	1			3	0	0	1	2	1	2	2		1	2	1	2	2		2		2		
5923	1	1	2																				2																							1
5924	1	2																																												
5925	1	2																																												
5926	1	1	2																				2																							1
5927	1	1	2																				2																							1
5928	1	1	2																				2																							1
5929	1	2																																												
5930	1	2																																												
5931	1	2																																												
5932	1	2																																												
5933	1	1	2																				2																							1
5934	1	2																																												
5935	1	1	2																				2																							1
5936	1	1	2																				2																							1
5937	1	1	2																				2																							1
5938	1	1	2																				2																							1
5939	1	1	2																				2																							2
5941	1	1	2																				2																							2
5942	1	1	2																				2																							1
5943	1	1	2																				2																							1
5944	1	1	2																				2																							2
5945	1	1	2																				1	2			4	0	0	1	1	1	1	2		1	1	1	2	1	1	2		2		
5946	1	2																																												
5947	1	1	2																				2																							1
5948	1	1	2																				2																							1
5949	1	1	2																				2																							1
5950	1	2																																												
5951	1	2																																												
5952	1	1	2																				2																							5
5953	1	2																																												
5954	1	1	2																				2																							1
5955	1	1	2																				2																							1
5956	1	1	2																				2																							1
5957	1	2																																												
5958	1	2																																												
5959	1	2																																												
5960	1	1	2																				2																							1
5961	1	1	2																				2																							1
5962	1	1	2																				2																							1
5963	1	1	2																				2																							1
5964	1	1	2																				2																							1
5965	1	1	2																				2																							1
5966	1	2																																												
5967	1	1	2																				2																							1
5968	1	2																																												
5969	1	2																																												
5970	1	1	2																				2																							1
5971	1	1	2																				2																							1
5972	1	2																																												
5973	1	1	2																				2																							1
5974	1	1	2																				2																							1
5975	1	1	2																				2																							1
5976	1	1	2																				2																							1
5977	1	1	2																				2																							1
5978	1	1	2																				2																							1
5979	1	1	2																				2																							1
5980	1	1	2																				2																							1
5981	1	1	2																				2																							1
5982	1	2																																												
5983	1	2																																												
5984	1	2																																												
5985	1	2																																												
5986	1	1	2																				2																							1
5987	1	1	2																				2																							1
5988	1	1	2																				2																							1
5989	1	1	2																				2																							1
5990	1	2																																												
5991	1	1	2																				2																							1
5992	1	1	2																				2																							1
5993	1	1	2																				2																							1
5994	1	2																																												
5995	1	1	2																				2																							1
5996	1	1	2																				2																							1
5997	1	2																																												
5998	1	1	2																				2																							1
5999	1	1	2																				2																							1
6000	1	2																																												
6002	1	1	2																				2																							1
6003	1	1	2																				2																							1
6004	1	2																																												
6005	1	1	2																				2																							1
6006	1	2																																												
6007	1	2																																												
6008	1	1	2																				2																							1
6009	1	2																																												
6010	1	2																																												
6011	1	1	2																				1	1			2	0	0	1	2	1	2	2		1	2	1	2	2		2		2		
6012	1	1	2																				2																							1
6013	1	1	2																				2																							1
6014	1	1	1	1	0	0	1	1	1	1	2		2		2		2		2		2		1	1			3	0	0	2		2		2		2		1	1	2		2		2		
6015	1	2																																												
6016	1	1	2																				2																							2
6017	1	2																																												
6018	1	1	2																				2																							1
6019	1	1	2																				2																							1
6021	1	1	2																				2																							2
6022	1	2																																												
6023	1	1	2																				2																							1
6024	1	1	2																				2																							1
6025	1	1	2																				2																							5
6026	1	1	2																				2																							4
6027	1	1	2																				2																							1
6028	1	1	2																				2																							1
6029	1	1	2																				2																							1
6030	1	1	2																				2																							4
6031	1	2																																												
6032	1	1	2																				2																							1
6033.1	1	1	2																				2																							1
6033.2	1	2																																												
6033.3	1	1	2																				2																							1
6034	1	1	2																				2																							1
6035	1	1	2																				2																							1
6036	1	1	2																				2																							1
6037	1	1	2																				2																							2
6038	1	1	2																				2																							1
6039	1	1	2																				2																							1
6040	1	2																																												
