a01	rid	n01	bid	n02	n03a	n03b	n03c	n04a	n04b	n04c	n05	n06a	n06b	n07	n08a	n08b	n08c	n09a	n09b	n09c	n10a	n10b	n10c	n11a	n11b	n11c	n12a	n12b	n12c	n13	n14	n15	n16	n17a	n17b	n18	n19	n20a	n20b	n21	n22a	n22b	sample_type
3728	1	1	1	39	1			1			130000	10	4	1							1	72	73	1	72	73	1			1	12.0	100.0	100.0	3	4	1	2	1	2	0	1		3
3729	1	2																																									3
3730	1	2																																									3
3731	1	1	1	38	1			1			40000	10	2	1							1			1			1			2	8.0	100.0	100.0	1		2	3	12		0	1		3
3732	1	1	1	30	1			1			120000	30	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	6		0	1		3
3732	1	1	2	30	2			2			36000	20	0	1							2			2			2			1	12.0	100.0	100.0	1		1	2	6		0	1		3
3732	1	1	3	2	5			5			60000	3	4	1							5			5			5			2	12.0	100.0	100.0	1		3	2	1	2	0	1		3
3733	1	2																																									3
3734	1	1	1	29	1	2		1	2		2700	0	3	1							1			1			1			2	3.0	100.0	100.0	1		2	2	1		0	1		3
3735	1	1	1	39	1			1			23000	10	3	1							1			1			1			3	5.0	100.0	100.0	1		1	2	12		0	1		3
3736	1	1	1	39	1			1			30000	0	6	1							1			1			1			3	6.0	100.0	100.0	1		2	2	12		0	1		3
3737	1	1	1	29	1	2		1	2		72000	7	4	1							1	2		1	2		1	2		2	12.0	100.0	100.0	1		2	2	8		0	1		3
3737	1	1	2	30	1	2		1	2		60000	3	1	1							1	2		1	2		1	2		2	7.0	100.0	100.0	1		2	2	8		0	1		3
3738	1	1	1	4	1			1			72000	12	2	1							1	2	3	1	2	3	1			1	12.0	100.0	100.0	1		1	2	8		0	1		3
3739	1	1	1	4	1			1			40000	11	4	1							1	2		1			1			1	12.0	100.0	100.0	1		3	2	8		0	1		3
3740	1	2																																									3
3741	1	2																																									3
3742	1	1	1	6	1			1			84000	3	2	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		8	1		3
3743	1	1	1	38	1			1			24000	5	3	1							1			1			1			3	12.0	0.0	90.0	1		3	2	2		0	1		3
3744	1	1	1	30	1			1			68000	27	0	1							1			1			1			3	11.0	100.0	100.0	1		3	2	8		0	2		3
3745	1	1	1	30	1			1			48000	2	0	1							1			1			1			3	8.0	0.0	80.0	1		3	2	2		0	12		3
3746	1	2																																									3
3747	1	2																																									3
3748	1	1	1	30	1			1			6200	4	0	1							1			1			1			3	12.0	0.0	90.0	1		4	2	5		0	1		3
3749	1	2																																									3
3750	1	1	1	30	1			1			52000	1	0	1							1			1			1			3	12.0	100.0	100.0	1		3	2	6		0	2		3
3750	1	1	2	29	4			4			19500	1	0	1							4			4			1			2	12.0	100.0	100.0	1		2	2	2		0	2		3
3751	1	2																																									3
3752	1	1	1	30	1			1			36000	6	3	1							1			1			1			3	12.0	100.0	100.0	1		2	3	4		0	1		3
3753	1	1	1	30	1			1			60000	5	2	1							1			1			1			1	12.0	100.0	100.0	1		1	3	2		0	1		3
3754	1	1	1	29	1			1			60000	3	1	1							1			1			1			2	12.0	100.0	100.0	1		2	3	10		0	1		3
3755	1	1	1	30	1			1			40000	3	2	1							1			1			1			2	8.0	0.0	80.0	1		2	3	2		0	1		3
3756	1	2																																									3
3757	1	1	1	31	1			1			60000	2	8	1							1			1			1			3	12.0	100.0	100.0	1		2	2	10		0	1		3
3758	1	1	1	31	1			1			60000	23	5	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2	3	0	1		3
3759	1	2																																									3
3760	1	1	1	31	1			1			78000	10	2	1							1			1			1			3	12.0	0.0	90.0	1		3	2	2		0	1		3
3760	1	1	2	29	4			4			64800	15	4	1							4			4			4			3	12.0	100.0	100.0	1		3	2	2		0	1		3
3761	1	2																																									3
3762	1	2																																									3
3763	1	2																																									3
3764	1	2																																									3
3765	1	1	1	30	1			1	3		24000	5	3	2	1			1	3		1	3		1	3		1			3	12.0	100.0	100.0	1		2	3	2		0	1		3
3766	1	2																																									3
3767	1	2																																									3
3768	1	2																																									3
3769	1	2																																									3
3770	1	1	1	29	1			1			48000	1	2	2	1			1			1			1			1			2	12.0	100.0	100.0	1		3	1	8		0	2		3
3771	1	2																																									3
3772	1	2																																									3
3773	1	2																																									3
3774	1	1	1	30	1			1			15000	3	3	1							1			1			1			2	6.0	100.0	100.0	3		3	3	2		0	1		3
3775	1	2																																									3
3776	1	1	1	31	1			1			72000	9	6	1							1			1			1			3	12.0	100.0	100.0	1		3	2	8		0	1		3
3777	1	1	1	29	1			1			42000	12	2	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
3778	1	2																																									3
3779	1	1	1	31	1	2		1			72000	18	3	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2	3	0	1		3
3780	1	2																																									3
3781	1	1	1	31	1			1			80000	20	4	1							1			1			1			3	12.0	100.0	100.0	1		3	1	9	7	0	1		3
3781	1	1	2	31	1			3			50000	2	4	1							3			3			3	1		3	12.0	100.0	100.0	1		3	1	2		0	1		3
3782	1	2																																									3
3783	1	2																																									3
3784	1	1	1	29	1			1			10000	8	4	1							1			1			1			2	4.0	100.0	100.0	1		2	3	2		0	1		3
3785	1	2																																									3
3786	1	2																																									3
3787	2	1	1	30	2			2			15000	10	5	1							2	1		2	1	3	2			2	12.0	0.0	100.0	3		1	1	12		0	1		3
3788	1	1	1	30	1			1			40000	18	5	1							1	72		1	72		1			3	12.0	100.0	100.0	1		3	2	6		0	1		3
3789	3	1	1	39	1	3		1	3		10000	0	6	1							3			3	1		1	3		3	6.0	100.0	100.0	1		2	2	2		0	1		3
3789	3	1	2	22	4			4			10000	1	1	1							4			4			3	4		1	12.0	100.0	100.0	1		1	2	2		0	1		3
3790	1	2																																									3
3791	1	2																																									3
3792	1	1	1	2	1			1			16000	16	1	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	2		3
3792	1	1	2	34	2			2			30000	2	2	1							2			2			1	2		1	4.0	100.0	100.0	1		1	2	2		0	2		3
3793	1	1	1	2	1			1			40000	10	2	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		3
3793	1	1	2	30	2			2			5000	7	10	1							2			2			2			3	12.0	0.0	100.0	1		3	2	12		0	1		3
3794	1	1	1	2	1			1			50000	20	1	1							1			1			1			3	11.0	100.0	100.0	1		3	2	2		0	2		3
3794	1	1	2	34	71			71			20000	5	2	1							2			2			2	1		1	8.0	100.0	100.0	1		3	2	2		0	2		3
3795	1	2																																									3
3796	1	2																																									3
3797	1	2																																									3
3798	1	2																																									3
3799	1	1	1	21	1			1			50000	3	2	1							1	2		1	2		1			2	6.0	100.0	100.0	1		2	2	2		0	2		3
3799	1	1	2	31	72			72			4000	0	2	1							1			1			1			3	2.0	0.0	50.0	1		2	2	2		0	1		3
3800	1	2																																									3
3801	1	1	1	30	1			1			72000	2	3	1							1			1			1			2	12.0	100.0	100.0	1		3	1	2		0	1		3
3802	1	1	1	7	1			1			100000	17	2	1							1			1			1			2	12.0	100.0	100.0	1		4	1	2		1	1		3
3803	1	1	1	9	1	72		1	72		150000	5	1	1							1	3		1	3		1			2	12.0	0.0	50.0	3		4	1	12		0	1		3
3804	1	1	1	31	1			1			10000	0	3	1							1			1			1			3	3.0	100.0	100.0	1		4	2	1		0	2		3
3804	1	1	2	29	1			1			40000	5	2	2	71			71			1			1			1			2	8.0	100.0	100.0	1		4	2	1		0	2		3
3804	1	1	3	31	3			3			15000	0	3	1							3			3			3			3	3.0	0.0	100.0	1		4	2	1		0	2		3
3804	1	1	4	31	7			7			30000	0	11	1							7			7			7			3	11.0	0.0	100.0	1		4	2	1		0	2		3
3805	1	1	1	31	1			1			50000	17	2	1							1			1			1			3	12.0	100.0	100.0	1		4	2	2	8	0	1		3
3806	1	2																																									3
3807	1	1	1	30	1			1			72000	10	0	1							1			1			1			2	6.0	100.0	100.0	1		4	1	2		15	1		3
3808	1	2																																									3
3809	1	1	1	31	1			1			45000	2	3	1							1			1			1			3	12.0	100.0	100.0	1		4	2	2	6	0	1		3
3810	1	1	1	29	1			1			12000	3	2	1							1			1			1			1	12.0	100.0	100.0	1		1	2	2		0	1		3
3810	1	1	2	30	1	7		7			30000	2	5	1							7			7			1			2	12.0	100.0	100.0	1		3	2	2		0	7		3
3810	1	1	3	31	1	9		9			20000	1	9	1							9			9			1			3	12.0	100.0	100.0	1		3	2	2		0	9		3
3811	1	1	1	31	1			1			30000	5	0	1							1			1			1			3	12.0	0.0	100.0	1		3	2	12		0	1		3
3812	1	2																																									3
3813	1	2																																									3
3814	1	2																																									3
3815	1	2																																									3
3816	1	2																																									3
3817	1	2																																									3
3818	1	2																																									3
3819	1	2																																									3
3820	1	1	1	1	1	71		1			36000	8	0	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
3821	1	1	1	21	71			1			27000	12	2	1							1	2		1	2		1	2		2	5.0	100.0	100.0	1		3	2	2		0	1		3
3822	1	2																																									3
3823	1	1	1	21	2			2			30000	5	2	1							2	3	1	1	2	3	2			1	5.0	100.0	100.0	1		3	2	2		0	1		3
3824	1	2																																									3
3825	1	1	1	16	71			71			2500	4	1	1							2			2	4		71			1	12.0	100.0	100.0	1	3	1	2	2		0	1		3
3825	1	1	2	21	71			71			8000	10	1	1							1			1	2		1			1	5.0	100.0	100.0	3		1	2	2		0	1		3
3826	1	1	1	9	71			1			20000	20	1	1							1			1	3		1			3	3.0	50.0	90.0	1	3	4	2	2		0	2		3
3826	1	1	2	9	71			1			25000	25	1	1							1			1			1			3	4.0	50.0	90.0	1	3	4	2	2		0	2		3
3826	1	1	3	29	71			1			20000	10	2	1							1			1	3	2	1			3	2.0	0.0	90.0	1		4	2	2		0	2		3
3827	2	1	1	16	71			71			1500	2	1	1							2			2			71			1	12.0	100.0	100.0	1		1	2	2		0	1		3
3828	1	2																																									3
3829	1	2																																									3
3830	1	1	1	21	1			1			30000	0	5	1							1	2		1	2		1			3	5.0	100.0	100.0	1		2	2	2		0	1		3
3831	2	1	1	30	2			2			100000	12	3	1							2	1		2	1		2			1	12.0	100.0	100.0	1		2	2	2		0	1		3
3832	1	2																																									3
3833	1	1	1	9	71			71			65000	10	2	1							1			1	3		1			2	12.0	100.0	100.0	1	3	4	2	2		0	2		3
3834	1	2																																									3
3835	1	2																																									3
3836	1	2																																									3
3837	1	1	1	16	71			71			1200	4	1	1							2			2			1	2		1	12.0	100.0	100.0	1		1	2	2		0	1		3
3838	1	2																																									3
3839	1	1	1	29	1	2		1	2		40000	4	3	1							1	2		1	2		1	2		1	5.0	100.0	100.0	1		2	3	2		0	1		3
3840	1	2																																									3
3841	3	1	1	6	1	3		1			40000	7	9	1							1			1			1			3	12.0	100.0	100.0	1		3	2	1		1	1		3
3842	1	2																																									3
3843	1	2																																									3
3844	1	1	1	28	1			1			20000	19	2	1							1			1			1			2	12.0	100.0	100.0	1		4	2	2		1	1		3
3845	1	1	1	39	71			1			4000	7	1	1							1			1			1			3	5.0	100.0	100.0	1		2	2	1		0	1		3
3846	1	2																																									3
3847	1	2																																									3
3848	1	2																																									3
3849	1	2																																									3
3850	1	2																																									3
3851	1	1	1	29	71			71			15000	3	1	2	71			71			1	2		1	2		71			1	11.0	100.0	100.0	1		1	2	2		0	1		3
3852	1	2																																									3
3853	1	1	1	30	1			1			28000	0	6	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
3854	1	1	1	30	1			1			48000	24	4	1							1			1			1			3	12.0	100.0	100.0	1		3	3	2		0	1		3
3854	1	1	2	30	1			1			6000	4	1	1							1			1			1			2	3.0	100.0	100.0	1		2	3	2		0	1		3
3854	1	1	3	30	1			1			6000	4	6	1							1			1			1			2	6.0	100.0	100.0	1		2	3	2		0	1		3
3855	1	1	1	31	1			1			30000	8	2	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		3
3856	1	1	1	6	1			1			40000	10	4	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		3
3857	1	1	1	15	1			1			60000	10	2	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
3858	1	2																																									3
3859	1	1	1	6	1			1			100000	32	7	1							1	3	6	1	3	6	1			3	12.0	100.0	100.0	1		3	2	2		3	1		3
3860	1	1	1	31	1			1			50000	10	6	1							1			1			1			3	12.0	100.0	100.0	1		2	2	1	9	0	1		3
3861	1	2																																									3
3862	1	1	1	31	1			1			40000	4	5	1							1			1			1			3	12.0	100.0	100.0	1		2	2	2		0	1		3
3863	1	1	1	30	1	2		1			25000	20	3	1							1	2		1	2		1			1	3.0	100.0	100.0	1		1	2	2		0	1		3
3864	1	2																																									3
3865	3	1	1	31	1	3		1			100000	7	5	1							3			3			1			3	12.0	100.0	100.0	1		3	2	9		1	1		3
3866	1	1	1	30	1			1			36000	7	2	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		3
3867	1	1	1	29	1			1			50000	10	6	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
3867	1	1	2	30	3			3			30000	2	4	1							3			1			3	1		3	12.0	100.0	100.0	1		3	2	3		0	1		3
3868	1	1	1	29	1			1			48000	3	1	1							1			1			1	2		2	12.0	100.0	100.0	1		2	2	2		0	1		3
3869	1	1	1	29	1			1			60000	20	4	1							1			1			1			2	12.0	100.0	100.0	1		2	3	2		0	1		3
3870	1	1	1	31	71			71			0	4	2	1							1			1			1			3	10.0	100.0	100.0	1		3	2	1		0	1		3
3870	1	1	2	28	71			71			0	1	4	1							1			1			1			2	12.0	100.0	100.0	1		1	2	1		0	1		3
3871	1	1	1	29	71			71			28000	13	1	1							1			1			1			1	8.0	100.0	100.0	1		2	2	2		0	1		3
3871	1	1	2	28	71			71			70000	3	1	1							1			1			1			1	4.0	100.0	100.0	1		4	2	2	8	1	1		3
3872	1	1	1	31	71			71			28000	10	1	2	1			1			1			1			1			3	7.0	100.0	100.0	1		2	2	2		0	1		3
3873	1	1	1	31	71			71			10000	1	1	1							3			3			1			3	3.0	100.0	100.0	1		3	2	1		0	1		3
3873	1	1	2	21	71			2			2500	10	2	1							2			2			71			1	12.0	100.0	100.0	1		1	2	1		0	1		3
3874	1	1	1	39	71			1			20000	10	2	1							1	3		3			1			3	2.0	100.0	100.0	1		3	2	1		0	1		3
3874	1	1	2	38	71			1			72000	25	6	1							1			1			1			2	6.0	100.0	100.0	1		3	2	1		0	1		3
3874	1	1	3	30	71			1			15000	14	2	1							2			1	2	3	1			1	8.0	100.0	100.0	3		1	2	1		0	1		3
3874	1	1	4	28	71			1			20000	10	2	1							1			1	3		1			2	4.0	100.0	100.0	1		1	2	1		1	1		3
3875	1	2																																									3
3876	1	2																																									3
3877	1	1	1	28	71			71			75000	18	1	1							1			1			1			2	3.0	100.0	100.0	3		4	2	2		1	2		3
3878	1	1	1	29	1			1			50000	25	6	1							1			1			1			2	12.0	100.0	100.0	1		3	3	2		0	1		3
3879	1	1	1	29	1			1			28000	1	2	1							1			1			1	2		2	12.0	100.0	100.0	1		2	1	2		0	1		3
3879	1	1	2	30	1			1			80000	11	4	1							1			1			1	2		2	3.0	100.0	100.0	1		3	2	2		0	1		3
3880	1	2																																									3
3881	1	1	1	29	1			1			54000	1	8	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	2		3
3882	1	2																																									3
3883	1	2																																									3
3884	1	1	1	32	1			1			36000	8	4	1							1			1			1			3	12.0	100.0	100.0	1		3	3	8		0	5		3
3885	1	2																																									3
3886	1	2																																									3
3887	1	2																																									3
3888	1	1	1	31	4			4			21000	3	1	1							4			4			1			3	12.0	100.0	100.0	1		4	2	3		0	1		3
3888	1	1	2	2	1			1			6000	25	1	2	1			1			1			1			1			3	3.0	100.0	100.0	1		4	2	12		0	1		3
3889	1	2																																									3
3890	1	1	1	2	1	2		1	72		9750	10	2	1							1			1			1	72		3	6.0	50.0	50.0	1		2	3	10		0	1		3
3891	1	2																																									3
3892	1	2																																									3
3893	1	2																																									3
3894	3	1	1	29	1	3		1	3		40000	1	2	1							3			3	6		3			2	12.0	100.0	100.0	1		4	2	9		0	2		3
3895	1	1	1	23	1			1			12000	16	5	1							1			1			1			1	12.0	100.0	100.0	1		2	3	1		0	1		3
3896	1	2																																									3
3897	1	2																																									3
3898	1	2																																									3
3899	1	1	1	6	1			1			12000	2	3	1							1			1			1			3	3.0	100.0	100.0	4		2	2	12		0	1		3
3900	1	2																																									3
3901	1	2																																									3
3902	1	1	1	31	1			1			70000	0	8	1							1			1			1			3	8.0	100.0	100.0	1		4	2	2		0	2		3
3903	1	2																																									3
3904	1	2																																									3
3905	1	2																																									3
3906	1	1	1	31	6			6			72000	1	2	1							6			6			6			3	12.0	100.0	100.0	1		3	2	11	1	0	2		3
3907	1	2																																									3
3908	1	2																																									3
3909	1	2																																									3
3910	1	1	1	30	1			1			80000	5	4	1							1			1			1			3	12.0	100.0	100.0	1	3	3	2	6	10	0	2		3
3911	1	1	1	30	1			1			50000	1	5	1							1			1			1			2	5.0	100.0	100.0	1		3	2	11		0	1		3
3912	1	2																																									3
3913	1	1	1	2	1			1			10000	35	3	1							1			1			1			3	12.0	100.0	100.0	1		1	3	2		0	1		3
3914	1	1	1	30	1			1			12000	2	1	2	1			1			1			1			1			1	3.0	100.0	100.0	1		1	3	2		0	1		3
3915	1	2																																									3
3916	1	2																																									3
3917	1	1	1	7	1			1			6000	12	2	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	1		3
3918	1	1	1	29	1			1			90000	17	2	1							1			1			1			2	12.0	100.0	100.0	1		3	2	1		1	1		3
3919	1	2																																									3
3920	1	2																																									3
3921	1	1	1	29	1			1			1000	0	1	1							3	4		3	4		3			1	1.0	100.0	100.0	1		1	2	9		0	1		3
3922	1	1	1	15	1			1			54000	27	2	1							1			1			1			2	1.0	100.0	100.0	2		2	1	12		0	1		3
3922	1	1	2	15	3			3			48000	9	1	1							3			3			3			2	1.0	100.0	100.0	2		2	1	12		0	1		3
3923	1	2																																									3
3924	1	2																																									3
3925	1	2																																									3
3926	1	2																																									3
3927	1	2																																									3
3928	1	2																																									3
3929	1	2																																									3
3930	1	1	1	13	2			2			24000	2	4	1							2			2			2			2	12.0	100.0	100.0	3		3	3	12		0	1		3
3931	1	2																																									3
3932	1	2																																									3
3933	1	1	1	22	1			1			40000	7	4	1							1			1			1			1	12.0	100.0	100.0	1		1	3	3		0	2		3
3934	1	1	1	29	1			1			40000	17	3	1							1			1	3		1			2	12.0	100.0	100.0	1		2	2	3		0	2		3
3935	1	1	1	30	1			1			36000	5	2	1							1			1			1			3	3.0	100.0	100.0	1		2	2	3		0	1		3
3936	1	2																																									3
3937	1	2																																									3
3938	1	2																																									3
3939	1	1	1	30	1			1			40000	9	1	1							1			1			1			2	12.0	100.0	100.0	1		3	2	10		0	2		3
3940	1	1	1	29	1			1			24000	1	2	1							1			1			1			2	12.0	100.0	100.0	1		2	2	9		0	2		3
3941	1	1	1	30	1			1			15000	10	3	1							1	3		1	3		1			1	12.0	100.0	100.0	1		1	3	12		0	1		3
3942	1	1	1	28	1			1			200000	22	3	1							1			1			1			2	12.0	100.0	100.0	1		4	2	3		0	2		3
3943	1	2																																									3
3944	1	1	1	30	1			1			30000	7	4	2	1			1			1			1			1			2	10.0	100.0	100.0	1		4	3	12		0	1		3
3945	1	1	1	32	1			1			42000	10	3	1							1			1			1			2	12.0	100.0	100.0	1		4	3	8		0	1		3
3946	1	1	1	30	1			1			12000	5	1	1							1			1			1			3	4.0	100.0	100.0	1		3	2	2		0	2		3
3947	1	2																																									3
3948	1	1	1	30	1			1			120000	5	1	1							1			1			1			2	12.0	100.0	100.0	1		4	2	2		0	1		3
3949	1	1	1	30	1			1			36000	10	5	1							1			1			1			3	12.0	100.0	100.0	1		4	3	6		0	1		3
3949	1	1	2	30	1			1			1000	0	1	1							1			1			1			2	1.0	100.0	100.0	1		4	3	6	10	0	2		3
3950	1	1	1	30	1			1			10000	8	1	1							1			1			1			1	12.0	100.0	100.0	1		1	2	2		0	1		3
3951	1	1	1	30	1			1			60000	3	0	1							1			1			1			2	6.0	100.0	100.0	1		5	3	9		0	1		3
3952	1	1	1	31	1	2		1			25000	4	2	1							1	2		1	2		1			3	12.0	100.0	100.0	1		5	2	2		0	1		3
3953	1	1	1	30	1			1			30000	5	2	1							1			1			1			2	12.0	100.0	100.0	1		4	2	2		0	1		3
3954	1	1	1	30	1	72		1			7200	1	1	1							1			1			1			2	12.0	100.0	100.0	1		4	3	1		0	2		3
3955	1	1	1	39	1			1			27000	10	2	1							1			1			1			2	9.0	100.0	100.0	1		2	2	12		0	1		3
3956	1	1	1	39	1			1			0	10	2	1							1			1			1			1	12.0	100.0	100.0	1		2	2	12		0	1		3
3957	1	1	1	28	1			1			76000	3	5	1							1			1			1			2	12.0	100.0	100.0	1		3	2	3		1	1		3
3958	1	1	1	38	1			1			1500	0	1	1							1			1			1			2	1.0	100.0	100.0	2		2	2	12		0	1		3
3959	1	2																																									3
3960	1	1	1	2	1			1			1800	3	5	2	1			1			1			1			1			3	4.0	100.0	100.0	1		3	2	2		0	1		3
3961	1	2																																									3
3962	1	1	1	31	1			1			3000	18	2	1							1			1			1			3	12.0	100.0	100.0	1		4	2	12		0	1		3
3962	1	1	2	2	1			1			4000	10	5	2	1			1			1			1			1			3	8.0	100.0	100.0	1		3	2	12		0	1		3
3963	1	2	1	38	1			1	3		70000	25	2	1							1			1	3		1			3	12.0	100.0	100.0	1		5	2	2		0	2		3
3964	1	1	1	29	1			1			50000	5	3	1							1			1			1			2	12.0	100.0	100.0	1		3	2	1	2	0	1		3
3965	1	1	1	39	1			1			25000	13	2	1							1			1			1			2	12.0	100.0	100.0	2		3	2	12		0	1		3
3966	1	1	1	29	1			1			180000	1	2	1							1			1			1			1	12.0	100.0	100.0	1		1	2	7		0	2		3
3967	1	1	1	29	1			1			36000	7	4	1							1			1			1			2	12.0	100.0	100.0	1		2	2	10		0	2		3
3968	1	2																																									3
3969	1	2																																									3
3970	1	1	1	31	1			1			7000	16	6	1							1			1			1			3	12.0	100.0	100.0	1		4	2	8		0	1		3
3971	1	2																																									3
3972	1	2																																									3
3973	1	1	1	31	1			1			24000	4	8	1							1			1			1			3	12.0	100.0	100.0	1		4	2	10		0	1		3
3973	1	1	2	2	1			1			13860	20	5	2	1			1			1			1			1			3	3.0	100.0	100.0	1		4	2	2		0	1		3
3974	1	2																																									3
3975	1	1	1	39	1			1			2000	4	1	1							1			1			1			3	8.0	100.0	100.0	1		2	2	2		0	1		3
3976	1	2																																									3
3977	1	2																																									3
3978	1	2																																									3
3979	1	2																																									3
3980	1	2																																									3
3981	1	2																																									3
3982	1	2																																									3
3983	1	2																																									3
3984	1	1	1	15	1	3		3			40000	14	6	1							3			3			3			1	12.0	100.0	100.0	1		3	2	2		1	1		3
3985	1	1	1	30	1	3		3			45000	5	3	1							3			3			1	3		3	12.0	100.0	100.0	1	3	3	3	12		0	15		3
3986	1	1	1	30	1			1			18000	15	6	1							1			1	4	5	1			1	12.0	100.0	100.0	1		1	3	2		0	1		3
3987	1	2																																									3
3988	1	2	1	31	1			1			40000	5	2	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		3
3989	1	1	1	30	1			1			6000	30	2	1							1			1			1			1	12.0	100.0	100.0	1		2	3	2		0	1		3
3990	1	1	1	39	3			3			80000	1	2	1							3			3			3			2	12.0	100.0	100.0	2		4	1	2		0	1		3
3991	1	2																																									3
3992	1	2																																									3
3993	1	2																																									3
3994	1	1	1	30	1			1			6000	5	2	1							1			1			1			3	1.0	100.0	100.0	1		1	2	2		0	2		3
3995	1	1	1	30	1			1			24000	1	6	1							1			1			1			2	12.0	100.0	100.0	1		3	1	2		0	1		3
3996	1	2																																									3
3997	1	1	1	30	1			1			5000	5	2	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	1		3
3998	1	1	1	15	1			1			70000	16	6	1							1			1			1			3	12.0	100.0	100.0	1		3	3	2		0	1		3
3999	1	1	1	30	1			1			6000	7	6	1							1			1			1			1	12.0	100.0	100.0	1		1	3	12		0	1		3
4000	1	1	1	30	3			3			36000	2	1	1							3			3			3			2	12.0	100.0	100.0	1		3	2	12		0	2		3
4001	1	1	1	23	1			1			120000	21	12	1							1			1			1			2	12.0	100.0	100.0	1	2	3	2	2		3	1		3
4002	1	2																																									3
4003	1	2																																									3
4004	1	2																																									3
4005	1	1	1	30	1			1			84000	11	1	1							1			1			1			2	12.0	100.0	100.0	1		3	2	3		0	2		3
4005	1	1	2	30	1			1			84000	13	1	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2		0	2		3
4006	1	2																																									3
4007	1	2																																									3
4008	1	2																																									3
4009	1	2																																									3
4010	1	1	1	29	1			1			72000	9	11	1							1			1			1			2	12.0	100.0	100.0	1		3	1	11		0	1		3
4011	1	2																																									3
4012	1	2																																									3
4013	1	2																																									3
4014	1	2																																									3
4015	1	1	1	38	1			1			48000	4	3	1							1			1			1			2	12.0	100.0	100.0	1		1	3	2		0	1		3
4016	1	1	1	31	1			1			40000	10	1	1							1			1			1			3	12.0	100.0	100.0	1		3	2	2		0	1		3
4017	1	2																																									3
4018	1	2																																									3
4019	1	2																																									3
4020	1	1	1	22	1			1			20000	5	5	1							1			1			1			2	12.0	100.0	100.0	1		3	2	2	3	3	2		3
4021	1	2																																									3
4022	1	2																																									3
4023	1	2																																									3
4024	1	1	1	29	1			1			18000	5	4	1							1			1			1			2	12.0	100.0	100.0	1		2	2	1		0	2		3
4025	1	1	1	29	1			1			48000	2	2	1							1			1			1			2	12.0	100.0	100.0	1		2	2	9		0	1		3
4025	1	1	2	29	2			2			36000	11	1	1							1			1			2			2	12.0	100.0	100.0	1		2	2	9		0	1		3
4026	1	2																																									3
4027	1	1	1	30	1			1			8500	17	1	1							1			1			1			3	12.0	100.0	100.0	1		4	2	1		0	2		3
4028	1	2																																									3
4029	1	2																																									3
4030	1	1	1	30	1			1			36000	15	0	1							1			1			1			1	12.0	100.0	100.0	1		1	2	6		1	2		3
4031	1	1	1	31	1			1			46800	15	2	1							1			1			1			2	12.0	100.0	100.0	1		4	3	8		0	1		3
4032	1	2																																									3
4033	1	2																																									3
4034	1	2																																									3
4035	1	1	1	29	1			1			48000	10	3	1							1			1			1			2	12.0	100.0	100.0	1		2	2	2		0	2		3
4036	1	1	1	29	1	2		2			15000	2	10	1							2			2			2			1	12.0	100.0	100.0	1		1	2	2		0	2		3
4037	1	1	1	29	1			1			12000	4	7	1							1	5		1	5		1			2	12.0	100.0	100.0	1		2	2	2		1	2		3
4038	1	1	1	30	1			1			48000	6	3	1							1			1			1	2		2	12.0	100.0	100.0	1		2	1	2		2	2		3
4039	1	2																																									3
4040	1	2																																									3
4041	1	1	1	30	1			1			32000	21	0	1							1			1			1			3	12.0	100.0	100.0	1		4	2	1		0	2		3
4042	1	1	1	29	1			1			36000	5	3	1							1			1	4		1			2	12.0	100.0	100.0	1		3	2	8		0	1		3
4042	1	1	2	31	1	2	3	1			15000	0	4	1							3			3			1	3		3	4.0	100.0	100.0	1		3	2	8	2	0	1		3
4043	1	2																																									3
4044	1	2																																									3
4045	1	2																																									3
4046	1	1	1	31	1			1			27000	10	0	1							1			1			1			3	9.0	100.0	100.0	1		3	2	2		0	1		3
4047	1	2																																									3
4048	1	1	1	6	1			1			36000	3	7	1							1			1			1			3	6.0	100.0	100.0	1		4	2	2		0	1		3
4049	1	1	1	38	1			1			36000	1	6	1							1			1			1	2		3	10.0	100.0	100.0	1		4	3	2		0	1		3
4050	1	2																																									3
4051	1	1	1	31	1			1			36000	6	7	1							1			1			1			2	12.0	100.0	100.0	1		4	3	8		0	1		3
