a01	q_01	q_02	q_03	q_04	q_05	q_06	q_07	q_08	q_09	q_10	q_11	q_12	q_13	q_14	q_15	q_16	q_17	q_18	q_19	q_20	q_21	sample_type	flag
5276	2	500		2	2	2	6	2	4	1	2	252.0	2			5	200	4	140.0	3	200	3	
5277	2	300		20	3	2	1	2	1	1	1	540.0	1	2	150	9	0	1		1	200	3	
5278	2	1200		48	0	3	1	2	4	1	2	315.0	2			9	0	4	60.0	0		3	
5279	2	3000		12	0	2	1	2	1	1	4	675.0	1	2	630	9	300	1		1	300	3	
5280	2	2000		36	2	2	1	2	1	1	1	216.0	1	2	400	9	0	1		0		3	
5281	1	500		1	0	1	2	2	4	1	1	324.0	1	3	100	9	0	1		1	120	3	
5282	2	300		14	0	3	2	2	4	2	2	360.0	2			9	0	4	155.0	1	50	3	
5283	1	100		7	2	5	6	2	4	1	1	162.0	1	3	100	1		1		1	90	3	
5284	1	700		15	0	3	2	2	4	2	3	561.0	1	2	500	5	500	1		2	150	3	
5285	1	500		100	4	2	2	2	1	1	1	220.0	1	2	160	5	600	1		1	50	3	
5286	1	1000		30	0	2	2	2	1	2	2	620.0	1	2	300	6	650	1		2	120	3	
5287	1	100		3	0	5	6	10	4	1	1	135.0	1	3	70	9	0	1		1	10	3	
5288	1	500		15	0	1	2	2	1	2	2	324.0	1	3	160	6	0	1		1	50	3	
5289	1	400		9	0	2	2	2	4	1	1	288.0	1	3	145	9	0	1		2	140	3	
5290	1	250		13	2	3	2	2	4	1	1	320.0	1	2	150	5	980	1		1	50	3	
5291	1	500		15	2	2	2	2	4	2	2	840.0	1	3	250	5	0	1		1	80	3	
5292	1	250		7	0	3	2	2	4	1	2	420.0	1	3	183	5	700	1		1	30	3	
5293	1	600		20	1	2	2	2	1	1	2	480.0	1	4	350	5	150	1		2	200	3	
5294	1	500		11	0	1	2	2	1	1	3	460.0	1	3	195	5	750	1		2	1000	3	
5295	1	2000		40	1	2	2	2	1	3	5	1820.0	1	2	200	5	750	1		3	1000	3	
5296	1	250		1	3	3	2	2	4	1	2	480.0	1	3	250	5	600	1		2	100	3	
5297	1	400		7	1	1	2	2	4	1	1	216.0	1	2	50	9	0	1		1	90	3	
5298	1	500		10	1	3	2	2	4	1	2	468.0	1	2	100	6	500	1		1	80	3	
5299	1	1000		10	3	1	2	2	1	1	3	804.0	1	2	260	6	750	1		1	50	3	
5300	1	700		25	2	3	2	2	4	1	1	420.0	1	2	60	5	750	1		0		3	
5301	1	400		9	2	1	2	2	4	1	1	360.0	2			9	0	3	63.0	0		3	
5302	1	300		14	0	3	2	2	4	2	2	324.0	2			9	0	4	126.0	1	110	3	
5303	1	300		4	1	2	2	2	4	1	1	420.0	2			9	0	3	32.0	1	100	3	
5304	1	150		9	2	5	4	2	4	1	1	162.0	2			9	0	4	63.0	0		3	
5305	1	200		20	0	3	2	2	4	1	1	250.0	2			9	0	4	64.0	1	100	3	
5306	1	200		40	1	3	2	2	4	1	1	220.0	2			9	0	4	64.0	0		3	
5307	1	150		42	1	4	2	2	4	1	1	220.0	2			9	0	4	120.0	0		3	
5308	1	300		12	1	3	2	2	4	2	2	260.0	2			5	0	4	65.0	1	150	3	
5309	1	300		50	2	3	2	2	4	2	2	340.0	2			5	0	4	130.0	1	50	3	
5310	1	300		50	0	3	2	2	4	2	2	275.0	2			5	0	4	120.0	1	100	3	
5311	1	400		50	1	3	2	2	4	1	1	315.0	2			5	0	4	62.0	1	50	3	
5312	1	300		3	1	3	2	2	4	1	1	360.0	2			5	0	4	60.0	1	50	3	
5313	1	150		150	3	3	2	2	4	1	1	220.0	2			9	0	4	64.0	1	50	3	
5314	1	150		42	2	4	4	2	4	1	1	180.0	2			9	0	4	45.0	0		3	
5315	1	100		27	1	5	10	2	4	1	1	150.0	2			9	0	4	35.0	0		3	
5316	1	300		60	2	3	2	2	4	1	1	220.0	2			5	0	4	120.0	1	50	3	
5317	1	300		14	5	2	2	2	4	1	2	300.0	2			5	0	4	100.0	2	300	3	
5318	1	150		7	2	3	4	2	4	1	1	162.0	2			9	0	4	130.0	0		3	
5319	1	400		20	1	2	2	2	4	1	1	429.0	2			9	0	3	63.0	1	120	3	
5320	1	200		16	3	3	2	2	4	1	1	216.0	2			9	0	4	93.0	1	60	3	
5321	1	700		5	3	3	2	2	4	1	1	370.0	1	2	50	5	0	1		0		3	
5322	1	600		5	1	3	2	2	4	1	2	380.0	1	2	70	5	0	1		1	20	3	
5323	1	300		3	2	3	2	2	4	1	1	70.0	1	2	50	5	0	1		1	100	3	
5324	1	200		7	3	4	2	2	4	1	1	162.0	2			6	250	4	63.0	1	200	3	
5325	1	500		20	3	4	2	2	4	1	1	264.0	1	2	33	6	0	1		0		3	
5326	1	300		11	0	3	2	2	4	1	1	180.0	1	2	40	9	0	1		0		3	
5327	1	400		14	0	2	2	2	4	1	2	270.0	1	2	86	9	0	1		1	150	3	
5328	1	200		30	0	3	2	2	4	1	1	360.0	2			6	0	4	80.0	0		3	
5329	1	200		3	3	3	2	2	4	1	2	442.0	2			6	0	4	80.0	0		3	
5330	1	300		10	0	3	2	2	4	1	1	180.0	1	2	126	9	0	1		0		3	
5331	1	200		40	0	3	2	2	4	1	3	520.0	1	3	100	6	0	1		1	150	3	
5332	1	400		20	2	3	2	2	4	2	2	640.0	1	3	200	6	0	1		2	1000	3	
5333	1	400		18	4	2	2	2	4	1	1	216.0	1	2	180	9	0	1		1	130	3	
5334	1	150		16	3	3	2	2	4	1	2	440.0	2			6	0	4	68.0	1	100	3	
5335	1	150		20	3	3	6	2	4	1	1	180.0	2			6	0	4	80.0	1	80	3	
5336	1	400		13	3	2	2	2	4	1	1	216.0	1	2	50	9	0	1		1	500	3	
5337	1	600		1	1	3	2	2	4	1	2	360.0	2			5	0	4	100.0	1	50	3	
5338	1	300		40	1	3	2	2	4	1	1	445.0	2			9	0	4	94.0	0		3	
5339	1	200		9	3	3	2	2	4	1	1	180.0	2			9	0	4	94.0	0		3	
5340	1	300		15	4	3	2	2	4	1	1	346.0	2			9	0	4	128.0	1	100	3	
5341	1	500		70	3	3	2	2	4	1	1	360.0	2			5	0	4	140.0	2	120	3	
5342	1	400		100	2	3	2	2	4	1	1	360.0	2			6	0	4	140.0	1	100	3	
5343	1	500		100	1	3	3	2	1	1	1	480.0	2			5	0	4	140.0	2	100	3	
5344	1	700		100	1	3	2	2	4	2	2	429.0	2			5	0	3	910.0	1	50	3	
5345	1	500		20	3	1	2	2	1	2	3	680.0	2			5	0	4	80.0	2	500	3	
5346	1	400		10	0	2	2	2	4	1	2	450.0	2			5	0	4	200.0	1	150	3	
5347	1	200		120	1	3	2	2	4	1	1	220.0	2			6	0	4	65.0	0		3	
5348	1	250		90	4	3	2	2	4	1	1	280.0	2			6	0	4	100.0	1	100	3	
5349	1	200		80	3	3	2	2	4	1	1	220.0	2			10	0	4	60.0	1	100	3	
5350	1	500		120	0	2	2	2	1	1	2	620.0	2			5	0	4	80.0	1	100	3	
5351	1	400		9	1	1	2	2	4	2	2	288.0	2			5	0	4	98.0	2	120	3	
5352	1	500		10	0	1	2	2	1	2	2	403.0	2			9	0	4	195.0	2	160	3	
5353	1	200		20	1	3	2	2	4	1	1	185.0	2			9	0	4	105.0	1	80	3	
5354	1	300		16	1	3	2	2	4	1	1	324.0	2			9	0	4	140.0	2	220	3	
5355	1	200		13	1	3	2	2	4	1	1	189.0	2			9	0	4	93.0	1	120	3	
5356	1	300		14	0	2	2	2	4	1	1	288.0	2			9	0	4	93.0	0		3	
5357	1	500		18	0	1	2	2	1	2	3	372.0	2			9	0	3	0.0	1	700	3	
5358	1	500		12	1	2	2	2	1	1	1	275.0	2			5	0	3	1050.0	2	150	3	
5359	1	100		5	0	4	2	2	4	1	1	216.0	2			9	0	4	195.0	1	500	3	
5360	1	1000		50	0	2	2	2	1	1	3	675.0	2			6	0	3	1000.0	2	100	3	
5361	1	200		22	1	3	2	2	4	1	2	330.0	1	2	124	9	0	1		1	100	3	
5362	1	250		4	1	4	2	2	4	1	2	330.0	1	2	125	9	0	1		1	100	3	
5363	1	150		15	1	3	2	2	4	1	1	120.0	1	2	100	9	0	1		0		3	
5364	1	1200	0	21	1	2	2	2	4	2	2	288.0	1	2	184	9	140	1		1	500	3	
5365	1	200		30	1	4	2	2	4	1	1	120.0	1	2	50	9	0	1		0		3	
5366	1	300		4	3	3	2	2	4	1	1	330.0	1	2	80	5	100	1		0		3	
5367	1	1000		24	0	3	4	2	4	1	3	504.0	1	2	150	5	0	1		1	150	3	
5368	1	200		14	1	5	2	2	4	1	1	216.0	2			9	0	4	60.0	1	50	3	
5369	1	500		18	0	2	2	2	4	1	2	432.0	1	2	70	9	0	1		2	300	3	
5370	1	1000		35	2	2	2	2	4	1	2	252.0	1	2	120	9	0	1		1	600	3	
5371	1	1000		11	2	1	2	2	4	1	1	378.0	1	2	150	10	0	1		2	600	3	
5372	1	1000		6	2	1	2	2	4	1	2	360.0	1	2	80	9	0	1		2	120	3	
5373	1	1000		15	0	3	2	2	4	2	2	520.0	1	2	106	5	0	1		2	150	3	
5374	1	1000		11	3	3	2	2	4	1	2	320.0	1	2	63	5	0	1		2	150	3	
5375	1	700		10	2	3	2	2	4	1	1	555.0	1	2	50	5	600	1		2	100	3	
5376	1	1200		7	1	2	2	2	1	1	3	350.0	1	2	200	5	0	1		2	150	3	
5377	1	400		30	2	4	4	2	4	1	1	360.0	1	2	100	5	0	1		0		3	
5378	1	600		2	0	3	2	2	4	1	1	280.0	1	2	94	5	0	1		2	150	3	
5379	1	1500		10	1	1	1	2	1	1	2	216.0	1	2	220	8	0	1		1	500	3	
5380	1	1000		10	1	2	2	2	4	1	1	360.0	1	2	160	8	0	1		2	600	3	
5381	1	1200		13	1	3	2	2	4	1	3	624.0	1	2	100	5	0	1		0		3	
5382	1	600		10	1	3	2	2	4	1	1	270.0	2			6	0	4	120.0	1	50	3	
5383	1	500		18	0	2	2	2	4	1	3	216.0	2			9	0	4	120.0	1	100	3	
5384	1	300		9	1	3	2	2	4	1	1	216.0	2			9	0	4	60.0	0		3	
5385	1	1000		1	1	1	1	2	1	1	2	180.0	1	2	400	9	0	1		0		3	
5386	1	300		3	4	4	2	2	4	1	1	426.0	1	3	100	9	0	1		0		3	
5387	1	250		10	0	3	2	2	4	1	1	250.0	2			9	0	4	70.0	0		3	
5388	1	100		2	1	5	6	2	4	1	1	150.0	2			9	0	4	60.0	0		3	
5389	1	200		7	1	4	6	2	4	1	1	210.0	1	3	50	9	0	1		0		3	
