a01	mid	b2_01	b2_02	b2_03	b2_04	b2_05	b2_06	b2_07	b2_08	b2_09	b2_10	b2_11	b2_12a	b2_12b	b2_13	b2_14	sample_type
170	3	1		2007	66	1	0.25	1	1	5	4	2	5		9999		2
171	3	1		2007	1	7	1.0	1	1	1	5	2	1		9999		2
171	4	2	1														2
172	2	1		2004	1	2	0.25	1	1	1	8	2	1		9999		2
172	3	1		2007	66	2	0.25	1	1	1	4	2	1		9999		2
174	2	1		2005	1	2	0.1	1	1	7	7	2	7	5	9999		2
174	3	1		2010	1	1	0.1	1	1	5	2	2	5		9999		2
176	3	1		2006	1	2	0.25	1	1	1	6	2	1		9999		2
176	4	1		2009	1	1	0.25	1	1	1	3	2	1		9999		2
176	5	1		2010	1	1	0.25	1	1	5	2	2	5		9999		2
177	3	1		2004	66	2	0.25	1	1	1	7	2	5		9999		2
177	4	2	1														2
179	3	2	1														2
180	3	2	3														2
180	4	2	1														2
181	2	1		2002	66	11	0.5	1	1	1	8	2	1		9999		2
181	3	1		2007	66	11	0.5	1	1	1	4	2	1		9999		2
182	3	1		2000	66	9	6.0	1	1	1	11	2	1		9999		2
182	4	1		2004	66	11	1.0	1	1	1	7	2	1		9999		2
182	5	1		2008	66	11	1.0	1	1	1	3	2	1		9999		2
183	3	1		2004	66	11	0.5	1	1	1	7	2	1		9999		2
184	2	1		2009	1	1	1.0	1	1	5	3	2	5	6	9999		2
184	3	2	9														2
185	5	1		2009	66	11	0.5	1	1	1	2	2	1		9999		2
186	2	1		2007	66	11	0.5	1	1	1	4	2	1		9999		2
186	3	2	1														2
187	3	1		2006	66	11	0.5	1	1	1	5	2	1		9999		2
187	4	1		2009	66	11	0.5	1	1	1	1	2	1		9999		2
188	2	1		2006	66	11	0.5	1	1	1	5	2	1		9999		2
189	3	1		2000	66	9	0.5	1	1	8	12	2	8		9999		2
191	9	1		2000	1	11	0.5	1	1	7	10	2	7		9999		2
195	4	1		1999	66	11	0.5	1	1	1	8	2	1		9999		2
199	2	1		2001	66	11	1.0	1	1	1	10	2	1		9999		2
199	3	1		2005	66	11	1.0	1	1	7	6	2	5		9999		2
201	4	1		2004	66	2	1.5	1	2				1		2011	9	3
201	5	1		2007	66	1	0.25	1	1	1	4	2	1		9999		3
201	6	1		2008	66	1	0.25	1	1	5	3	2	5		9999		3
202	2	1		2002	1	2	1.5	1	1	1	22	2	1		9999		3
204	3	1		2004	66	1	0.25	2	2				1		2008	5	3
204	4	1		2005	66	1	0.25	1	1	1	6	2	1		9999		3
206	3	2	1														3
208	3	1		2003	1	1	0.5	2	2				1		2007	9	3
208	4	1		2009	1	1	0.5	1	1	5	3	2	1		9999		3
208	5	1		2011	1	1	0.5	2	1	1	1	9					3
209	3	2	1														3
