a01	v1_01	pid	v1_02	v1_03	v1_04	v1_05	v1_06	v1_07	v1_08	v1_09	v1_10	v1_11	v1_12	v1_13	v1_14	sample_type
246	1	81	3	3	0	21	2	9	82	1	59		3	2	2	2
247	2															2
248	2															2
249	1	81	3	4	8	32	1	14	13	1	1		1	1	1	2
249	1	82	3	1	0	23	1	12	81	1	1		2	1	2	2
250	2															2
251	2															2
252	2															2
253	2															2
254	2															2
255	2															2
256	2															2
257	2															2
258	2															2
259	1	81	3	3	4	22	1	12	21	1	1		1	1	1	2
260	2															2
261	2															2
262	2															2
263	1	81	3	4	0	22	1	10	13	1	1		1	1	1	2
263	1	82	3	2	0	18	1	9	13	1	1		1	1	1	2
263	1	83	3	0	5	16	1	5	13	1	1		1	1	2	2
264	2															2
265	2															2
266	2															2
267	2															2
268	2															2
269	2															2
270	2															2
271	2															2
272	2															2
273	1	81	2	3	5	48	1	4	13	1	59		1	1	1	2
274	1	81	3	4	0	18	1	4	13	1	1		1	3	1	2
275	2															2
276	1	81	3	3	0	20	2	12	82	1	59		3	2	2	2
277	2															2
278	2															2
279	2															2
280	1	81	7	0	10	28	1	9	50	1	59		8	2	1	2
280	1	82	7	0	10	22	1	9	50	1	59		8	2	1	2
281	2															2
282	2															2
283	2															2
284	1	81	3	0	3	14	2	3	15	1	1		1	1	1	2
285	2															2
286	2															2
287	2															2
288	2															2
289	2															2
290	2															2
291	2															2
292	2															2
293	2															2
294	1	81	3	0	1	19	1	2	11	1	1		1	1	2	2
295	1	81	3	2	0	20	2	5	82	1	60		3	2	2	2
296	1	81	3	1	0	19	2	5	82	1	60		3	2	2	2
297	2															2
298	1	81	2	0	1	50	1	99	13	1	60		1	4	1	2
299	2															2
300	2															2
301	2															2
302	2															2
303	2															2
304	1	81	3	1	0	36	1	2	30	1	1		1	1	1	2
305	2															2
306	2															2
307	2															2
308	1	81	3	2	0	27	1	99	21	2		38	1	5	1	2
309	2															2
310	2															2
311	2															2
312	2															2
313	2															2
314	2															2
315	2															2
316	2															2
317	1	81	3	1	5	20	2	5	82	1	60		3	4	2	2
318	2															2
319	2															2
320	2															2
321	2															2
322	2															2
323	2															2
324	1	81	3	0	3	18	1	5	37	1	18		1	2	2	2
324	1	82	3	0	5	26	1	5	23	1	18		1	2	1	2
