a01	plotid	g01	g02	g03	g04	g05	g06	g07	g08a	g08b	g08c	g09a	g09b	g09c	g10	g11	g12	g13a	g13b	g13c	g14	g15a	g15b	g15c	g16a	g16b	g16c	g17a	g17b	g17c	g18a	g18b	g18c	g19a	g19b	g19c	flag	sample_type
37	1	1	13.0	0.0	0.0	2			1			1			350000	1	2002	1			4																	2
37	2	2	40.0	80.0	0.0	5	4		72			72			1200000	6	2009	1			1	1			1			1			1			1				2
37	3	2	57.0	500.0	4.0	5	3	53.0	72			72			600000	6	2005	1			1	1			1			1			1			1				2
37	4	8	22.0	80.0	0.0	5	3	147.0	72			72			480000	6	2009	1			2	1			1			1			1			1				2
38	1	1	15.0	0.0	0.0	4			1			1			360000	3	1998	1			4																	2
38	2	2	7.0	1000.0	0.0	4	2		1			1			84000	3	1998	1			1	1			1			1			1			1				2
38	3	2	6.0	1000.0	0.0	4	2		1			1			72000	3	1998	1			1	1			1			1			1			1				2
38	4	2	15.0	1000.0	0.0	4	2		1			1			18000	3	1998	1			1	1			1			1			1			1				2
38	5	2	7.0	1000.0	0.0	4	2		1			1			84000	3	1998	1			1	1			1			1			1			1				2
38	6	2	13.0	1000.0	0.0	4	2		1			1			156000	3	1998	1			1	1			1			1			1			1				2
38	7	2	13.0	100.0	0.0	4	2		1			1			300000	3	1998	1			1	1			1			1			1			1				2
38	8	2	13.0	200.0	0.0	4	2		1			1			250000	3	1998	1			1	1			1			1			1			1				2
38	9	2	13.0	500.0	4.0	4	3	85.0	1			1			250000	6	1998	1			1	1			1			1			1			1				2
38	10	2	15.0	500.0	4.0	4	2		1			1			300000	3	1998	1			1	1			1			1			1			1				2
38	11	4	10.0	80.0	0.0	4	7		1			1			240000	3	1998	1			5																	2
38	12	2	9.0	500.0	0.0	4	7		1			1			60000	3	1998	1			1	1			1			1			1			1				2
38	13	2	25.0	500.0	0.0	4	4		72			72			500000	6	2009	1			1	1			1			1			1			1				2
38	14	2	15.0	500.0	0.0	4	4		72			72			300000	6	2009	1			1	1			1			1			1			1				2
39	1	1	30.0	0.0	0.0	4			1			1			1500000	3	2008	1			4																	2
39	2	4	15.0	100.0	0.0	4	7		1			1	73		500000	3	2008	1			5																	2
39	3	4	13.0	200.0	0.0	5	7		1			1	73		700000	3	2008	1			5																	2
39	4	4	4.0	400.0	0.0	4	7		1			1			200000	3	2008	1			5																	2
39	5	4	10.0	0.0	4.0	2	1		1			73			50000	3	2008	1			5																	2
39	6	2	13.0	350.0	1.0	4	2		1			1			300000	3	2008	1			1	1			1			1			1			1				2
39	7	2	50.0	200.0	0.0	4	4		72			72			2000000	6	2008	1			1	1			1			1			1			1				2
39	8	2	50.0	200.0	0.0	4	4		72			72			500000	6	2008	1			1	1			1			1			1			1				2
39	9	2	10.0	200.0	0.0	4	4		72			72			200000	6	2008	1			1	1			1			1			1			1				2
39	10	2	5.0	200.0	0.0	4	4		72			72			100000	6	2008	1			1	1			1			1			1			1				2
39	11	2	10.0	200.0	0.0	4	4		72			72			200000	6	2008	1			1	1			1			1			1			1				2
39	12	2	52.0	200.0	0.0	4	4		72			72			1500000	6	2010	1			1	1			1			1			1			1				2
39	13	2	10.0	1000.0	0.0	4	3	400.0	72			72			100000	6	2010	1			1	1			1			1			1			1				2
40	1	1	2.0	0.0	0.0	1			1			74			18000	7	2005	1			4																	2
40	2	2	78.0	1000.0	0.0	4	4		72			72			7800000	6	2008	1			1	1			1			1			1			1				2
40	3	2	9.0	1000.0	0.0	4	4		72			72			700000	6	2008	1			1	1			1			1			1			1				2
41	1	1	15.0	0.0	0.0	2			1			1			90000	3	2000	1			4																	2
41	2	2	3.0	300.0	0.0	4	2		1			1			12000	3	1980	1			1	1			1			1			1			1				2
41	3	2	15.0	500.0	1.0	4	2		1			1			60000	3	1980	1			1	1			1			1			1			1				2
41	4	2	3.0	100.0	1.0	4	2		1			1			12000	3	1980	1			1	1			1			1			1			1				2
41	5	2	20.0	200.0	1.0	4	2		1			1			100000	1	2007	1			1	1			1			1			1			1				2
41	6	2	6.0	1000.0	1.0	4	2		1			1			18000	3	1980	1			1	1			1			1			1			1				2
41	7	2	2.0	300.0	1.0	4	2		1			1			9000	3	1980	1			1	1			1			1			1			1				2
41	8	2	33.0	500.0	1.0	4	3	250.0	72			72			150000	6	2009	1			1	1			1			1			1			1				2
41	9	8	8.0	100.0	3.0	4	12		1	72		1	72		12000	6	1980	1	72		2	1	72		1	72		1	72		1	72		1	72			2
42	1	1	33.0	0.0	0.0	5			1			1			39600	1	1984	1			4																	2
42	2	2	20.0	20.0	0.0	5	2		1			1			110000	1	2004	1			1	1			1			1			1			1				2
42	3	2	10.0	30.0	0.0	5	2		1			1			100000	1	2006	1			1	1			1			1			1			1				2
42	4	2	21.0	100.0	0.0	5	2		1			1			180000	1	2006	1			1	1			1			1			1			1				2
42	5	2	4.0	150.0	0.0	5	2		1			1			28000	1	2008	1			1	1			1			1			1			1				2
42	6	2	4.0	200.0	0.0	5	2		1			1			28000	1	2008	1			1	1			1			1			1			1				2
42	7	2	4.0	250.0	0.0	5	2		1			1			28000	1	2008	1			1	1			1			1			1			1				2
42	8	2	4.0	200.0	0.0	5	2		1			1			28000	1	2008	1			1	1			1			1			1			1				2
42	9	2	33.0	300.0	0.0	5	3	250.0	72			72			200000	6	2010	1			1	1			1			1			1			1				2
42	10	2	33.0	250.0	0.0	5	3	250.0	72			72			200000	6	2010	1			1	1			1			1			1			1				2
42	11	2	34.0	300.0	0.0	5	3	250.0	72			72			40800	6	2010	1			1	1			1			1			1			1				2
42	12	2	18.0	300.0	0.0	5	3	166.0	72			72			70000	6	2010	1			1	1			1			1			1			1				2
42	13	8	3.0	10.0	8.0	1	2		1			1			40000	1	1984	1			1	1			1			1			1			1				2
42	14	9	4.0	50.0	9.0	1	1		1			1			40000	1	1984	1			7																	2
43	1	1	15.0	0.0	0.0	5			1			1			75000	3	2000	1			4																	2
43	2	2	15.0	200.0	2.0	4	2		1			1			70000	3	2000	1			1	1			1			1			1			1				2
43	3	2	70.0	500.0	2.0	4	4		72			72			300000	6	2008	1			1	1			1			1			1			1				2
43	4	2	45.0	500.0	2.0	4	4		72			72			190000	6	2008	1			1	1			1			1			1			1				2
43	5	2	66.0	400.0	2.0	4	4		72			72			240000	6	2007	1			1	1			1			1			1			1				2
43	6	2	66.0	500.0	2.0	4	4		72			72			250000	6	2008	1			1	1			1			1			1			1				2
43	7	2	66.0	500.0	2.0	4	3	56.0	72			72			250000	6	2009	1			1	1			1			1			1			1				2
43	8	8	5.0	0.0	3.0	5	12		1	72		1	72		20000	6	2000	1	72		2	1	72		1	72		1	72		1	72		1	72			2
44	1	1	30.0	0.0	0.0	5			1			1			200000	3	1975	1			4																	2
44	2	2	20.0	60.0	0.0	5	7		1			1			140000	3	1975	72			1	72			72			72			72			72				2
44	3	2	20.0	80.0	0.0	5	7		1			1			140000	3	1977	72			1	72			72			72			72			72				2
44	4	2	10.0	120.0	0.0	5	7		1			1			100000	3	1977	72			1	72			72			72			72			72				2
44	5	2	40.0	30.0	0.0	5	7		1			1			160000	3	1977	72			1	72			72			72			72			72				2
44	6	2	27.0	40.0	0.0	5	7		1			1			120000	3	1979	72			1	72			72			72			72			72				2
44	7	2	10.0	60.0	0.0	5	7		1			1			100000	3	1979	72			1	72			72			72			72			72				2
44	8	2	10.0	90.0	0.0	5	7		1			1			100000	3	1979	72			1	72			72			72			72			72				2
44	9	2	13.0	100.0	0.0	5	7		1			1			130000	3	1975	72			1	72			72			72			72			72				2
44	10	2	6.0	150.0	0.0	5	7		1			1			60000	3	1975	72			1	72			72			72			72			72				2
44	11	2	20.0	200.0	0.0	5	7		1			1			180000	3	1975	72			1	72			72			72			72			72				2
44	12	2	16.0	300.0	0.0	5	7		1			1			160000	3	1975	72			1	72			72			72			72			72				2
44	13	2	6.0	300.0	0.0	5	7		1			1			60000	3	1975	72			1	72			72			72			72			72				2
44	14	2	16.0	220.0	0.0	5	7		1			1			160000	3	1980	72			1	72			72			72			72			72				2
44	15	2	20.0	250.0	0.0	5	7		1			1			200000	3	1980	72			1	72			72			72			72			72				2
44	16	2	25.0	300.0	0.0	5	7		1			1			125000	3	1975	72			1	72			72			72			72			72				2
44	17	2	43.0	350.0	0.0	5	7		1			1			215000	3	1975	72			1	72			72			72			72			72				2
44	18	4	14.0	400.0	0.0	5	1		1			1			70000	3	1975	72			1	72			72			72			72			72				2
44	19	4	47.0	500.0	0.0	5	1		1			1			230000	3	1980	72			1	72			72			72			72			72				2
44	20	4	7.0	450.0	0.0	5	1		1			1			40000	3	1980	72			1	72			72			72			72			72				2
44	21	4	18.0	0.0	0.0	5	1		1			1			45000	3	1980	72			1	72			72			72			72			72				2
44	22	9	3.0	0.0	10.0	1	2		1			1			40000	3	2009	1			7																	2
44	23	8	10.0	0.0	10.0	1	12		1			1			40000	6	1975	1			2	1	72		1	72		1	72		1	72		1	72			2
45	1	1	7.0	0.0	0.0	5			1			1			12000	3	1974	1			4																	2
45	2	2	17.0	250.0	0.0	5	2		1			1			170000	3	1974	1			1	1			1			1			1			1				2
